,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL,PERCENT_INSURED,BELOW_POVERTY_LEVEL,HOUSEHOLD_MEDIAN_INCOME_DOLLARS_OVERALL,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,PUBLIC_TRANSPORTATION_OVERALL,CAR_TRUCK_VAN_ALONE_OVERALL,CAR_TRUCK_VAN_CARPOOL_OVERALL,PERCENT_INSURED_OVERALL,BELOW_POVERTY_LEVEL_OVERALL,POPULATION_GENDER_MALE,POPULATION_GENDER_FEMALE,EMPLOYED_POPULATION_CHARACTERISTICS_OVERALL,EMPLOYED_POPULATION_CHARACTERISTICS_Private_Wage_Salary,EMPLOYED_POPULATION_CHARACTERISTICS_Government,EMPLOYED_POPULATION_CHARACTERISTICS_Self Employed,EMPLOYED_POPULATION_CHARACTERISTICS_Unpaid Family,EMPLOYED_POPULATION_CHARACTERISTICS_Management Business,EMPLOYED_POPULATION_CHARACTERISTICS_Service Occupations,EMPLOYED_POPULATION_CHARACTERISTICS_Sales,EMPLOYED_POPULATION_CHARACTERISTICS_Natural Resources,EMPLOYED_POPULATION_CHARACTERISTICS_Production,EMPLOYED_POPULATION_CHARACTERISTICS_Agricilture,EMPLOYED_POPULATION_CHARACTERISTICS_Construction,EMPLOYED_POPULATION_CHARACTERISTICS_Manufacturing,EMPLOYED_POPULATION_CHARACTERISTICS_Wholesale_Trade,EMPLOYED_POPULATION_CHARACTERISTICS_Retail,EMPLOYED_POPULATION_CHARACTERISTICS_Transportation,EMPLOYED_POPULATION_CHARACTERISTICS_Information,EMPLOYED_POPULATION_CHARACTERISTICS_Finance_and_Insurance,EMPLOYED_POPULATION_CHARACTERISTICS_Professional_Scientific_and_Management,EMPLOYED_POPULATION_CHARACTERISTICS_Educational_Services_and_Health_Care,EMPLOYED_POPULATION_CHARACTERISTICS_Arts_Entertainment_and_Recreation,EMPLOYED_POPULATION_CHARACTERISTICS_Other,EMPLOYED_POPULATION_CHARACTERISTICS_Public_Administration
White,108277.0,791.6853394314745,471.49304535492416,86.2958460003985,384.1374937749141,38.815493538375755,0.18359241856829708,69.59730848923223,108277.0,2028.665012494049,1060.4355376270423,230.12225600106262,1010.888141512932,154.64340055129782,94.9,340.8146052233482,1609.8386373957492,1668.3908434545206,1689.6134752642959,79.8,12.8,7.200000000000001,0.1,49.1,15.8,18.8,6.2,10.0,0.4,5.3,10.0,2.5,9.0,5.0,3.5000000000000004,6.2,19.1,21.7,8.9,5.0,3.4000000000000004
Black,49367.0,617.1463221511416,191.9104225113395,78.45076909127135,267.42586289114826,30.78809520066747,0.4857370174492058,197.2083294192825,108277.0,5532.722761347406,2892.0969208010238,627.6061527301708,2756.967658671632,421.75472877626675,94.9,929.4943778818588,4390.469011079315,4550.156845785055,4608.036750720807,79.8,12.8,7.2,0.1,49.1,15.8,18.8,6.2,10.0,0.4,5.3,10.0,2.5,9.0,5.0,3.5,6.2,19.1,21.7,8.9,5.0,3.4
Native American,63022.0,317.8744144765796,81.26358234565537,25.104246109206837,137.8483829335816,33.74037830210134,4.68186476967513,101.1171349267559,108277.00000000001,55327.22761347407,28920.969208010243,6276.061527301708,27569.676586716327,4217.547287762667,94.9,9294.943778818588,43904.69011079316,45501.56845785056,46080.367507208066,79.8,12.8,7.2,0.1,49.10000000000001,15.800000000000002,18.8,6.2,10.0,0.4,5.3,10.0,2.5,9.0,5.0,3.5,6.2,19.1,21.7,8.9,5.0,3.4
Asian,116199.99999999999,581.3693430344703,373.36298472708177,63.479544921655375,235.66525404310764,44.238545544705616,0.16981610194724867,75.02418307781231,108276.99999999999,1884.2089899325533,984.9246479508132,213.73584148705507,938.9053945940542,143.63164137891437,94.9,316.5460729628621,1495.2061647638536,1549.589018688409,1569.3004414219465,79.8,12.8,7.2,0.1,49.1,15.8,18.8,6.2,10.0,0.4,5.3,10.0,2.5,9.0,5.0,3.5,6.2,19.1,21.7,8.9,5.0,3.4
Pacific Islander,79824.0,556.4434052182426,112.68477560871219,61.36593493361672,235.87389968635074,46.393020165389345,5.84215050152038,2692.534570459264,108277.0,67622.16708313498,35347.85125423474,7670.741866702088,33696.27138376439,5154.780018376594,94.9,11360.486840778274,53661.28791319164,55613.02811515068,56320.449175476526,79.8,12.8,7.2,0.1,49.1,15.8,18.8,6.2,10.0,0.4,5.3,10.0,2.5,9.0,5.0,3.5000000000000004,6.2,19.1,21.7,8.9,5.0,3.4
Hispanic,72438.0,402.22548706821533,104.40122156539385,47.365971078245636,312.7860168806829,66.78098418425999,0.22890700979090062,134.27192135947598,108277.0,2729.1457567184516,1426.5948936686664,309.5815103153309,1359.9392038290562,208.0404491721495,94.9,458.4949846054011,2165.70220277455,2244.4719867101167,2273.0226124631777,79.8,12.8,7.2,0.1,49.1,15.8,18.8,6.2,10.0,0.4,5.3,10.0,2.5,9.0,5.0,3.5,6.2,19.1,21.7,8.9,5.0,3.4
Multi-Race,87650.00000000001,485.88522910454736,233.55775664267887,67.75821982253511,269.5701710701151,48.97041017457764,1.0062883423245148,117.32734404332875,108277.0,11270.361180522495,5891.308542372456,1278.4569777836812,5616.045230627398,859.1300030627655,94.9,1893.4144734630456,8943.547985531939,9268.838019191779,9386.741529246086,79.8,12.8,7.199999999999999,0.1,49.1,15.8,18.8,6.2,10.0,0.4,5.3,10.0,2.5,9.0,5.0,3.5,6.2,19.1,21.7,8.9,5.0,3.4
