,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL,PERCENT_INSURED,BELOW_POVERTY_LEVEL,HOUSEHOLD_MEDIAN_INCOME_DOLLARS_OVERALL,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,PUBLIC_TRANSPORTATION_OVERALL,CAR_TRUCK_VAN_ALONE_OVERALL,CAR_TRUCK_VAN_CARPOOL_OVERALL,PERCENT_INSURED_OVERALL,BELOW_POVERTY_LEVEL_OVERALL,POPULATION_GENDER_MALE,POPULATION_GENDER_FEMALE,EMPLOYED_POPULATION_CHARACTERISTICS_OVERALL,EMPLOYED_POPULATION_CHARACTERISTICS_Private_Wage_Salary,EMPLOYED_POPULATION_CHARACTERISTICS_Government,EMPLOYED_POPULATION_CHARACTERISTICS_Self Employed,EMPLOYED_POPULATION_CHARACTERISTICS_Unpaid Family,EMPLOYED_POPULATION_CHARACTERISTICS_Management Business,EMPLOYED_POPULATION_CHARACTERISTICS_Service Occupations,EMPLOYED_POPULATION_CHARACTERISTICS_Sales,EMPLOYED_POPULATION_CHARACTERISTICS_Natural Resources,EMPLOYED_POPULATION_CHARACTERISTICS_Production,EMPLOYED_POPULATION_CHARACTERISTICS_Agricilture,EMPLOYED_POPULATION_CHARACTERISTICS_Construction,EMPLOYED_POPULATION_CHARACTERISTICS_Manufacturing,EMPLOYED_POPULATION_CHARACTERISTICS_Wholesale_Trade,EMPLOYED_POPULATION_CHARACTERISTICS_Retail,EMPLOYED_POPULATION_CHARACTERISTICS_Transportation,EMPLOYED_POPULATION_CHARACTERISTICS_Information,EMPLOYED_POPULATION_CHARACTERISTICS_Finance_and_Insurance,EMPLOYED_POPULATION_CHARACTERISTICS_Professional_Scientific_and_Management,EMPLOYED_POPULATION_CHARACTERISTICS_Educational_Services_and_Health_Care,EMPLOYED_POPULATION_CHARACTERISTICS_Arts_Entertainment_and_Recreation,EMPLOYED_POPULATION_CHARACTERISTICS_Other,EMPLOYED_POPULATION_CHARACTERISTICS_Public_Administration
Hispanic,54606.0,338.71702854348797,49.77037464592847,5.043179928647352,259.49855618960345,43.688876871752235,0.06265821401423005,169.17070153723105,71482.0,1011.8686314685094,270.1572850697781,10.355605602971975,514.8780876777846,73.42668381807098,90.0,279.8765940808226,960.2638445104848,969.0959002584854,815.8479947347671,78.0,14.5,7.4,0.2,29.5,21.2,23.2,11.2,14.9,1.5,8.7,8.6,2.9,12.9,6.5,1.5,5.0,10.3,20.7,11.5,5.2,4.8
Multi-Race,73470.0,414.92177572622955,116.460985637273,4.7463192346954886,235.9857901856513,33.6538967499492,0.9471590490523148,141.59038348428064,71482.0,14053.730992618188,3752.184514858029,143.827855596833,7151.084551080342,1019.8150530287637,90.0,3887.174917789203,13336.9978404234,13459.665281367854,11331.22214909399,78.0,14.499999999999998,7.3999999999999995,0.2,29.499999999999996,21.2,23.2,11.2,14.9,1.5,8.7,8.6,2.9,12.9,6.5,1.5,5.0,10.3,20.7,11.5,5.2,4.8
White,71482.0,729.1477114276895,226.48536881893108,3.917516489100835,269.51829516271124,26.80827605674439,0.10074114406229785,98.24843282710489,71482.0,1483.6783452617437,396.125051421962,15.184172438375326,754.9532077386868,107.66375926403369,90.0,410.3762376551651,1408.0115022147868,1420.9617305842892,1196.2580567958462,78.0,14.5,7.3999999999999995,0.2,29.499999999999996,21.2,23.2,11.2,14.9,1.5,8.7,8.6,2.9,12.9,6.500000000000001,1.5,5.0,10.3,20.7,11.5,5.2,4.8
Asian/Pacific Islander,80795.73684210525,531.567984524367,260.29298360511575,7.085414359928194,220.17812959905262,39.128693350419404,0.8719040031508909,178.4604443074953,71482.0,13314.060940375122,3554.7011193391854,136.25796846015754,6774.71167997085,966.1405765535656,90.0,3682.58676422135,12635.050585664274,12751.261845506386,10734.842035983778,78.0,14.499999999999998,7.3999999999999995,0.2,29.499999999999996,21.199999999999996,23.199999999999996,11.2,14.9,1.4999999999999998,8.7,8.6,2.8999999999999995,12.9,6.5,1.4999999999999998,5.0,10.3,20.700000000000003,11.5,5.2,4.8
Asian,81229.0,537.8309536074662,268.60908929083337,6.8318231408495675,221.6836210834906,39.77278706812179,0.4685199142213908,94.18745671784475,71482.0,7026.865496309094,1876.0922574290146,71.9139277984165,3575.542275540171,509.90752651438186,90.0,1943.5874588946015,6668.4989202117,6729.832640683927,5665.611074546995,78.0,14.499999999999998,7.3999999999999995,0.2,29.499999999999996,21.2,23.2,11.2,14.9,1.5,8.7,8.6,2.9,12.9,6.5,1.5,5.0,10.3,20.7,11.5,5.2,4.8
American Indian/Alaska Native,53250.0,197.7828297661199,32.509327684521644,4.9052868645656735,81.2965401596502,11.593686918642788,1.5837112844477974,100.38266844657012,71482.0,26628.12188075025,7109.402238678373,272.51593692031514,13549.4233599417,1932.281153107131,90.0,7365.173528442701,25270.101171328548,25502.523691012775,21469.684071967557,78.0,14.499999999999998,7.4,0.2,29.5,21.2,23.2,11.2,14.900000000000002,1.5,8.7,8.6,2.9,12.9,6.5,1.5,5.0,10.3,20.7,11.5,5.2,4.8
Black,60421.00000000001,502.2016707104921,136.22411612877457,9.50445993697428,193.96092344026138,28.666582038561963,0.4621018332046595,153.55709345776143,71482.0,6930.607064852805,1850.392363491631,70.92880549980805,3526.562244368388,502.9224919045958,90.0,1916.9629731563198,6577.149619934828,6637.64315245538,5587.999963936762,78.0,14.5,7.4,0.2,29.5,21.2,23.2,11.2,14.899999999999999,1.5,8.7,8.6,2.9,12.9,6.5,1.5,5.0,10.3,20.7,11.5,5.2,4.8
Native Hawaiian/Pacific Islander,72997.0,418.8345410285823,110.60308126219871,11.650056303343472,193.0792828791692,27.535006431776615,8.132817603881895,1695.374220921205,71482.0,126483.57893356367,33769.66063372226,1294.4507003714966,64359.76095972308,9178.335477258872,90.0,34984.574260102825,120032.98056381058,121136.98753231065,101980.99934184588,78.0,14.5,7.4,0.2,29.5,21.2,23.2,11.2,14.9,1.5,8.7,8.6,2.9,12.9,6.5,1.5,5.0,10.3,20.7,11.5,5.2,4.8
