,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL,PERCENT_INSURED,BELOW_POVERTY_LEVEL,HOUSEHOLD_MEDIAN_INCOME_DOLLARS_OVERALL,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,PUBLIC_TRANSPORTATION_OVERALL,CAR_TRUCK_VAN_ALONE_OVERALL,CAR_TRUCK_VAN_CARPOOL_OVERALL,PERCENT_INSURED_OVERALL,BELOW_POVERTY_LEVEL_OVERALL,POPULATION_GENDER_MALE,POPULATION_GENDER_FEMALE,EMPLOYED_POPULATION_CHARACTERISTICS_OVERALL,EMPLOYED_POPULATION_CHARACTERISTICS_Private_Wage_Salary,EMPLOYED_POPULATION_CHARACTERISTICS_Government,EMPLOYED_POPULATION_CHARACTERISTICS_Self Employed,EMPLOYED_POPULATION_CHARACTERISTICS_Unpaid Family,EMPLOYED_POPULATION_CHARACTERISTICS_Management Business,EMPLOYED_POPULATION_CHARACTERISTICS_Service Occupations,EMPLOYED_POPULATION_CHARACTERISTICS_Sales,EMPLOYED_POPULATION_CHARACTERISTICS_Natural Resources,EMPLOYED_POPULATION_CHARACTERISTICS_Production,EMPLOYED_POPULATION_CHARACTERISTICS_Agricilture,EMPLOYED_POPULATION_CHARACTERISTICS_Construction,EMPLOYED_POPULATION_CHARACTERISTICS_Manufacturing,EMPLOYED_POPULATION_CHARACTERISTICS_Wholesale_Trade,EMPLOYED_POPULATION_CHARACTERISTICS_Retail,EMPLOYED_POPULATION_CHARACTERISTICS_Transportation,EMPLOYED_POPULATION_CHARACTERISTICS_Information,EMPLOYED_POPULATION_CHARACTERISTICS_Finance_and_Insurance,EMPLOYED_POPULATION_CHARACTERISTICS_Professional_Scientific_and_Management,EMPLOYED_POPULATION_CHARACTERISTICS_Educational_Services_and_Health_Care,EMPLOYED_POPULATION_CHARACTERISTICS_Arts_Entertainment_and_Recreation,EMPLOYED_POPULATION_CHARACTERISTICS_Other,EMPLOYED_POPULATION_CHARACTERISTICS_Public_Administration,POPULATION_RACE_BLACK,POPULATION_RACE_HISPANIC,POPULATION_RACE_WHITE,POPULATION_RACE_ASIAN
White,126093.0,775.542271374695,473.43150944830893,19.993534339461068,496.0943426094095,48.01855467466728,0.156697136963257,57.07866355211631,126093.0,1976.7233508378638,1151.842412875265,69.90746272538834,1378.0398405816932,200.91445470572086,95.2,254.01632612510772,1645.0782115335815,1613.3147285910907,1671.1307768737001,84.7,9.3,5.9,0.1,53.1,14.9,17.5,6.1,8.4,0.5,5.1,16.8,2.1,8.6,2.9,5.2,4.8,20.6,18.9,8.2,4.1,2.4,2.5,95.0,32.0,35.9
Hispanic,75313.0,406.79678730524955,100.4247213997755,21.47725032834471,398.06610050979026,78.20233503401715,0.1783655591819289,119.40335668920643,126093.0,2419.509381425545,1409.8551133593242,85.56673437587533,1686.7207648719923,245.9192925598023,95.2,310.91598317713186,2013.5757309171036,1974.6972277954947,2045.464070893409,84.7,9.3,5.9,0.1,53.1,14.9,17.5,6.1,8.4,0.5,5.1,16.8,2.1,8.6,2.9,5.2,4.8,20.6,18.9,8.2,4.1,2.4,2.5,95.0,32.0,35.9
Asian,138903.0,600.0074907335423,429.61458313881633,21.062580769446235,374.1060157985317,60.53397970702826,0.12269374651964189,62.619180736131625,126093.0,1550.9675521958623,903.7532777944386,54.85047075376623,1081.2312595333283,157.64057215371943,95.2,199.30511742123838,1290.7536736648099,1265.8315562791631,1311.1949172393645,84.7,9.3,5.9,0.10000000000000002,53.099999999999994,14.899999999999999,17.5,6.1,8.4,0.5,5.1,16.8,2.1,8.6,2.9,5.2,4.8,20.6,18.9,8.2,4.1,2.4,2.5,95.00000000000001,32.0,35.9
Black,74284.0,552.1133661416214,228.19623675913473,36.671457589660854,406.6201843887839,50.501283293530825,1.673676195060617,108.18850646804245,126093.0,21602.762334156654,12587.992083565396,763.9886997846011,15060.006829214217,2195.7079692839493,95.2,2776.0355640815346,17978.35474033128,17631.225248174058,18263.072061548293,84.7,9.3,5.9,0.1,53.1,14.9,17.5,6.1000000000000005,8.4,0.5,5.1,16.8,2.1,8.6,2.9,5.2,4.8,20.6,18.9,8.2,4.1,2.4,2.5,95.0,32.0,35.89999999999999
Native Hawaiian/Pacific Islander,93391.0,465.6996491431915,107.99584200446922,29.94835703155636,337.34415297439847,61.479823139950575,9.372586692339455,4884.296097418266,126093.0,120975.46907127726,70492.75566796621,4278.3367187937665,84336.03824359961,12295.964627990115,95.2,15545.799158856593,100678.78654585518,98734.86138977473,102273.20354467044,84.7,9.3,5.9,0.1,53.1,14.899999999999999,17.5,6.1,8.4,0.5,5.1,16.8,2.1,8.6,2.9,5.2,4.8,20.6,18.9,8.2,4.1,2.4,2.5,95.0,32.0,35.9
