Hispanic,Non-Hispanic,date,Hispanic_discrepancy,Non-Hispanic_discrepancy
41,1,2020-06-14,1.148235294117647,0.16
46,1,2020-06-15,1.151764705882353,0.14
50,1,2020-06-16,1.1529411764705881,0.13333333333333333
51,1,2020-06-17,1.1541176470588235,0.12666666666666668
57,1,2020-06-18,1.1564705882352941,0.11333333333333334
58,1,2020-06-19,1.1564705882352941,0.11333333333333334
58,1,2020-06-20,1.1564705882352941,0.11333333333333334
58,1,2020-06-21,1.1564705882352941,0.11333333333333334
58,1,2020-06-22,1.1564705882352941,0.11333333333333334
60,1,2020-06-23,1.1576470588235295,0.10666666666666667
62,1,2020-06-24,1.1576470588235295,0.10666666666666667
65,1,2020-06-25,1.1588235294117648,0.1
65,1,2020-06-26,1.1588235294117648,0.1
73,1,2020-06-27,1.16,0.09333333333333334
73,1,2020-06-28,1.16,0.09333333333333334
73,1,2020-06-29,1.16,0.09333333333333334
84,1,2020-06-30,1.1623529411764706,0.08
91,1,2020-07-02,1.163529411764706,0.07333333333333333
96,1,2020-07-03,1.1647058823529413,0.06666666666666667
106,1,2020-07-05,1.1658823529411766,0.06
113,1,2020-07-06,1.1658823529411766,0.06
113,1,2020-07-07,1.1658823529411766,0.06
118,1,2020-07-08,1.1670588235294117,0.05333333333333334
120,1,2020-07-09,1.1670588235294117,0.05333333333333334
120,1,2020-07-10,1.1670588235294117,0.05333333333333334
120,1,2020-07-11,1.1670588235294117,0.05333333333333334
120,1,2020-07-12,1.1670588235294117,0.05333333333333334
120,1,2020-07-13,1.1670588235294117,0.05333333333333334
120,1,2020-07-14,1.1670588235294117,0.05333333333333334
120,1,2020-07-15,1.1670588235294117,0.05333333333333334
120,1,2020-07-16,1.1670588235294117,0.05333333333333334
120,1,2020-07-17,1.1670588235294117,0.05333333333333334
120,1,2020-07-18,1.1670588235294117,0.05333333333333334
120,1,2020-07-19,1.1670588235294117,0.05333333333333334
120,1,2020-07-20,1.1670588235294117,0.05333333333333334
120,1,2020-07-21,1.1670588235294117,0.05333333333333334
120,1,2020-07-22,1.1670588235294117,0.05333333333333334
120,1,2020-07-23,1.1670588235294117,0.05333333333333334
120,1,2020-07-24,1.1670588235294117,0.05333333333333334
120,1,2020-07-25,1.1670588235294117,0.05333333333333334
120,1,2020-07-26,1.1670588235294117,0.05333333333333334
120,1,2020-07-28,1.1670588235294117,0.05333333333333334
120,1,2020-07-29,1.1670588235294117,0.05333333333333334
120,1,2020-07-30,1.1670588235294117,0.05333333333333334
120,1,2020-08-01,1.1670588235294117,0.05333333333333334
120,1,2020-08-02,1.1670588235294117,0.05333333333333334
120,1,2020-08-06,1.1670588235294117,0.05333333333333334
120,1,2020-08-07,1.1670588235294117,0.05333333333333334
120,1,2020-08-08,1.1670588235294117,0.05333333333333334
