time,y,y_pred
1,1.143529411764706,1.0729151841977633
2,1.1423529411764706,1.0734632707607847
3,1.143529411764706,1.0740113573238061
4,1.1411764705882352,1.0745594438868273
5,1.14,1.0751075304498485
6,1.1411764705882352,1.07565561701287
7,1.1423529411764706,1.0762037035758913
10,1.1423529411764706,1.0778479632649554
11,1.1423529411764706,1.0783960498279765
12,1.1423529411764706,1.078944136390998
13,1.1411764705882352,1.0794922229540194
14,1.1411764705882352,1.0800403095170408
16,1.1388235294117648,1.0811364826430834
17,1.14,1.0816845692061046
19,1.14,1.0827807423321474
20,1.1388235294117648,1.0833288288951688
22,1.1388235294117648,1.0844250020212112
23,1.1376470588235297,1.0849730885842326
25,1.136470588235294,1.0860692617102754
26,1.136470588235294,1.0866173482732968
27,1.136470588235294,1.087165434836318
30,1.136470588235294,1.088809694525382
31,1.1294117647058823,1.0893577810884034
32,1.128235294117647,1.0899058676514246
33,1.1247058823529412,1.090453954214446
34,1.123529411764706,1.0910020407774672
35,1.1211764705882352,1.0915501273404886
37,1.1223529411764706,1.0926463004665314
39,1.1223529411764706,1.0937424735925738
40,1.12,1.0942905601555952
41,1.1211764705882352,1.0948386467186166
42,1.12,1.095386733281638
45,1.12,1.0970309929707018
46,1.1176470588235294,1.0975790795337232
47,1.1176470588235294,1.0981271660967447
49,1.116470588235294,1.0992233392227873
54,1.1141176470588234,1.101963772037894
55,1.1141176470588234,1.1025118586009153
56,1.1141176470588234,1.1030599451639365
60,1.1141176470588234,1.105252291416022
62,1.1141176470588234,1.1063484645420645
69,1.112941176470588,1.110185070483214
72,1.112941176470588,1.111829330172278
73,1.112941176470588,1.112377416735299
74,1.1105882352941177,1.1129255032983205
75,1.1094117647058823,1.113473589861342
76,1.108235294117647,1.1140216764243633
77,1.108235294117647,1.1145697629873847
79,1.1070588235294117,1.1156659361134271
80,1.1058823529411763,1.1162140226764485
81,1.1058823529411763,1.11676210923947
82,1.1058823529411763,1.1173101958024914
83,1.1058823529411763,1.1178582823655128
84,1.1058823529411763,1.118406368928534
87,1.1058823529411763,1.120050628617598
88,1.1047058823529412,1.1205987151806194
89,1.1047058823529412,1.1211468017436406
90,1.1047058823529412,1.1216948883066618
91,1.1047058823529412,1.1222429748696832
93,1.1047058823529412,1.123339147995726
95,1.1047058823529412,1.1244353211217686
96,1.1047058823529412,1.1249834076847898
97,1.1011764705882354,1.1255314942478112
98,1.1011764705882354,1.1260795808108326
100,1.1011764705882354,1.1271757539368754
101,1.1011764705882354,1.1277238404998966
102,1.1011764705882354,1.1282719270629178
103,1.1011764705882354,1.1288200136259392
104,1.1011764705882354,1.1293681001889606
105,1.1,1.129916186751982
107,1.1,1.1310123598780244
108,1.1,1.1315604464410458
109,1.0988235294117648,1.1321085330040672
110,1.0988235294117648,1.1326566195670886
111,1.0988235294117648,1.13320470613011
112,1.0988235294117648,1.1337527926931312
114,1.0988235294117648,1.1348489658191738
115,1.0976470588235294,1.1353970523821952
116,1.0976470588235294,1.1359451389452166
117,1.0964705882352943,1.136493225508238
121,1.0952941176470592,1.1386855717603233
122,1.0952941176470592,1.1392336583233447
123,1.0952941176470592,1.1397817448863659
124,1.0952941176470592,1.1403298314493873
125,1.0952941176470592,1.1408779180124085
129,1.0952941176470592,1.1430702642644939
131,1.0952941176470592,1.1441664373905365
134,1.0952941176470592,1.1458106970796007
136,1.0941176470588236,1.146906870205643
138,1.0929411764705883,1.148003043331686
140,1.0929411764705883,1.1490992164577285
143,1.0929411764705883,1.1507434761467925
145,1.0929411764705883,1.1518396492728353
148,1.091764705882353,1.1534839089618991
150,1.0905882352941176,1.154580082087942
151,1.0905882352941176,1.1551281686509633
156,1.0905882352941176,1.15786860146607
157,1.0905882352941176,1.1584166880290911
1,0.1414141414141414,0.23409451409706666
2,0.14646464646464644,0.23464260066008807
3,0.1414141414141414,0.23519068722310937
4,0.1515151515151515,0.23573877378613067
5,0.15656565656565655,0.23628686034915208
6,0.1515151515151515,0.23683494691217338
7,0.14646464646464644,0.23738303347519468
11,0.14646464646464644,0.23957537972728
12,0.14646464646464644,0.2401234662903014
13,0.1515151515151515,0.2406715528533227
14,0.1515151515151515,0.241219639416344
16,0.1616161616161616,0.2423158125423867
19,0.15656565656565655,0.24396007223145072
20,0.1616161616161616,0.24450815879447202
23,0.16666666666666666,0.24615241848353603
25,0.1717171717171717,0.24724859160957874
27,0.1717171717171717,0.24834476473562134
30,0.1717171717171717,0.24998902442468535
31,0.202020202020202,0.25053711098770665
32,0.20707070707070707,0.25108519755072806
33,0.2222222222222222,0.25163328411374936
34,0.2272727272727273,0.25218137067677066
35,0.2373737373737373,0.25272945723979207
39,0.2323232323232323,0.2549218034918774
40,0.2424242424242425,0.2554698900548987
41,0.2373737373737373,0.25601797661792
42,0.2424242424242425,0.2565660631809414
45,0.2424242424242425,0.2582103228700054
46,0.2525252525252525,0.2587584094330267
47,0.2525252525252525,0.259306495996048
49,0.2575757575757576,0.2604026691220907
54,0.2676767676767677,0.2631431019371973
55,0.2676767676767677,0.2636911885002186
60,0.2676767676767677,0.26643162131532533
62,0.2676767676767677,0.26752779444136804
69,0.2727272727272727,0.27136440038251736
72,0.2727272727272727,0.27300866007158126
74,0.2828282828282828,0.27410483319762396
75,0.2878787878787879,0.27465291976064526
76,0.2929292929292929,0.2752010063236667
77,0.2929292929292929,0.275749092886688
79,0.297979797979798,0.2768452660127307
80,0.303030303030303,0.277393352575752
81,0.303030303030303,0.2779414391387733
82,0.303030303030303,0.2784895257017947
83,0.303030303030303,0.279037612264816
88,0.3080808080808081,0.2817780450799226
89,0.3080808080808081,0.2823261316429439
90,0.3080808080808081,0.2828742182059653
91,0.3080808080808081,0.2834223047689866
93,0.3080808080808081,0.2845184778950293
95,0.3080808080808081,0.2856146510210719
96,0.3080808080808081,0.28616273758409333
97,0.3232323232323232,0.28671082414711463
98,0.3232323232323232,0.28725891071013593
100,0.3232323232323232,0.28835508383617864
102,0.3232323232323232,0.28945125696222124
103,0.3232323232323232,0.28999934352524265
104,0.3232323232323232,0.29054743008826395
105,0.3282828282828283,0.29109551665128525
107,0.3282828282828283,0.29219168977732796
108,0.3282828282828283,0.29273977634034926
109,0.3333333333333333,0.29328786290337056
110,0.3333333333333333,0.29383594946639197
111,0.3333333333333333,0.29438403602941327
112,0.3333333333333333,0.29493212259243456
114,0.3333333333333333,0.2960282957184773
115,0.3383838383838384,0.2965763822814986
116,0.3383838383838384,0.29712446884452
117,0.3434343434343434,0.2976725554075413
121,0.3484848484848485,0.2998649016596266
122,0.3484848484848485,0.3004129882226479
123,0.3484848484848485,0.3009610747856693
124,0.3484848484848485,0.3015091613486906
125,0.3484848484848485,0.3020572479117119
129,0.3484848484848485,0.3042495941637972
131,0.3484848484848485,0.3053457672898399
134,0.3484848484848485,0.30699002697890393
136,0.35353535353535354,0.30808620010494664
138,0.35858585858585856,0.30918237323098924
143,0.35858585858585856,0.31192280604609596
145,0.35858585858585856,0.31301897917213856
148,0.3636363636363636,0.31466323886120257
150,0.3686868686868687,0.3157594119872453
151,0.3686868686868687,0.3163074985502666
156,0.3686868686868687,0.3190479313653732
157,0.3686868686868687,0.3195960179283947
