,Hispanic,Non-Hispanic,date,Hispanic_discrepancy,Non-Hispanic_discrepancy
0,41,1,2020-06-14,1.148,0.16
1,46,1,2020-06-15,1.152,0.14
2,50,1,2020-06-16,1.153,0.133
3,51,1,2020-06-17,1.154,0.127
4,57,1,2020-06-18,1.156,0.113
5,58,1,2020-06-19,1.156,0.113
6,58,1,2020-06-20,1.156,0.113
7,58,1,2020-06-21,1.156,0.113
8,58,1,2020-06-22,1.156,0.113
9,60,1,2020-06-23,1.158,0.107
10,62,1,2020-06-24,1.158,0.107
11,65,1,2020-06-25,1.159,0.1
12,65,1,2020-06-26,1.159,0.1
13,73,1,2020-06-27,1.16,0.093
14,73,1,2020-06-28,1.16,0.093
15,73,1,2020-06-29,1.16,0.093
16,84,1,2020-06-30,1.162,0.08
17,91,1,2020-07-02,1.164,0.073
18,96,1,2020-07-03,1.165,0.067
19,106,1,2020-07-05,1.166,0.06
20,113,1,2020-07-06,1.166,0.06
21,113,1,2020-07-07,1.166,0.06
22,118,1,2020-07-08,1.167,0.053
23,120,1,2020-07-09,1.167,0.053
24,120,1,2020-07-10,1.167,0.053
25,120,1,2020-07-11,1.167,0.053
26,120,1,2020-07-12,1.167,0.053
27,120,1,2020-07-13,1.167,0.053
28,120,1,2020-07-14,1.167,0.053
29,120,1,2020-07-15,1.167,0.053
30,120,1,2020-07-16,1.167,0.053
31,120,1,2020-07-17,1.167,0.053
32,120,1,2020-07-18,1.167,0.053
33,120,1,2020-07-19,1.167,0.053
34,120,1,2020-07-20,1.167,0.053
35,120,1,2020-07-21,1.167,0.053
36,120,1,2020-07-22,1.167,0.053
37,120,1,2020-07-23,1.167,0.053
38,120,1,2020-07-24,1.167,0.053
39,120,1,2020-07-25,1.167,0.053
