state,county,n,features,coef,lower_coef,upper_coef,std_err,R2,R2 Adjusted,Durbin-Watson,JB,condition_number,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,199,constant,-0.1090127080168326,-0.822736344541236,0.6047109285075708,0.36414471251245073,0.9846066547172034,0.9844495797653382,1.86,84599.846,4.801197310012852e+16,22094055034964.77,2.0045225686722383,1397931378394.3384,75831726617379.56,1.3482831959062525,3.0509071116416084
california,imperial,199,time,0.4778879134821796,-0.019429813755182435,0.9752056407195417,0.2537335343047766,0.9846066547172034,0.9844495797653382,1.86,84599.846,4.801197310012852e+16,22094055034964.77,2.0045225686722383,1397931378394.3384,75831726617379.56,1.3482831959062525,3.0509071116416084
california,imperial,199,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-2.07321222987565,-2.109503943176144,-2.036920516575156,0.018516180255354092,0.9846066547172034,0.9844495797653382,1.86,84599.846,4.801197310012852e+16,22094055034964.77,2.0045225686722383,1397931378394.3384,75831726617379.56,1.3482831959062525,3.0509071116416084
california,imperial,199,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-2.0732122298756543,-2.1095039431761484,-2.0369205165751603,0.01851618025535413,0.9846066547172034,0.9844495797653382,1.86,84599.846,4.801197310012852e+16,22094055034964.77,2.0045225686722383,1397931378394.3384,75831726617379.56,1.3482831959062525,3.0509071116416084
california,imperial,199,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-2.073212229875649,-2.109503943176143,-2.036920516575155,0.018516180255354085,0.9846066547172034,0.9844495797653382,1.86,84599.846,4.801197310012852e+16,22094055034964.77,2.0045225686722383,1397931378394.3384,75831726617379.56,1.3482831959062525,3.0509071116416084
california,imperial,199,PUBLIC_TRANSPORTATION,2.0732122298756472,2.036920516575153,2.1095039431761413,0.018516180255354068,0.9846066547172034,0.9844495797653382,1.86,84599.846,4.801197310012852e+16,22094055034964.77,2.0045225686722383,1397931378394.3384,75831726617379.56,1.3482831959062525,3.0509071116416084
california,imperial,199,CAR_TRUCK_VAN_ALONE,-2.073212229875652,-2.109503943176146,-2.036920516575158,0.01851618025535411,0.9846066547172034,0.9844495797653382,1.86,84599.846,4.801197310012852e+16,22094055034964.77,2.0045225686722383,1397931378394.3384,75831726617379.56,1.3482831959062525,3.0509071116416084
california,imperial,199,CAR_TRUCK_VAN_CARPOOL,-2.0732122298756392,-2.109503943176133,-2.0369205165751456,0.018516180255354005,0.9846066547172034,0.9844495797653382,1.86,84599.846,4.801197310012852e+16,22094055034964.77,2.0045225686722383,1397931378394.3384,75831726617379.56,1.3482831959062525,3.0509071116416084
california,riverside,597,constant,0.06322401563578339,-0.21382013385506393,0.3402681651266307,0.1413490558626772,0.9799824888564919,0.979744589742732,0.937,169.947,54.811836862113914,1.8414406284084235,2.2311393733342273,1.1664996660210398,3.287493732514702,1.9110363269387343,2.6038552188779365
california,riverside,597,time,-0.08444794749233692,-0.2753599283758011,0.10646403339112726,0.09740407187931846,0.9799824888564919,0.979744589742732,0.937,169.947,54.811836862113914,1.8414406284084235,2.2311393733342273,1.1664996660210398,3.287493732514702,1.9110363269387343,2.6038552188779365
california,riverside,597,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-21.779781203511178,-22.205642013197107,-21.35392039382525,0.21727592330914666,0.9799824888564919,0.979744589742732,0.937,169.947,54.811836862113914,1.8414406284084235,2.2311393733342273,1.1664996660210398,3.287493732514702,1.9110363269387343,2.6038552188779365
california,riverside,597,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-70.15470300081978,-71.68439170482046,-68.6250142968191,0.7804534204085048,0.9799824888564919,0.979744589742732,0.937,169.947,54.811836862113914,1.8414406284084235,2.2311393733342273,1.1664996660210398,3.287493732514702,1.9110363269387343,2.6038552188779365
california,riverside,597,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,55.983628330416664,54.72158284508019,57.245673815753136,0.643900757824732,0.9799824888564919,0.979744589742732,0.937,169.947,54.811836862113914,1.8414406284084235,2.2311393733342273,1.1664996660210398,3.287493732514702,1.9110363269387343,2.6038552188779365
california,riverside,597,PUBLIC_TRANSPORTATION,16.866545562664182,16.57394886628565,17.159142259042714,0.14928402876455615,0.9799824888564919,0.979744589742732,0.937,169.947,54.811836862113914,1.8414406284084235,2.2311393733342273,1.1664996660210398,3.287493732514702,1.9110363269387343,2.6038552188779365
california,riverside,597,CAR_TRUCK_VAN_ALONE,62.81754860515055,61.523826944980094,64.111270265321,0.660062071515537,0.9799824888564919,0.979744589742732,0.937,169.947,54.811836862113914,1.8414406284084235,2.2311393733342273,1.1664996660210398,3.287493732514702,1.9110363269387343,2.6038552188779365
california,riverside,597,CAR_TRUCK_VAN_CARPOOL,-37.04208198640824,-37.907293160776106,-36.17687081204038,0.44143427263666607,0.9799824888564919,0.979744589742732,0.937,169.947,54.811836862113914,1.8414406284084235,2.2311393733342273,1.1664996660210398,3.287493732514702,1.9110363269387343,2.6038552188779365
california,sonoma,191,constant,-1.0885091950545307,-2.3645732257775776,0.18755483566851616,0.6510530768995137,0.9698052182850295,0.9686502266347301,0.452,140.677,52.933755689947674,27.747176171654555,7.732957400905556,2.1413327335495085,83.95705160040708,3.5051602802015056,9.403203988319186
california,sonoma,191,time,2.1860068896708857,1.3254397231247954,3.046574056216976,0.4390648808908625,0.9698052182850295,0.9686502266347301,0.452,140.677,52.933755689947674,27.747176171654555,7.732957400905556,2.1413327335495085,83.95705160040708,3.5051602802015056,9.403203988319186
