state,county,n,features,coef,lower_coef,upper_coef,std_err,R2,R2 Adjusted,Durbin-Watson,JB,condition_number,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,18,constant,0.46548777212930637,0.44865570593116916,0.4823198383274436,0.008587788876600614,0.9739610189543383,0.9704891548149167,0.414,2.099,2.4703846345859056e+17,0.0709039463286437,0.029542292887623403,0.015167261067335444,0.08991299499382178,0.00876677282986696,0.034716617054606484
california,imperial,18,time,0.1778426942806254,0.1610771443747952,0.19460824418645561,0.008553851992770518,0.9739610189543383,0.9704891548149167,0.414,2.099,2.4703846345859056e+17,0.0709039463286437,0.029542292887623403,0.015167261067335444,0.08991299499382178,0.00876677282986696,0.034716617054606484
california,imperial,18,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.008162861694596686,-0.011864617203013074,-0.004461106186180298,0.0018886507696001978,0.9739610189543383,0.9704891548149167,0.414,2.099,2.4703846345859056e+17,0.0709039463286437,0.029542292887623403,0.015167261067335444,0.08991299499382178,0.00876677282986696,0.034716617054606484
california,imperial,18,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.008162861694596391,-0.011864617203012774,-0.0044611061861800074,0.0018886507696001958,0.9739610189543383,0.9704891548149167,0.414,2.099,2.4703846345859056e+17,0.0709039463286437,0.029542292887623403,0.015167261067335444,0.08991299499382178,0.00876677282986696,0.034716617054606484
california,imperial,18,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.008162861694596766,-0.011864617203013147,-0.004461106186180385,0.0018886507696001947,0.9739610189543383,0.9704891548149167,0.414,2.099,2.4703846345859056e+17,0.0709039463286437,0.029542292887623403,0.015167261067335444,0.08991299499382178,0.00876677282986696,0.034716617054606484
california,imperial,18,PUBLIC_TRANSPORTATION,0.008162861694595845,0.00446110618617946,0.01186461720301223,0.001888650769600196,0.9739610189543383,0.9704891548149167,0.414,2.099,2.4703846345859056e+17,0.0709039463286437,0.029542292887623403,0.015167261067335444,0.08991299499382178,0.00876677282986696,0.034716617054606484
california,imperial,18,CAR_TRUCK_VAN_ALONE,-0.0081628616945973,-0.011864617203013683,-0.004461106186180918,0.001888650769600195,0.9739610189543383,0.9704891548149167,0.414,2.099,2.4703846345859056e+17,0.0709039463286437,0.029542292887623403,0.015167261067335444,0.08991299499382178,0.00876677282986696,0.034716617054606484
california,imperial,18,CAR_TRUCK_VAN_CARPOOL,-0.008162861694591442,-0.011864617203007828,-0.004461106186175056,0.0018886507696001971,0.9739610189543383,0.9704891548149167,0.414,2.099,2.4703846345859056e+17,0.0709039463286437,0.029542292887623403,0.015167261067335444,0.08991299499382178,0.00876677282986696,0.034716617054606484
california,sacramento,224,constant,0.23627522360879663,0.23201707180007544,0.24053337541751782,0.0021725264330210116,0.9715411118485667,0.9708883850561026,0.316,9.212,1.5192385693097456e+16,0.3385853027350712,0.02902732414988048,0.2235607304054344,0.44341686812304626,0.02179063254579338,0.033715670991241155
california,sacramento,224,time,0.0765675313121578,0.07362236345675466,0.07951269916756093,0.0015026366609199688,0.9715411118485667,0.9708883850561026,0.316,9.212,1.5192385693097456e+16,0.3385853027350712,0.02902732414988048,0.2235607304054344,0.44341686812304626,0.02179063254579338,0.033715670991241155
california,sacramento,224,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,0.09567109445803376,0.09092285662483784,0.10041933229122968,0.002422570323059141,0.9715411118485667,0.9708883850561026,0.316,9.212,1.5192385693097456e+16,0.3385853027350712,0.02902732414988048,0.2235607304054344,0.44341686812304626,0.02179063254579338,0.033715670991241155
california,sacramento,224,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.0020505064406334712,0.0013632074394269974,0.002737805441839945,0.0003506627557175887,0.9715411118485667,0.9708883850561026,0.316,9.212,1.5192385693097456e+16,0.3385853027350712,0.02902732414988048,0.2235607304054344,0.44341686812304626,0.02179063254579338,0.033715670991241155
california,sacramento,224,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.06661225706371965,-0.06895414865026268,-0.06427036547717661,0.0011948426461954227,0.9715411118485667,0.9708883850561026,0.316,9.212,1.5192385693097456e+16,0.3385853027350712,0.02902732414988048,0.2235607304054344,0.44341686812304626,0.02179063254579338,0.033715670991241155
california,sacramento,224,PUBLIC_TRANSPORTATION,-0.07723873801892236,-0.0803882149144235,-0.07408926112342124,0.001606875967092416,0.9715411118485667,0.9708883850561026,0.316,9.212,1.5192385693097456e+16,0.3385853027350712,0.02902732414988048,0.2235607304054344,0.44341686812304626,0.02179063254579338,0.033715670991241155
california,sacramento,224,CAR_TRUCK_VAN_ALONE,-0.053625661946347686,-0.05705050342354579,-0.05020082046914958,0.0017473681006112787,0.9715411118485667,0.9708883850561026,0.316,9.212,1.5192385693097456e+16,0.3385853027350712,0.02902732414988048,0.2235607304054344,0.44341686812304626,0.02179063254579338,0.033715670991241155
california,sacramento,224,CAR_TRUCK_VAN_CARPOOL,-0.1394470341495778,-0.14421916399294174,-0.13467490430621384,0.002434760124165285,0.9715411118485667,0.9708883850561026,0.316,9.212,1.5192385693097456e+16,0.3385853027350712,0.02902732414988048,0.2235607304054344,0.44341686812304626,0.02179063254579338,0.033715670991241155
california,alameda,183,constant,0.25219473723437696,0.24705875672194622,0.2573307177468077,0.0026203982206279308,0.9850193783098989,0.9846827351258517,0.245,7.034,1.809067361745139e+16,0.19378357981865196,0.029714724967588084,0.14455730369058978,0.25634984887839457,0.022587059174472655,0.03444485019306027
