time,date,y,y_pred,state,county,ethnicity
10,2020-06-23,1.0576923076923077,1.2186455231030686,california,sanfrancisco,Black
11,2020-06-24,1.0576923076923077,1.2186062865170209,california,sanfrancisco,Black
13,2020-06-26,1.1153846153846154,1.2185278133449255,california,sanfrancisco,Black
14,2020-06-27,1.1153846153846154,1.218488576758878,california,sanfrancisco,Black
16,2020-06-29,1.153846153846154,1.2184101035867827,california,sanfrancisco,Black
19,2020-07-02,1.2115384615384617,1.2182923938286399,california,sanfrancisco,Black
23,2020-07-06,1.1923076923076923,1.2181354474844495,california,sanfrancisco,Black
25,2020-07-08,1.1923076923076923,1.2180569743123542,california,sanfrancisco,Black
26,2020-07-09,1.2115384615384617,1.2180177377263064,california,sanfrancisco,Black
27,2020-07-10,1.2307692307692308,1.2179785011402589,california,sanfrancisco,Black
28,2020-07-11,1.2307692307692308,1.2179392645542113,california,sanfrancisco,Black
29,2020-07-12,1.2307692307692308,1.2179000279681635,california,sanfrancisco,Black
30,2020-07-13,1.2307692307692308,1.217860791382116,california,sanfrancisco,Black
31,2020-07-14,1.2307692307692308,1.2178215547960685,california,sanfrancisco,Black
32,2020-07-15,1.2307692307692308,1.2177823182100207,california,sanfrancisco,Black
33,2020-07-16,1.2307692307692308,1.2177430816239732,california,sanfrancisco,Black
34,2020-07-17,1.2307692307692308,1.2177038450379256,california,sanfrancisco,Black
35,2020-07-18,1.2115384615384617,1.2176646084518779,california,sanfrancisco,Black
36,2020-07-19,1.2307692307692308,1.21762537186583,california,sanfrancisco,Black
37,2020-07-20,1.2307692307692308,1.2175861352797825,california,sanfrancisco,Black
38,2020-07-21,1.25,1.217546898693735,california,sanfrancisco,Black
39,2020-07-22,1.2692307692307694,1.2175076621076872,california,sanfrancisco,Black
40,2020-07-23,1.2692307692307694,1.2174684255216397,california,sanfrancisco,Black
41,2020-07-24,1.2692307692307694,1.2174291889355922,california,sanfrancisco,Black
42,2020-07-25,1.2884615384615383,1.2173899523495444,california,sanfrancisco,Black
43,2020-07-26,1.326923076923077,1.2173507157634968,california,sanfrancisco,Black
45,2020-07-28,1.307692307692308,1.2172722425914015,california,sanfrancisco,Black
46,2020-07-29,1.2884615384615383,1.217233006005354,california,sanfrancisco,Black
47,2020-07-30,1.307692307692308,1.2171937694193062,california,sanfrancisco,Black
49,2020-08-01,1.2884615384615383,1.217115296247211,california,sanfrancisco,Black
54,2020-08-06,1.326923076923077,1.216919113316973,california,sanfrancisco,Black
55,2020-08-07,1.3461538461538465,1.2168798767309252,california,sanfrancisco,Black
56,2020-08-08,1.3461538461538465,1.2168406401448777,california,sanfrancisco,Black
60,2020-08-12,1.326923076923077,1.216683693800687,california,sanfrancisco,Black
61,2020-08-13,1.307692307692308,1.2166444572146395,california,sanfrancisco,Black
62,2020-08-14,1.307692307692308,1.2166052206285918,california,sanfrancisco,Black
64,2020-08-16,1.307692307692308,1.2165267474564967,california,sanfrancisco,Black
70,2020-08-22,1.307692307692308,1.2162913279402108,california,sanfrancisco,Black
71,2020-08-23,1.326923076923077,1.2162520913541632,california,sanfrancisco,Black
72,2020-08-24,1.326923076923077,1.2162128547681155,california,sanfrancisco,Black
73,2020-08-25,1.307692307692308,1.216173618182068,california,sanfrancisco,Black
74,2020-08-26,1.307692307692308,1.2161343815960204,california,sanfrancisco,Black
75,2020-08-27,1.307692307692308,1.2160951450099726,california,sanfrancisco,Black
76,2020-08-28,1.307692307692308,1.216055908423925,california,sanfrancisco,Black
77,2020-08-29,1.307692307692308,1.2160166718378775,california,sanfrancisco,Black
78,2020-08-30,1.2884615384615383,1.2159774352518298,california,sanfrancisco,Black
80,2020-09-01,1.2884615384615383,1.2158989620797347,california,sanfrancisco,Black
81,2020-09-02,1.2884615384615383,1.215859725493687,california,sanfrancisco,Black
82,2020-09-03,1.2884615384615383,1.2158204889076394,california,sanfrancisco,Black
83,2020-09-04,1.2884615384615383,1.2157812523215916,california,sanfrancisco,Black
84,2020-09-05,1.2884615384615383,1.215742015735544,california,sanfrancisco,Black
85,2020-09-06,1.2884615384615383,1.2157027791494963,california,sanfrancisco,Black
87,2020-09-08,1.2884615384615383,1.2156243059774012,california,sanfrancisco,Black
88,2020-09-09,1.2884615384615383,1.2155850693913535,california,sanfrancisco,Black
89,2020-09-10,1.2884615384615383,1.215545832805306,california,sanfrancisco,Black
90,2020-09-11,1.2884615384615383,1.2155065962192584,california,sanfrancisco,Black
91,2020-09-12,1.2884615384615383,1.2154673596332106,california,sanfrancisco,Black
92,2020-09-13,1.2884615384615383,1.215428123047163,california,sanfrancisco,Black
93,2020-09-14,1.2884615384615383,1.2153888864611155,california,sanfrancisco,Black
94,2020-09-15,1.2884615384615383,1.2153496498750678,california,sanfrancisco,Black
95,2020-09-16,1.2884615384615383,1.21531041328902,california,sanfrancisco,Black
96,2020-09-17,1.2692307692307694,1.2152711767029725,california,sanfrancisco,Black
97,2020-09-18,1.2884615384615383,1.215231940116925,california,sanfrancisco,Black
98,2020-09-19,1.2884615384615383,1.2151927035308772,california,sanfrancisco,Black
99,2020-09-20,1.2884615384615383,1.2151534669448296,california,sanfrancisco,Black
100,2020-09-21,1.2884615384615383,1.215114230358782,california,sanfrancisco,Black
101,2020-09-22,1.2884615384615383,1.2150749937727343,california,sanfrancisco,Black
102,2020-09-23,1.2884615384615383,1.2150357571866868,california,sanfrancisco,Black
103,2020-09-24,1.2884615384615383,1.2149965206006392,california,sanfrancisco,Black
104,2020-09-25,1.2884615384615383,1.2149572840145915,california,sanfrancisco,Black
