time,y,y_pred,state,county
1,2.6278026905829592,1.8842734818254867,california,alameda
2,2.632286995515695,1.8848571628677746,california,alameda
3,2.632286995515695,1.8854408439100625,california,alameda
4,2.6412556053811658,1.8860245249523504,california,alameda
5,2.6591928251121075,1.8866082059946385,california,alameda
6,2.6771300448430493,1.8871918870369262,california,alameda
7,2.68609865470852,1.8877755680792143,california,alameda
9,2.704035874439462,1.8889429301637901,california,alameda
10,2.713004484304933,1.889526611206078,california,alameda
11,2.739910313901345,1.890110292248366,california,alameda
12,2.748878923766816,1.890693973290654,california,alameda
13,2.7668161434977576,1.8912776543329417,california,alameda
16,2.7757847533632285,1.8930286974598056,california,alameda
17,2.7713004484304933,1.8936123785020935,california,alameda
19,2.802690582959641,1.8947797405866693,california,alameda
20,2.802690582959641,1.8953634216289572,california,alameda
22,2.789237668161435,1.896530783713533,california,alameda
23,2.7847533632287003,1.8971144647558211,california,alameda
25,2.7623318385650224,1.898281826840397,california,alameda
26,2.7757847533632285,1.8988655078826848,california,alameda
27,2.7757847533632285,1.8994491889249727,california,alameda
30,2.789237668161435,1.9012002320518366,california,alameda
31,2.789237668161435,1.9017839130941243,california,alameda
1,0.4281045751633987,0.403563085152733,california,alameda
2,0.4281045751633987,0.404146766195021,california,alameda
3,0.4281045751633987,0.4047304472373089,california,alameda
4,0.4248366013071896,0.4053141282795968,california,alameda
5,0.4248366013071896,0.4058978093218847,california,alameda
6,0.4183006535947713,0.4064814903641727,california,alameda
7,0.4183006535947713,0.4070651714064606,california,alameda
9,0.4183006535947713,0.4082325334910364,california,alameda
10,0.4183006535947713,0.4088162145333244,california,alameda
11,0.4052287581699345,0.4093998955756123,california,alameda
12,0.4019607843137255,0.4099835766179002,california,alameda
13,0.3986928104575163,0.4105672576601881,california,alameda
16,0.3954248366013072,0.4123183007870519,california,alameda
17,0.3986928104575163,0.4129019818293398,california,alameda
19,0.3954248366013072,0.4140693439139157,california,alameda
20,0.3986928104575163,0.4146530249562036,california,alameda
22,0.4052287581699345,0.4158203870407795,california,alameda
23,0.4052287581699345,0.4164040680830674,california,alameda
25,0.4183006535947713,0.4175714301676432,california,alameda
26,0.4150326797385621,0.4181551112099312,california,alameda
27,0.4215686274509804,0.4187387922522191,california,alameda
30,0.4183006535947713,0.4204898353790828,california,alameda
31,0.4248366013071896,0.4210735164213708,california,alameda
1,0.4953560371517028,0.31853536924949255,california,alameda
2,0.4953560371517028,0.31911905029178045,california,alameda
3,0.4984520123839009,0.31970273133406835,california,alameda
4,0.5015479876160991,0.32028641237635636,california,alameda
5,0.4953560371517028,0.32087009341864425,california,alameda
6,0.4922600619195046,0.32145377446093215,california,alameda
7,0.4891640866873065,0.32203745550322016,california,alameda
9,0.4798761609907121,0.32320481758779596,california,alameda
10,0.4767801857585139,0.32378849863008385,california,alameda
11,0.4705882352941176,0.32437217967237175,california,alameda
12,0.4674922600619194,0.32495586071465976,california,alameda
13,0.4613003095975232,0.32553954175694766,california,alameda
16,0.4551083591331269,0.32729058488381146,california,alameda
17,0.45820433436532504,0.32787426592609936,california,alameda
19,0.4427244582043343,0.32904162801067516,california,alameda
20,0.4396284829721362,0.32962530905296317,california,alameda
22,0.436532507739938,0.33079267113753896,california,alameda
23,0.436532507739938,0.33137635217982686,california,alameda
25,0.4303405572755418,0.33254371426440277,california,alameda
26,0.4272445820433437,0.33312739530669067,california,alameda
27,0.4241486068111455,0.33371107634897856,california,alameda
30,0.4210526315789474,0.33546211947584237,california,alameda
31,0.4179566563467492,0.33604580051813027,california,alameda
1,0.9272727272727272,0.6762755427963735,california,alameda
2,0.9090909090909092,0.6768592238386615,california,alameda
3,0.9090909090909092,0.6774429048809494,california,alameda
4,0.890909090909091,0.6780265859232373,california,alameda
5,0.8818181818181818,0.6786102669655252,california,alameda
6,0.8727272727272728,0.6791939480078131,california,alameda
7,0.8636363636363636,0.679777629050101,california,alameda
9,0.8454545454545455,0.6809449911346769,california,alameda
10,0.8454545454545455,0.6815286721769648,california,alameda
11,0.8363636363636363,0.6821123532192528,california,alameda
12,0.8272727272727273,0.6826960342615407,california,alameda
13,0.8090909090909091,0.6832797153038286,california,alameda
16,0.8181818181818181,0.6850307584306923,california,alameda
17,0.8090909090909091,0.6856144394729803,california,alameda
19,0.8090909090909091,0.6867818015575562,california,alameda
20,0.8090909090909091,0.6873654825998441,california,alameda
22,0.8181818181818181,0.6885328446844199,california,alameda
23,0.8181818181818181,0.6891165257267078,california,alameda
25,0.8454545454545455,0.6902838878112837,california,alameda
26,0.8272727272727273,0.6908675688535716,california,alameda
27,0.8272727272727273,0.6914512498958596,california,alameda
30,0.8272727272727273,0.6932022930227233,california,alameda
31,0.8181818181818181,0.6937859740650112,california,alameda
1,1.143529411764706,0.8890197421239848,california,imperial
2,1.1423529411764706,0.8896034231662727,california,imperial
3,1.143529411764706,0.8901871042085606,california,imperial
4,1.1411764705882352,0.8907707852508485,california,imperial
5,1.14,0.8913544662931364,california,imperial
6,1.1411764705882352,0.8919381473354244,california,imperial
7,1.1423529411764706,0.8925218283777123,california,imperial
10,1.1423529411764706,0.8942728715045761,california,imperial
11,1.1423529411764706,0.894856552546864,california,imperial
12,1.1423529411764706,0.8954402335891519,california,imperial
13,1.1411764705882352,0.8960239146314398,california,imperial
14,1.1411764705882352,0.8966075956737278,california,imperial
16,1.1388235294117648,0.8977749577583037,california,imperial
17,1.14,0.8983586388005916,california,imperial
19,1.14,0.8995260008851674,california,imperial
20,1.1388235294117648,0.9001096819274553,california,imperial
22,1.1388235294117648,0.9012770440120312,california,imperial
23,1.1376470588235297,0.9018607250543191,california,imperial
25,1.136470588235294,0.903028087138895,california,imperial
26,1.136470588235294,0.9036117681811829,california,imperial
27,1.136470588235294,0.9041954492234708,california,imperial
30,1.136470588235294,0.9059464923503345,california,imperial
31,1.1294117647058823,0.9065301733926225,california,imperial
32,1.128235294117647,0.9071138544349104,california,imperial
33,1.1247058823529412,0.9076975354771984,california,imperial
34,1.123529411764706,0.9082812165194863,california,imperial
35,1.1211764705882352,0.9088648975617742,california,imperial
37,1.1223529411764706,0.91003225964635,california,imperial
39,1.1223529411764706,0.911199621730926,california,imperial
40,1.12,0.9117833027732138,california,imperial
41,1.1211764705882352,0.9123669838155019,california,imperial
42,1.12,0.9129506648577898,california,imperial
45,1.12,0.9147017079846534,california,imperial
46,1.1176470588235294,0.9152853890269413,california,imperial
47,1.1176470588235294,0.9158690700692294,california,imperial
49,1.116470588235294,0.9170364321538053,california,imperial
54,1.1141176470588234,0.9199548373652447,california,imperial
55,1.1141176470588234,0.9205385184075326,california,imperial
56,1.1141176470588234,0.9211221994498207,california,imperial
60,1.1141176470588234,0.9234569236189724,california,imperial
62,1.1141176470588234,0.9246242857035482,california,imperial
69,1.112941176470588,0.9287100529995637,california,imperial
72,1.112941176470588,0.9304610961264275,california,imperial
73,1.112941176470588,0.9310447771687154,california,imperial
74,1.1105882352941177,0.9316284582110034,california,imperial
