,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL,PERCENT_INSURED,BELOW_POVERTY_LEVEL,HOUSEHOLD_MEDIAN_INCOME_DOLLARS_OVERALL,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,PUBLIC_TRANSPORTATION_OVERALL,CAR_TRUCK_VAN_ALONE_OVERALL,CAR_TRUCK_VAN_CARPOOL_OVERALL,PERCENT_INSURED_OVERALL,BELOW_POVERTY_LEVEL_OVERALL,POPULATION_GENDER_MALE,POPULATION_GENDER_FEMALE,EMPLOYED_POPULATION_CHARACTERISTICS_OVERALL,EMPLOYED_POPULATION_CHARACTERISTICS_Private_Wage_Salary,EMPLOYED_POPULATION_CHARACTERISTICS_Government,EMPLOYED_POPULATION_CHARACTERISTICS_Self Employed,EMPLOYED_POPULATION_CHARACTERISTICS_Unpaid Family,EMPLOYED_POPULATION_CHARACTERISTICS_Management Business,EMPLOYED_POPULATION_CHARACTERISTICS_Service Occupations,EMPLOYED_POPULATION_CHARACTERISTICS_Sales,EMPLOYED_POPULATION_CHARACTERISTICS_Natural Resources,EMPLOYED_POPULATION_CHARACTERISTICS_Production,EMPLOYED_POPULATION_CHARACTERISTICS_Agricilture,EMPLOYED_POPULATION_CHARACTERISTICS_Construction,EMPLOYED_POPULATION_CHARACTERISTICS_Manufacturing,EMPLOYED_POPULATION_CHARACTERISTICS_Wholesale_Trade,EMPLOYED_POPULATION_CHARACTERISTICS_Retail,EMPLOYED_POPULATION_CHARACTERISTICS_Transportation,EMPLOYED_POPULATION_CHARACTERISTICS_Information,EMPLOYED_POPULATION_CHARACTERISTICS_Finance_and_Insurance,EMPLOYED_POPULATION_CHARACTERISTICS_Professional_Scientific_and_Management,EMPLOYED_POPULATION_CHARACTERISTICS_Educational_Services_and_Health_Care,EMPLOYED_POPULATION_CHARACTERISTICS_Arts_Entertainment_and_Recreation,EMPLOYED_POPULATION_CHARACTERISTICS_Other,EMPLOYED_POPULATION_CHARACTERISTICS_Public_Administration
White,83847.0,756.4643004243153,394.95430278281987,14.114340977772706,424.4520768721714,34.774895853101455,0.03227287094337187,100.24780764194963,83847.0,2055.0937960328506,831.0339834469112,109.4134959517264,1378.0911586758812,180.18080752902307,89.2,606.8055097543065,1899.3873913989542,1954.5265479713769,1858.5013075953905,79.3,11.3,9.3,0.2,37.0,18.9,22.7,7.6,13.8,0.5,5.8,9.6,3.4,10.4,5.8,4.4,6.1,12.9,20.6,11.3,6.0,3.2
Black,45886.0,569.3036243163859,163.34896896484696,34.58560607034072,291.74189829168404,28.21631445904502,0.09132065011138718,196.39418348885238,83847.0,5959.772008495266,2409.9985519960424,317.2991382600066,3996.4643601600555,522.5243418341669,89.2,1759.735978287489,5508.223435056967,5668.126989116993,5389.653792026633,79.3,11.3,9.3,0.2,37.0,18.9,22.7,7.6,13.8,0.5,5.8,9.6,3.4,10.4,5.8,4.4,6.1,12.9,20.6,11.3,6.0,3.2
American Indian/Alaska Native,54447.0,230.70492510652878,51.37764885718563,24.477362094343366,154.14933960617358,30.23176549183395,0.5318458248185963,91.63450209551223,83847.0,38312.82005461243,15492.847834260274,2039.780174528614,25691.55660102893,3359.085054648216,89.2,11312.588431848144,35410.00779679479,36437.959215752104,34647.77437731407,79.3,11.3,9.3,0.2,37.0,18.9,22.7,7.6,13.8,0.5,5.8,9.6,3.4,10.4,5.8,4.4,6.1,12.9,20.6,11.3,6.0,3.2
Asian,75326.0,633.1641447195052,373.5993546142995,20.212367183965355,366.688580578322,54.96684634878899,0.05336921110405744,108.40398660749615,83847.0,3482.983641328403,1408.4407122054795,185.43456132078308,2335.596054638994,305.3713686043833,89.2,1028.417130168013,3219.0916178904354,3312.541746886555,3149.7976706649156,79.3,11.3,9.3,0.2,37.0,18.9,22.7,7.6,13.8,0.5,5.8,9.6,3.4,10.4,5.8,4.4,6.1,12.9,20.6,11.3,6.0,3.2
Native Hawaiian/Pacific Islander,69433.0,389.9251198338657,84.91791152340542,14.278461221700299,269.76134431080374,23.513595382537513,1.996960486624956,4173.553484388602,83847.0,134094.8701911435,54224.96741991096,7139.230610850148,89920.44810360124,11756.797691268755,89.2,39594.0595114685,123935.02728878176,127532.85725513236,121267.21032059923,79.3,11.3,9.3,0.2,37.0,18.9,22.7,7.6,13.8,0.5,5.8,9.6,3.4,10.4,5.8,4.4,6.1,12.9,20.6,11.3,6.0,3.2
Multi-Race,70327.0,547.5522358583256,231.92848115969653,23.950967210594047,371.28443087938587,51.578209226211314,0.26655757329810315,151.96056652217914,83847.0,17302.56389563142,6996.76998966593,921.1910465613095,11602.638464980806,1517.0061537120976,89.2,5108.910904705614,15991.616424358937,16455.852549049338,15647.381976851515,79.3,11.3,9.3,0.2,37.0,18.9,22.7,7.6,13.8,0.5,5.8,9.6,3.4,10.4,5.8,4.4,6.1,12.9,20.6,11.3,6.0,3.2
Hispanic,52712.0,364.5295782114104,73.34362774985576,37.42954649474522,326.3779227464045,53.80065445551792,0.015430356094897051,195.74991291433133,83847.0,1103.661483054679,446.29602814741526,58.75909967777899,740.0859926222324,96.7637670063272,89.2,325.8770330162016,1020.0413768624013,1049.6531461327766,998.0840355604875,79.3,11.3,9.3,0.2,37.0,18.9,22.7,7.6,13.8,0.5,5.8,9.6,3.4,10.4,5.8,4.4,6.1,12.9,20.6,11.3,6.0,3.2
