time,date,y,y_pred,std_pred,state,county,ethnicity
1,2020-06-14,0.2661771603766082,0.2565117110727392,0.0,california,imperial,Hispanic
2,2020-06-15,0.2986377896908287,0.27631861878088443,0.0,california,imperial,Hispanic
3,2020-06-16,0.3246062931422051,0.29612408662658973,0.0,california,imperial,Hispanic
4,2020-06-17,0.3310984190050493,0.3159298744417262,0.0,california,imperial,Hispanic
5,2020-06-18,0.37005117418211386,0.3357363021957248,16.64203470923651,california,imperial,Hispanic
6,2020-06-19,0.3765433000449579,0.35554209001086123,0.0,california,imperial,Hispanic
10,2020-06-23,0.3895275517706462,0.43476668113384687,0.0,california,imperial,Hispanic
11,2020-06-24,0.4025118034963344,0.4545718290101211,0.0,california,imperial,Hispanic
12,2020-06-25,0.4219881810848667,0.4743788967029819,0.0,california,imperial,Hispanic
14,2020-06-27,0.4739251879876195,0.5139911122721169,0.0,california,imperial,Hispanic
17,2020-06-30,0.5453385724789046,0.5734092756411039,0.0,california,imperial,Hispanic
19,2020-07-02,0.5907834535188133,0.613021491210239,14.841933802254339,california,imperial,Hispanic
20,2020-07-03,0.6232440828330339,0.6328271190406598,17.382152021288213,california,imperial,Hispanic
22,2020-07-05,0.6881653414614749,0.6724394945945105,15.465188827114572,california,imperial,Hispanic
23,2020-07-06,0.7336102225013836,0.6922452824096469,0.0,california,imperial,Hispanic
25,2020-07-08,0.7660708518156042,0.7318582979023596,0.0,california,imperial,Hispanic
26,2020-07-09,0.7790551035412924,0.7516631258092028,25.619726744211544,california,imperial,Hispanic
