time,y,y_pred
1,2.1708164823057827,3.8831208423594226
2,2.3127957721943644,3.8919391531392753
3,2.08613991450642,3.9007574639191285
4,2.4616967126442084,3.9095757746989817
5,2.2393366801895254,3.918394085478835
6,2.3575634521163047,3.927212396258688
9,2.0798111723697,3.953667328598247
10,2.1392717294801984,3.9624856393781
11,2.4073689209122424,3.971303950157953
12,2.845701428654328,3.980122260937806
13,3.0001561436721165,3.9889405717176594
16,3.085086318519208,4.015395504057219
17,2.3109485412529516,4.024213814837071
19,3.361677925326988,4.0418504363967775
20,3.465382352789774,4.050668747176631
23,3.721334821549264,4.077123679516189
25,4.107539095902096,4.094760301075896
26,3.824704682233133,4.103578611855749
27,3.871267600292751,4.112396922635602
30,4.040947814972316,4.138851854975162
31,4.064855126118096,4.147670165755015
32,3.5637147068511803,4.156488476534867
33,3.5625149036338013,4.16530678731472
34,4.223992067615498,4.174125098094573
37,4.382411745350968,4.200580030434132
38,4.451761901058023,4.209398341213985
39,4.5614265227095325,4.218216651993838
40,4.138765088176903,4.227034962773692
41,4.774596444742701,4.235853273553545
45,5.065783408316326,4.2711265166729575
46,5.801655916123841,4.279944827452811
47,5.300696241388796,4.288763138232663
49,5.376577919472322,4.306399759792369
54,5.820985488229848,4.350491313691634
55,5.239781883449719,4.3593096244714875
60,6.369616076250802,4.403401178370753
61,6.507523499492117,4.412219489150607
62,4.66649170334242,4.421037799930459
69,7.257655087352967,4.48276597538943
72,7.445062498290984,4.50922090772899
73,6.6213137906784825,4.518039218508843
74,7.723880824991536,4.526857529288696
1,-0.03984091560903247,-0.7772369505943915
2,-0.037603017565369434,-0.7684186398145385
3,-0.3141368400641724,-0.7596003290346853
4,-0.053593738318187256,-0.7507820182548324
5,-0.3723481012431318,-0.7419637074749794
6,-0.4114493924282308,-0.7331453966951262
9,-0.8270747175987077,-0.7066904643555671
10,-0.8404369387163458,-0.697872153575714
11,-0.6594113377349413,-0.689053842795861
12,-0.34586632843731513,-0.6802355320160078
13,-0.31845886348900754,-0.6714172212361549
16,-0.2894812438356831,-0.6449622888965957
17,-1.1452905467700778,-0.6361439781167426
19,-0.3243487803989282,-0.6185073565570365
20,-0.31490207377623713,-0.6096890457771834
23,-0.25535151024295244,-0.5832341134376242
25,0.08667242497946015,-0.5655974918779182
26,-0.2766124632973286,-0.5567791810980651
27,-0.2956600789586901,-0.5479608703182121
