state,county,n,features,coef,R2,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,18,constant,-6.274450892493054e-19,0.5839632451149852,5996662074905.163,0.01221156286249713,0.07545428770948545,17203866586478.2,1.7454952095443752e-16,0.031687686714776536
california,imperial,18,time,-0.007310151529475236,0.5839632451149852,5996662074905.163,0.01221156286249713,0.07545428770948545,17203866586478.2,1.7454952095443752e-16,0.031687686714776536
california,imperial,18,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.005181070805279607,0.5839632451149852,5996662074905.163,0.01221156286249713,0.07545428770948545,17203866586478.2,1.7454952095443752e-16,0.031687686714776536
california,imperial,18,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.005181070805279609,0.5839632451149852,5996662074905.163,0.01221156286249713,0.07545428770948545,17203866586478.2,1.7454952095443752e-16,0.031687686714776536
california,imperial,18,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.005181070805279608,0.5839632451149852,5996662074905.163,0.01221156286249713,0.07545428770948545,17203866586478.2,1.7454952095443752e-16,0.031687686714776536
california,imperial,18,PUBLIC_TRANSPORTATION,0.005181070805279608,0.5839632451149852,5996662074905.163,0.01221156286249713,0.07545428770948545,17203866586478.2,1.7454952095443752e-16,0.031687686714776536
california,imperial,18,CAR_TRUCK_VAN_ALONE,-0.005181070805279607,0.5839632451149852,5996662074905.163,0.01221156286249713,0.07545428770948545,17203866586478.2,1.7454952095443752e-16,0.031687686714776536
california,imperial,18,CAR_TRUCK_VAN_CARPOOL,-0.005181070805279607,0.5839632451149852,5996662074905.163,0.01221156286249713,0.07545428770948545,17203866586478.2,1.7454952095443752e-16,0.031687686714776536
california,sacramento,224,constant,-2375333403067.742,0.6588222514325356,14388892623.24234,0.024329644015549552,3330534216.496402,53956482533.121414,0.018712549680483054,0.029949973578027922
california,sacramento,224,time,0.0046550710746041755,0.6588222514325356,14388892623.24234,0.024329644015549552,3330534216.496402,53956482533.121414,0.018712549680483054,0.029949973578027922
california,sacramento,224,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-2450542238538.2046,0.6588222514325356,14388892623.24234,0.024329644015549552,3330534216.496402,53956482533.121414,0.018712549680483054,0.029949973578027922
california,sacramento,224,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,2242156165573.8696,0.6588222514325356,14388892623.24234,0.024329644015549552,3330534216.496402,53956482533.121414,0.018712549680483054,0.029949973578027922
california,sacramento,224,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,1255463212851.2297,0.6588222514325356,14388892623.24234,0.024329644015549552,3330534216.496402,53956482533.121414,0.018712549680483054,0.029949973578027922
california,sacramento,224,PUBLIC_TRANSPORTATION,-2590153376748.78,0.6588222514325356,14388892623.24234,0.024329644015549552,3330534216.496402,53956482533.121414,0.018712549680483054,0.029949973578027922
california,sacramento,224,CAR_TRUCK_VAN_ALONE,-2389398857965.0723,0.6588222514325356,14388892623.24234,0.024329644015549552,3330534216.496402,53956482533.121414,0.018712549680483054,0.029949973578027922
