time,y,y_pred
1,1.148235294117647,1.1515548834120781
2,1.151764705882353,1.1522157465514318
3,1.152941176470588,1.1528766096907854
4,1.1541176470588237,1.153537472830139
5,1.156470588235294,1.1541983359694927
6,1.156470588235294,1.1548591991088464
10,1.1576470588235297,1.1575026516662612
11,1.1576470588235297,1.1581635148056149
12,1.1588235294117648,1.1588243779449685
14,1.16,1.1601461042236758
17,1.1623529411764706,1.1621286936417368
19,1.163529411764706,1.163450419920444
20,1.1647058823529413,1.1641112830597977
22,1.1658823529411766,1.1654330093385052
23,1.1658823529411766,1.166093872477859
25,1.1670588235294117,1.1674155987565662
26,1.1670588235294117,1.1680764618959198
1,0.12121212121212124,0.12121212121212155
