state,county,n,features,coef,vif,R2,nrmse,rmse
california,,240,constant,0.0,10034.22009569378,0.9946591815438158,0.03550331589503923,0.02654235374177326
california,,240,time,-0.014553498995595692,1.0,0.9946591815438158,0.03550331589503923,0.02654235374177326
california,,240,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.32338136886936525,inf,0.9946591815438158,0.03550331589503923,0.02654235374177326
california,,240,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.24676997282606855,inf,0.9946591815438158,0.03550331589503923,0.02654235374177326
california,,240,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.06818187638951868,inf,0.9946591815438158,0.03550331589503923,0.02654235374177326
california,,240,PUBLIC_TRANSPORTATION,-0.12423079840851123,inf,0.9946591815438158,0.03550331589503923,0.02654235374177326
california,,240,CAR_TRUCK_VAN_ALONE,0.012017370622775018,inf,0.9946591815438158,0.03550331589503923,0.02654235374177326
california,,240,CAR_TRUCK_VAN_CARPOOL,0.16025265667655145,inf,0.9946591815438158,0.03550331589503923,0.02654235374177326
california,imperial,98,constant,0.0,0.0,0.9427121439853412,0.003156505943766791,0.0035234651106119696
california,imperial,98,time,-0.01660561707924793,1.0,0.9427121439853412,0.003156505943766791,0.0035234651106119696
california,imperial,98,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,0.0,0.0,0.9427121439853412,0.003156505943766791,0.0035234651106119696
california,imperial,98,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.0,0.0,0.9427121439853412,0.003156505943766791,0.0035234651106119696
california,imperial,98,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.0,0.0,0.9427121439853412,0.003156505943766791,0.0035234651106119696
california,imperial,98,PUBLIC_TRANSPORTATION,0.0,0.0,0.9427121439853412,0.003156505943766791,0.0035234651106119696
california,imperial,98,CAR_TRUCK_VAN_ALONE,0.0,0.0,0.9427121439853412,0.003156505943766791,0.0035234651106119696
california,imperial,98,CAR_TRUCK_VAN_CARPOOL,0.0,0.0,0.9427121439853412,0.003156505943766791,0.0035234651106119696
california,riverside,160,constant,0.0,9.075150386888417,0.9961624086246572,0.026297403432426793,0.017348662317184446
california,riverside,160,time,-0.0008617392280484341,1.0164029187224248,0.9961624086246572,0.026297403432426793,0.017348662317184446
