state,county,n,features,coef,vif,R2,nrmse,rmse
california,,174,constant,0.0,5102.131543622865,0.9713218107424975,0.033298822342159536,0.03901384087473631
california,,174,time,-0.02514831274559967,1.0001485334173266,0.9713218107424975,0.033298822342159536,0.03901384087473631
california,,174,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.22981911510681838,inf,0.9713218107424975,0.033298822342159536,0.03901384087473631
california,,174,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.008709954536372088,inf,0.9713218107424975,0.033298822342159536,0.03901384087473631
california,,174,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.008691097498439644,inf,0.9713218107424975,0.033298822342159536,0.03901384087473631
california,,174,PUBLIC_TRANSPORTATION,0.18822484701106193,inf,0.9713218107424975,0.033298822342159536,0.03901384087473631
california,,174,CAR_TRUCK_VAN_ALONE,-0.004374342561294301,inf,0.9713218107424975,0.033298822342159536,0.03901384087473631
california,,174,CAR_TRUCK_VAN_CARPOOL,-0.043989489871512626,inf,0.9713218107424975,0.033298822342159536,0.03901384087473631
california,sacramento,47,constant,0.0,224.60610700938778,0.8018927139003362,0.17614823838026447,0.13813839669007544
california,sacramento,47,time,0.0010679537700702593,1.0328714391212566,0.8018927139003362,0.17614823838026447,0.13813839669007544
california,sacramento,47,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,0.07821064028897796,inf,0.8018927139003362,0.17614823838026447,0.13813839669007544
california,sacramento,47,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.2080271297156591,inf,0.8018927139003362,0.17614823838026447,0.13813839669007544
california,sacramento,47,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.09938352070571971,inf,0.8018927139003362,0.17614823838026447,0.13813839669007544
california,sacramento,47,PUBLIC_TRANSPORTATION,0.013273139370311863,inf,0.8018927139003362,0.17614823838026447,0.13813839669007544
california,sacramento,47,CAR_TRUCK_VAN_ALONE,0.11838152137831415,inf,0.8018927139003362,0.17614823838026447,0.13813839669007544
california,sacramento,47,CAR_TRUCK_VAN_CARPOOL,-0.09141223296058221,inf,0.8018927139003362,0.17614823838026447,0.13813839669007544
