,mortality_rate,time,covid_perc,dem_perc,discrepancy,ethnicity,date,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL,detrended_mortality_rate,y_pred
63,34.310885185131085,98,0.9359999999999999,0.85,1.1011764705882354,Hispanic,2020-09-19,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.2254621530311,22.085423032099985
64,34.414759198936586,100,0.9359999999999999,0.85,1.1011764705882354,Hispanic,2020-09-21,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.154644477742071,22.260114721194515
65,34.421251324799435,101,0.9359999999999999,0.85,1.1011764705882354,Hispanic,2020-09-22,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,2.2737367544323206e-13,34.42125132479921
66,34.73287336621595,102,0.9359999999999999,0.85,1.1011764705882354,Hispanic,2020-09-23,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.335063611924713,22.397809754291234
67,35.012034778318245,103,0.9359999999999999,0.85,1.1011764705882354,Hispanic,2020-09-24,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.322008407385027,22.690026370933218
68,35.26522768696917,104,0.9359999999999999,0.85,1.1011764705882354,Hispanic,2020-09-25,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.380390238274632,22.884837448694537
69,35.34962532318614,105,0.935,0.85,1.1,Hispanic,2020-09-26,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.367382335610941,22.982242987575198
70,35.3431331973233,107,0.935,0.85,1.1,Hispanic,2020-09-28,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.3608902097481,22.982242987575198
71,35.34962532318614,108,0.935,0.85,1.1,Hispanic,2020-09-29,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.367382335610941,22.982242987575198
72,35.37559382663753,109,0.934,0.85,1.0988235294117648,Hispanic,2020-09-30,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.49075637794299,22.884837448694537
73,35.628786735288436,110,0.934,0.85,1.0988235294117648,Hispanic,2020-10-01,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.354327131071258,23.274459604217178
74,35.65475523873982,111,0.934,0.85,1.0988235294117648,Hispanic,2020-10-02,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.4777011734033,23.177054065336517
75,35.77810563013385,112,0.934,0.85,1.0988235294117648,Hispanic,2020-10-03,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.601051564797334,23.177054065336517
76,35.79108988185954,114,0.934,0.85,1.0988235294117648,Hispanic,2020-10-05,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.614035816523025,23.177054065336517
77,35.88197964393936,115,0.9329999999999999,0.85,1.0976470588235294,Hispanic,2020-10-06,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.510114500841524,23.371865143097835
78,35.90794814739073,116,0.9329999999999999,0.85,1.0976470588235294,Hispanic,2020-10-07,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.536083004292891,23.371865143097835
79,35.94040877670496,117,0.932,0.85,1.0964705882352943,Hispanic,2020-10-08,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.178921478084487,23.761487298620477
80,35.99883790947055,121,0.9309999999999999,0.85,1.0952941176470592,Hispanic,2020-10-12,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.334756149730733,23.66408175973982
81,36.08972767155037,122,0.9309999999999999,0.85,1.0952941176470592,Hispanic,2020-10-13,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.328240372929894,23.761487298620477
82,36.31695207674992,123,0.9309999999999999,0.85,1.0952941176470592,Hispanic,2020-10-14,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.458059239248783,23.858892837501138
83,36.446794594006796,124,0.9309999999999999,0.85,1.0952941176470592,Hispanic,2020-10-15,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.393090678744336,24.05370391526246
84,36.48574734918386,125,0.9309999999999999,0.85,1.0952941176470592,Hispanic,2020-10-16,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.4320434339214,24.05370391526246
85,36.60909774057789,129,0.9309999999999999,0.85,1.0952941176470592,Hispanic,2020-10-20,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.45798828643477,24.151109454143118
86,36.719463880246245,131,0.9309999999999999,0.85,1.0952941176470592,Hispanic,2020-10-22,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.568354426103127,24.151109454143118
87,36.75192450956047,134,0.9309999999999999,0.85,1.0952941176470592,Hispanic,2020-10-25,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.60081505541735,24.151109454143118
88,36.90773553026872,136,0.93,0.85,1.0941176470588236,Hispanic,2020-10-27,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.464409459483619,24.443326070785098
89,37.02459379579992,138,0.929,0.85,1.0929411764705883,Hispanic,2020-10-29,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.386456647253503,24.63813714854642
90,37.0960071802912,140,0.929,0.85,1.0929411764705883,Hispanic,2020-10-31,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,2.7711166694643907e-13,37.096007180290925
91,37.3751685923935,143,0.929,0.85,1.0929411764705883,Hispanic,2020-11-03,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.639625904966422,24.735542687427078
92,37.52448748723892,145,0.929,0.85,1.0929411764705883,Hispanic,2020-11-05,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.399322644289203,25.12516484294972
93,37.66082213035864,148,0.9279999999999999,0.85,1.091764705882353,Hispanic,2020-11-08,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.633062826289581,25.027759304069058
94,37.96595204591232,150,0.927,0.85,1.0905882352941176,Hispanic,2020-11-10,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.645976125201276,25.31997592071104
95,38.06982605971782,151,0.927,0.85,1.0905882352941176,Hispanic,2020-11-11,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.749850139006778,25.31997592071104
96,38.66710163909948,156,0.927,0.85,1.0905882352941176,Hispanic,2020-11-16,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.762692485104477,25.904409153995
97,38.83589691153343,157,0.927,0.85,1.0905882352941176,Hispanic,2020-11-17,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.83408221865777,26.001814692875662
98,38.06982605971782,152,0.927,0.85,1.0905882352941176,Hispanic,2020-11-12,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.749850139006778,25.31997592071104
99,38.16720794766047,155,0.927,0.85,1.0905882352941176,Hispanic,2020-11-15,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.74982648806877,25.417381459591702
100,39.128042575361405,158,0.927,0.85,1.0905882352941176,Hispanic,2020-11-18,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.931416804724424,26.19662577063698
101,39.25788509261829,162,0.927,0.85,1.0905882352941176,Hispanic,2020-11-22,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,13.061259321981307,26.19662577063698
102,39.73830240646876,163,0.924,0.85,1.087058823529412,Hispanic,2020-11-23,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.85983786366716,26.878464542801602
103,39.88112917545133,166,0.922,0.85,1.0847058823529412,Hispanic,2020-11-26,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.807853554888403,27.073275620562924
104,40.231703972044905,169,0.9209999999999999,0.85,1.083529411764706,Hispanic,2020-11-29,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.07833885975552,27.195106235524587,12.86621173484,27.365492237204904
105,1.7558249492692006,1,0.027999999999999997,0.198,0.1414141414141414,Non-Hispanic,2020-06-14,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-6.225965050684334,7.981789999953534
106,1.7836951865591884,2,0.028999999999999998,0.198,0.14646464646464644,Non-Hispanic,2020-06-15,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-6.198094813394346,7.981789999953534
107,1.7558249492692006,3,0.027999999999999997,0.198,0.1414141414141414,Non-Hispanic,2020-06-16,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-6.274667820124664,8.030492769393865
108,1.978786847589099,4,0.03,0.198,0.1515151515151515,Non-Hispanic,2020-06-17,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-6.490030846767736,8.468817694356835
109,2.1460082713290234,5,0.031,0.198,0.15656565656565655,Non-Hispanic,2020-06-18,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-6.663728809110122,8.809737080439145
110,2.17387850861901,6,0.03,0.198,0.1515151515151515,Non-Hispanic,2020-06-19,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-7.074183496783107,9.248062005402117
