Hispanic,Multi-Race,White,Asian/Pacific Islander,American Indian/Alaska Native,Black,date,Hispanic_discrepancy,Multi-Race_discrepancy,White_discrepancy,Asian/Pacific Islander_discrepancy,American Indian/Alaska Native_discrepancy,Black_discrepancy
4851,57,1446,370,19,338,2020-06-14,1.37,0.22222222222222224,0.2562814070351758,0.6842105263157895,0.75,0.6575342465753425
5094,55,1494,378,20,344,2020-06-15,1.38,0.19444444444444448,0.2537688442211055,0.6710526315789473,0.75,0.6438356164383562
5204,56,1527,382,20,349,2020-06-16,1.38,0.19444444444444448,0.2550251256281407,0.6710526315789473,0.75,0.6301369863013699
5371,57,1544,390,21,354,2020-06-17,1.388,0.19444444444444448,0.25125628140703515,0.6578947368421053,0.75,0.6301369863013699
5515,60,1561,397,21,366,2020-06-18,1.392,0.22222222222222224,0.24748743718592964,0.6578947368421053,0.75,0.6301369863013699
5746,63,1586,403,21,373,2020-06-19,1.402,0.22222222222222224,0.24371859296482412,0.6447368421052632,0.75,0.6301369863013699
5746,63,1586,403,21,373,2020-06-20,1.402,0.22222222222222224,0.24371859296482412,0.6447368421052632,0.75,0.6301369863013699
5746,63,1586,403,21,373,2020-06-21,1.402,0.22222222222222224,0.24371859296482412,0.6447368421052632,0.75,0.6301369863013699
6082,63,1699,420,21,397,2020-06-22,1.402,0.19444444444444448,0.24623115577889446,0.6315789473684211,0.5,0.6301369863013699
6257,63,1757,428,21,412,2020-06-23,1.4,0.19444444444444448,0.24748743718592964,0.6315789473684211,0.5,0.6301369863013699
