state,county,n,features,coef,lower_coef,upper_coef,vif,std_err,R2,nrmse,rmse,R2 Adjusted,Durbin-Watson,JB,condition_number
california,,174,constant,1.1413177493630444,1.133499298340921,1.149136200385168,0.9999999999999993,0.003989005623532362,0.9713218107424975,0.03329882234215855,0.039013840874735216,0.9706430370322607,0.102,1.41,3.982680066613069
california,,174,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.47060805380300186,-0.4869853267001189,-0.4542307809058848,4.387748554052377,0.008355751478120947,0.9713218107424975,0.03329882234215855,0.039013840874735216,0.9706430370322607,0.102,1.41,3.982680066613069
california,,174,time,-0.025148312745602697,-0.03296734439679047,-0.017329281094414922,1.0001485334173268,0.003989301862850906,0.9713218107424975,0.03329882234215855,0.039013840874735216,0.9706430370322607,0.102,1.41,3.982680066613069
california,,174,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.33060761934439653,0.31405778627414455,0.3471574524146485,4.480699259317012,0.008443792382781617,0.9713218107424975,0.03329882234215855,0.039013840874735216,0.9706430370322607,0.102,1.41,3.982680066613069
california,,174,PUBLIC_TRANSPORTATION,0.2318955626535055,0.2236796860716897,0.2401114392353213,1.1042473700199162,0.0041917737662325524,0.9713218107424975,0.03329882234215855,0.039013840874735216,0.9706430370322607,0.102,1.41,3.982680066613069
california,sacramento,47,constant,0.9302372482032302,0.8816202924516041,0.9788542039548562,1.0,0.02480456926103368,0.8018927139003362,0.17614823838026386,0.13813839669007566,0.7830253533194158,0.396,2.363,10.39031055466934
california,sacramento,47,time,0.001067953770070476,-0.04834159587107396,0.05047750341121491,1.0328714391212575,0.02520895389854308,0.8018927139003362,0.17614823838026386,0.13813839669007566,0.7830253533194158,0.396,2.363,10.39031055466934
california,sacramento,47,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,1.2110721703715923,0.9895772487768294,1.4325670919663551,20.756399652043996,0.1130076130585525,0.8018927139003362,0.17614823838026386,0.13813839669007566,0.7830253533194158,0.396,2.363,10.39031055466934
california,sacramento,47,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-1.1423341372787543,-1.3949246053101285,-0.8897436692473801,26.99344988925424,0.12887268777110925,0.8018927139003362,0.17614823838026386,0.13813839669007566,0.7830253533194158,0.396,2.363,10.39031055466934
california,sacramento,47,PUBLIC_TRANSPORTATION,-0.4107047823496175,-0.5225961878760244,-0.29881337682321063,5.296853193569646,0.057087451799187186,0.8018927139003362,0.17614823838026386,0.13813839669007566,0.7830253533194158,0.396,2.363,10.39031055466934
california,alameda,43,constant,1.2293997259925715,1.2127530737032222,1.2460463782819209,1.0000000000000004,0.00849318994354559,0.9895726504606533,0.04484382020231047,0.04307639492243003,0.9887705466499344,0.628,0.819,27.97986593769618
california,alameda,43,PUBLIC_TRANSPORTATION,-7.067145909232398,-7.298717993534062,-6.835573824930734,193.51676385870647,0.11814902260289005,0.9895726504606533,0.04484382020231047,0.04307639492243003,0.9887705466499344,0.628,0.819,27.97986593769618
california,alameda,43,CAR_TRUCK_VAN_CARPOOL,-6.884493808097799,-7.107994514837659,-6.660993101357939,180.2619169396712,0.11403097282645912,0.9895726504606533,0.04484382020231047,0.04307639492243003,0.9887705466499344,0.628,0.819,27.97986593769618
california,alameda,43,CAR_TRUCK_VAN_ALONE,2.945049826748022,2.8459661243398995,3.0441335291561447,35.4283263151515,0.050552909391899305,0.9895726504606533,0.04484382020231047,0.04307639492243003,0.9887705466499344,0.628,0.819,27.97986593769618
california,losangeles,180,constant,1.014448579491732,0.9823068925340308,1.046590266449433,151.16327942797122,0.01639881987637815,0.847069929560618,0.03538051421253626,0.03512163454539723,0.8435743850934321,0.066,2.488,1.932141088517484e+16
california,losangeles,180,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,61618341023.966125,14013053119.66948,109223628928.26277,inf,24288412196.069717,0.847069929560618,0.03538051421253626,0.03512163454539723,0.8435743850934321,0.066,2.488,1.932141088517484e+16
california,losangeles,180,CAR_TRUCK_VAN_ALONE,-1226180559687.7114,-2173506917337.1494,-278854202038.27344,inf,483329774310.93774,0.847069929560618,0.03538051421253626,0.03512163454539723,0.8435743850934321,0.066,2.488,1.932141088517484e+16
california,losangeles,180,time,-0.023197817765371276,-0.03005215908357589,-0.01634347644716666,1.0003265561458115,0.0034971129174513355,0.847069929560618,0.03538051421253626,0.03512163454539723,0.8435743850934321,0.066,2.488,1.932141088517484e+16
california,losangeles,180,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,207924241681.46814,47285489922.66098,368562993440.27527,inf,81958546815.71794,0.847069929560618,0.03538051421253626,0.03512163454539723,0.8435743850934321,0.066,2.488,1.932141088517484e+16
california,losangeles,180,CAR_TRUCK_VAN_CARPOOL,99913053621.46558,22721918579.32338,177104188663.6078,inf,39383232164.35826,0.847069929560618,0.03538051421253626,0.03512163454539723,0.8435743850934321,0.066,2.488,1.932141088517484e+16
california,losangeles,180,PUBLIC_TRANSPORTATION,-3175631974923.3555,-5629071517959.102,-722192431887.6089,inf,1251754868895.789,0.847069929560618,0.03538051421253626,0.03512163454539723,0.8435743850934321,0.066,2.488,1.932141088517484e+16
california,losangeles,180,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-2335833409521.0303,-4140458787435.4062,-531208031606.6543,inf,920727233629.7837,0.847069929560618,0.03538051421253626,0.03512163454539723,0.8435743850934321,0.066,2.488,1.932141088517484e+16
