state,county,n,features,coef,lower_coef,upper_coef,vif,std_err,R2,nrmse,rmse,R2 Adjusted,Durbin-Watson,JB,condition_number
california,,240,constant,0.977176779783522,0.8992068845379978,1.0551466750290464,1054.9905796852363,0.039780558798736855,0.9930584015150076,0.033659399190725026,0.02778579377847179,0.992940246647178,0.068,35.54,3.4242765985287354e+17
california,,240,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,476038278311.9385,-43739613650.84906,995816170274.7261,inf,265192802021.83038,0.9930584015150076,0.033659399190725026,0.02778579377847179,0.992940246647178,0.068,35.54,3.4242765985287354e+17
california,,240,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,509349070437.23535,-46800294365.718506,1065498435240.1892,inf,283749675919.87445,0.9930584015150076,0.033659399190725026,0.02778579377847179,0.992940246647178,0.068,35.54,3.4242765985287354e+17
california,,240,CAR_TRUCK_VAN_CARPOOL,217135518951.1499,-19950966427.292084,454222004329.5919,inf,120962492540.02142,0.9930584015150076,0.033659399190725026,0.02778579377847179,0.992940246647178,0.068,35.54,3.4242765985287354e+17
california,,240,PUBLIC_TRANSPORTATION,-1429886998695.1875,-2991155669277.661,131381671887.28638,inf,796565648256.3643,0.9930584015150076,0.033659399190725026,0.02778579377847179,0.992940246647178,0.068,35.54,3.4242765985287354e+17
california,,240,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,322845128002.01025,-29663835475.47931,675354091479.4998,inf,179851511978.311,0.9930584015150076,0.033659399190725026,0.02778579377847179,0.992940246647178,0.068,35.54,3.4242765985287354e+17
california,,240,time,-0.015073239778048104,-0.020182062032534545,-0.00996441752356166,1.0,0.002606541966574716,0.9930584015150076,0.033659399190725026,0.02778579377847179,0.992940246647178,0.068,35.54,3.4242765985287354e+17
california,,240,CAR_TRUCK_VAN_ALONE,-1912321670331.0469,-4000352343166.4507,175709002504.35693,inf,1065321771854.7979,0.9930584015150076,0.033659399190725026,0.02778579377847179,0.992940246647178,0.068,35.54,3.4242765985287354e+17
california,imperial,98,constant,0.22262424969987976,0.2224604748525544,0.22278802454720512,0.0,8.355859557416555e-05,0.9427121439853411,0.0031565059437666278,0.003523465110611793,0.9421153954851884,0.088,7.009,1.9812477178608788e+63
california,imperial,98,time,-0.016605617079247917,-0.01742449131587474,-0.015786742842621094,1.0,0.00041779297787082853,0.9427121439853411,0.0031565059437666278,0.003523465110611793,0.9421153954851884,0.088,7.009,1.9812477178608788e+63
california,imperial,98,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,0.22262424969987982,0.22246047485255446,0.22278802454720517,0.0,8.355859557416559e-05,0.9427121439853411,0.0031565059437666278,0.003523465110611793,0.9421153954851884,0.088,7.009,1.9812477178608788e+63
california,imperial,98,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.22262424969987982,0.22246047485255446,0.22278802454720517,0.0,8.355859557416559e-05,0.9427121439853411,0.0031565059437666278,0.003523465110611793,0.9421153954851884,0.088,7.009,1.9812477178608788e+63
california,imperial,98,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.2226242496998798,-0.22278802454720514,-0.22246047485255444,0.0,8.355859557416556e-05,0.9427121439853411,0.0031565059437666278,0.003523465110611793,0.9421153954851884,0.088,7.009,1.9812477178608788e+63
california,imperial,98,PUBLIC_TRANSPORTATION,-0.2226242496998798,-0.22278802454720514,-0.22246047485255444,0.0,8.355859557416556e-05,0.9427121439853411,0.0031565059437666278,0.003523465110611793,0.9421153954851884,0.088,7.009,1.9812477178608788e+63
california,riverside,160,constant,0.8021645809899705,0.7986817961835728,0.8056473657963681,6.591460549635109,0.0017769310236722385,0.9960175562239189,0.025457942657572306,0.016944951613933286,0.9959147834813104,0.182,14.842,810427242317527.8
california,riverside,160,PUBLIC_TRANSPORTATION,46615891774.09961,-422789767801.03906,516021551349.2383,inf,239492683456.7034,0.9960175562239189,0.025457942657572306,0.016944951613933286,0.9959147834813104,0.182,14.842,810427242317527.8
california,riverside,160,CAR_TRUCK_VAN_CARPOOL,87562342992.69727,-794159700757.1892,969284386742.5837,inf,449858185586.67676,0.9960175562239189,0.025457942657572306,0.016944951613933286,0.9959147834813104,0.182,14.842,810427242317527.8
california,riverside,160,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-69893967676.0293,-773701676773.9177,633913741421.8591,inf,359085565866.2696,0.9960175562239189,0.025457942657572306,0.016944951613933286,0.9959147834813104,0.182,14.842,810427242317527.8
california,riverside,160,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,136978427000.42188,-1242346228744.3467,1516303082745.1904,inf,703737069257.535,0.9960175562239189,0.025457942657572306,0.016944951613933286,0.9959147834813104,0.182,14.842,810427242317527.8
california,riverside,160,time,-0.0008941193160929266,-0.004420458289823082,0.0026322196576372284,0.8736197462866517,0.001799152537617426,0.9960175562239189,0.025457942657572306,0.016944951613933286,0.9959147834813104,0.182,14.842,810427242317527.8
california,sonoma,10,constant,1.7992669662012597,1.7929169664526527,1.8056169659498666,1.0000000000000002,0.0032397957901055406,0.9999435148976222,0.003789551887578383,0.0064089247492814805,0.999936454259825,0.602,2.228,1.0
california,sonoma,10,CAR_TRUCK_VAN_ALONE,-1.2192237225548106,-1.2255737223034175,-1.2128737228062036,1.0,0.0032397957901055398,0.9999435148976222,0.003789551887578383,0.0064089247492814805,0.999936454259825,0.602,2.228,1.0
california,sacramento,184,constant,1.0862340632291985,1.043274424156153,1.129193702302244,1106.0928270042193,0.021918183200533476,0.8423214087412881,0.07259580844275189,0.08121808487627508,0.8396934322203096,0.111,109.699,1.826075032757231e+16
california,sacramento,184,CAR_TRUCK_VAN_CARPOOL,2737435579412.9756,-1397549989476.1807,6872421148302.132,inf,2109686514739.3655,0.8423214087412881,0.07259580844275189,0.08121808487627508,0.8396934322203096,0.111,109.699,1.826075032757231e+16
california,sacramento,184,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-1152628807370.0288,-2893712148510.134,588454533770.0759,inf,888307827112.2983,0.8423214087412881,0.07259580844275189,0.08121808487627508,0.8396934322203096,0.111,109.699,1.826075032757231e+16
california,sacramento,184,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,3507948728946.6406,-1790922038893.7656,8806819496787.047,inf,2703505493796.1255,0.8423214087412881,0.07259580844275189,0.08121808487627508,0.8396934322203096,0.111,109.699,1.826075032757231e+16
california,sacramento,184,CAR_TRUCK_VAN_ALONE,-1185026559314.124,-2975047759581.2783,604994640953.0303,inf,913276122585.2828,0.8423214087412881,0.07259580844275189,0.08121808487627508,0.8396934322203096,0.111,109.699,1.826075032757231e+16
california,sacramento,184,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-1714303956151.706,-4303815896701.706,875207984398.294,10140.987387852962,1321179561505.102,0.8423214087412881,0.07259580844275189,0.08121808487627508,0.8396934322203096,0.111,109.699,1.826075032757231e+16
california,alameda,92,constant,1.113215165166146,1.105238305975648,1.1211920243566438,1.0000000000000004,0.004069826117600938,0.9984050726869593,0.03233440262479509,0.0292602758300052,0.9983317426955551,0.196,4.066,87.77639596485379
california,alameda,92,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,11.103699407715675,10.912286830172395,11.295111985258956,575.8072002247351,0.0976594783384081,0.9984050726869593,0.03233440262479509,0.0292602758300052,0.9983317426955551,0.196,4.066,87.77639596485379
california,alameda,92,time,-0.00130161053068011,-0.009278469721177955,0.006675248659817734,1.0,0.004069826117600941,0.9984050726869593,0.03233440262479509,0.0292602758300052,0.9983317426955551,0.196,4.066,87.77639596485379
california,alameda,92,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,13.094612766639148,12.859728726338753,13.329496806939543,867.0480497834818,0.11983879607163016,0.9984050726869593,0.03233440262479509,0.0292602758300052,0.9983317426955551,0.196,4.066,87.77639596485379
california,alameda,92,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-20.447378879262658,-20.79401241164463,-20.100745346880686,1888.3273964181715,0.17685384305202653,0.9984050726869593,0.03233440262479509,0.0292602758300052,0.9983317426955551,0.196,4.066,87.77639596485379
california,losangeles,192,constant,0.8042494067600592,0.7909860500214324,0.817512763498686,1807.4351994827678,0.006767018744197332,0.9870927000644381,0.04094795366717909,0.030536873078643143,0.9868166080872068,0.115,23.066,4.0413965822952424e+16
california,losangeles,192,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-139895222454.09204,-308231867526.56726,28441422618.38315,inf,85886043404.32408,0.9870927000644381,0.04094795366717909,0.030536873078643143,0.9868166080872068,0.115,23.066,4.0413965822952424e+16
california,losangeles,192,CAR_TRUCK_VAN_ALONE,-545933924390.33984,-1202859040567.184,110991191786.5044,inf,335165875600.4307,0.9870927000644381,0.04094795366717909,0.030536873078643143,0.9868166080872068,0.115,23.066,4.0413965822952424e+16
california,losangeles,192,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-571823284920.0557,-1259901202587.1685,116254632747.05725,inf,351060162075.0576,0.9870927000644381,0.04094795366717909,0.030536873078643143,0.9868166080872068,0.115,23.066,4.0413965822952424e+16
california,losangeles,192,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-448511000890.55176,-988206609100.5148,91184607319.41125,inf,275354902147.9403,0.9870927000644381,0.04094795366717909,0.030536873078643143,0.9868166080872068,0.115,23.066,4.0413965822952424e+16
california,losangeles,192,time,-0.0162036346798815,-0.021811269345750922,-0.010596000014012077,0.9921405643484493,0.002861038094831338,0.9870927000644381,0.04094795366717909,0.030536873078643143,0.9868166080872068,0.115,23.066,4.0413965822952424e+16
california,losangeles,192,CAR_TRUCK_VAN_CARPOOL,-45163917828.31909,-99509893853.70453,9182058197.066345,inf,27727538788.46196,0.9870927000644381,0.04094795366717909,0.030536873078643143,0.9868166080872068,0.115,23.066,4.0413965822952424e+16
california,losangeles,192,PUBLIC_TRANSPORTATION,-1585780607571.0664,-3493958618348.3125,322397403206.17993,inf,973560209580.2278,0.9870927000644381,0.04094795366717909,0.030536873078643143,0.9868166080872068,0.115,23.066,4.0413965822952424e+16
california,sanfrancisco,148,constant,1.477501104542847,1.4706088294803954,1.4843933796052986,1.0,0.003516466868597797,0.9990989334413373,0.0314470755461304,0.028911550650274752,0.9990801612213651,0.114,156.8,90.36856044068962
california,sanfrancisco,148,CAR_TRUCK_VAN_CARPOOL,8.815250859289637,8.596250818821915,9.03425089975736,1009.632187452486,0.11173471452434815,0.9990989334413373,0.0314470755461304,0.028911550650274752,0.9990801612213651,0.114,156.8,90.36856044068962
california,sanfrancisco,148,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,10.406583973956877,10.099114157889453,10.714053790024302,1990.1223337303375,0.15687235513644068,0.9990989334413373,0.0314470755461304,0.028911550650274752,0.9990801612213651,0.114,156.8,90.36856044068962
california,sanfrancisco,148,PUBLIC_TRANSPORTATION,-9.43420637135133,-9.710035518991283,-9.158377223711376,1601.6038797289889,0.14072915695915986,0.9990989334413373,0.0314470755461304,0.028911550650274752,0.9990801612213651,0.114,156.8,90.36856044068962
california,santaclara,149,constant,0.8296742946086548,0.8193375619540916,0.8400110272632181,47.56091172404325,0.005273843191103705,0.9892578855241277,0.06997459787035015,0.0440334524272202,0.9889594934553535,0.122,65.106,8007265428380653.0
california,santaclara,149,PUBLIC_TRANSPORTATION,-253940642814.5893,-1078708720305.4353,570827434676.2566,inf,420800039536.1459,0.9892578855241277,0.06997459787035015,0.0440334524272202,0.9889594934553535,0.122,65.106,8007265428380653.0
california,santaclara,149,CAR_TRUCK_VAN_ALONE,-434018021725.93884,-1843655350386.8096,975619306934.932,inf,719202718704.526,0.9892578855241277,0.06997459787035015,0.0440334524272202,0.9889594934553535,0.122,65.106,8007265428380653.0
california,santaclara,149,CAR_TRUCK_VAN_CARPOOL,142140080615.90457,-319513476390.38416,603793637622.1932,inf,235537529084.8412,0.9892578855241277,0.06997459787035015,0.0440334524272202,0.9889594934553535,0.122,65.106,8007265428380653.0
california,santaclara,149,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,1117117910124.9358,-2511144115414.006,4745379935663.877,inf,1851154094662.7253,0.9892578855241277,0.06997459787035015,0.0440334524272202,0.9889594934553535,0.122,65.106,8007265428380653.0
california,santaclara,149,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-1049952245235.741,-4460068424995.528,2360163934524.047,inf,1739855193754.9937,0.9892578855241277,0.06997459787035015,0.0440334524272202,0.9889594934553535,0.122,65.106,8007265428380653.0
california,santaclara,149,time,-0.0030497046959659657,-0.013387677584086356,0.007288268192154425,0.9686893786159934,0.00527447596332673,0.9892578855241277,0.06997459787035015,0.0440334524272202,0.9889594934553535,0.122,65.106,8007265428380653.0
