state,county,n,nrmse,rmse
california,"santaclara,sanfrancisco,losangeles",758,0.03556761131089263,0.008534706382200311
california,"alameda,santaclara,sanfrancisco,losangeles",941,0.04420658568999358,0.010318216642731387
california,"santaclara,sanfrancisco,losangeles",758,0.03556761131089263,0.008534706382200311
california,"santaclara,sanfrancisco,losangeles",758,0.03556761131089263,0.008534706382200311
california,"santaclara,sanfrancisco,losangeles",758,0.03556761131089263,0.008534706382200311
california,"santaclara,sacramento,sanfrancisco,losangeles",973,0.10079868109568914,0.021546452635672557
california,"santaclara,sacramento,sanfrancisco,losangeles",973,0.10079868109568914,0.021546452635672557
california,"alameda,sacramento,sanfrancisco,losangeles",949,0.1579760121849823,0.03220734483606052
california,"alameda,sacramento,sanfrancisco,losangeles",949,0.10533658732661523,0.023844419940377528
california,"santaclara,sacramento,sanfrancisco,losangeles",973,0.10079868109568914,0.021546452635672557
california,"alameda,sacramento,losangeles,santaclara",1066,0.12910684473791578,0.029843007184521528
california,"alameda,santaclara,sanfrancisco,losangeles",941,0.04420658568999358,0.010318216642731387
california,"alameda,sacramento,sanfrancisco,santaclara",695,0.07034622927297322,0.010071033319710479
california,"alameda,sacramento,sanfrancisco,losangeles",949,0.051992923090864764,0.009341056705000114
california,"santaclara,sacramento,sanfrancisco,losangeles",973,0.048435079652518455,0.008354573314932187
california,"alameda,sacramento,losangeles,santaclara",1066,0.06117086028770052,0.010711475233403116
california,"alameda,santaclara,sanfrancisco,losangeles",941,0.03414194794402003,0.007310142511927453
california,"alameda,sacramento,sanfrancisco,santaclara",695,0.09052718178721222,0.011421834597783844
