state,county,n,nrmse,rmse
california,imperial,18,6777215024473.821,0.013761066118369365
california,sacramento,224,8324164727.241167,0.0208146815669478
california,alameda,183,6564851615689.203,0.02844490811521617
california,losangeles,516,34786454595.60129,0.03315497252337213
california,sanfrancisco,92,4289310832605.7847,0.021344930873031496
california,santaclara,231,5810590872176.926,0.056661911566871385
