state,county,n,nrmse,rmse
california,imperial,17,7167211120894.754,0.014413776700416808
california,sacramento,215,8457282873.941968,0.019697298323737022
california,alameda,183,6564851615604.494,0.028444908115324182
california,losangeles,461,35926888967.741554,0.03141746737555836
california,sanfrancisco,90,4242996938693.8994,0.02103749307405647
california,santaclara,207,6155775008276.085,0.04236395275731029
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,2927761289484.8306,0.02907166257033796
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,2927761289875.915,0.029071662570001294
california,None,450,7.078133330559708,0.03173975365006199
california,None,450,7.07813333077243,0.03173975365004675
