state,county,n,nrmse,rmse
california,imperial,17,0.0006105463324489795,0.000705920612546896
california,sacramento,215,0.10624689904665577,0.0919378101438671
california,alameda,183,0.040377047991723716,0.04535856811699198
california,losangeles,461,0.04711897751313182,0.04791472563614122
california,sanfrancisco,90,0.08292819340606154,0.1105653238317312
california,santaclara,207,0.047381958890495894,0.05057528867179208
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,0.14825476896606765,0.14689508009301938
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,0.1482547689635663,0.14689508009120605
california,None,450,0.0511969245197269,0.059492025267118186
california,None,450,0.05119692452012737,0.05949202526782846
california,None,450,0.051196924523138704,0.05949202527314132
california,None,450,0.051196924520337514,0.05949202526819742
california,None,450,0.05119692452828723,0.05949202528223218
california,None,450,0.05119692451984405,0.05949202526733072
