,Hispanic,White,Asian,Black,Pacific Islander,Native American,Multi-Race,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Pacific Islander_discrepancy,Native American_discrepancy,Multi-Race_discrepancy
0,2047,457,560,356,24,15,37,2020-06-14,2.6278026905829592,0.4281045751633987,0.4953560371517028,0.9272727272727272,0.7777777777777779,0.36363636363636365,0.2037037037037037
1,2074,464,565,355,24,15,38,2020-06-15,2.632286995515695,0.4281045751633987,0.4953560371517028,0.9090909090909092,0.7777777777777779,0.36363636363636365,0.2037037037037037
2,2123,474,581,360,24,15,38,2020-06-16,2.632286995515695,0.4281045751633987,0.4984520123839009,0.9090909090909092,0.7777777777777779,0.36363636363636365,0.2037037037037037
3,2175,480,598,362,24,16,37,2020-06-17,2.6412556053811658,0.4248366013071896,0.5015479876160991,0.890909090909091,0.7777777777777779,0.36363636363636365,0.1851851851851852
4,2256,493,608,369,24,15,37,2020-06-18,2.6591928251121075,0.4248366013071896,0.4953560371517028,0.8818181818181818,0.6666666666666667,0.36363636363636365,0.1851851851851852
5,2320,497,618,373,25,16,38,2020-06-19,2.6771300448430493,0.41830065359477125,0.4922600619195046,0.8727272727272728,0.6666666666666667,0.36363636363636365,0.1851851851851852
6,2390,509,629,378,25,16,41,2020-06-20,2.68609865470852,0.41830065359477125,0.4891640866873065,0.8636363636363636,0.6666666666666667,0.36363636363636365,0.1851851851851852
7,2390,509,629,378,25,16,41,2020-06-21,2.68609865470852,0.41830065359477125,0.4891640866873065,0.8636363636363636,0.6666666666666667,0.36363636363636365,0.1851851851851852
8,2489,529,641,386,25,15,45,2020-06-22,2.704035874439462,0.41830065359477125,0.47987616099071206,0.8454545454545455,0.6666666666666667,0.36363636363636365,0.2037037037037037
9,2566,543,652,396,25,15,47,2020-06-23,2.713004484304933,0.41830065359477125,0.4767801857585139,0.8454545454545455,0.6666666666666667,0.36363636363636365,0.2037037037037037
10,2688,545,668,404,25,15,54,2020-06-24,2.739910313901345,0.40522875816993464,0.47058823529411764,0.8363636363636363,0.6666666666666667,0.27272727272727276,0.22222222222222224
11,2761,555,682,410,26,16,54,2020-06-25,2.748878923766816,0.4019607843137255,0.46749226006191946,0.8272727272727273,0.6666666666666667,0.36363636363636365,0.22222222222222224
12,2849,562,689,413,26,17,59,2020-06-26,2.7668161434977576,0.3986928104575163,0.46130030959752316,0.8090909090909091,0.6666666666666667,0.36363636363636365,0.24074074074074073
13,2849,562,689,413,26,17,59,2020-06-27,2.7668161434977576,0.3986928104575163,0.46130030959752316,0.8090909090909091,0.6666666666666667,0.36363636363636365,0.24074074074074073
14,2849,562,689,413,26,17,59,2020-06-28,2.7668161434977576,0.3986928104575163,0.46130030959752316,0.8090909090909091,0.6666666666666667,0.36363636363636365,0.24074074074074073
15,2963,580,702,429,29,17,63,2020-06-29,2.7757847533632285,0.3954248366013072,0.4551083591331269,0.8181818181818181,0.6666666666666667,0.36363636363636365,0.24074074074074073
16,3071,608,735,442,32,17,62,2020-06-30,2.7713004484304933,0.3986928104575163,0.45820433436532504,0.8090909090909091,0.6666666666666667,0.27272727272727276,0.22222222222222224
17,3379,653,771,483,35,18,69,2020-07-02,2.802690582959641,0.3954248366013072,0.4427244582043343,0.8090909090909091,0.6666666666666667,0.27272727272727276,0.24074074074074073
18,3422,667,779,488,35,18,69,2020-07-03,2.802690582959641,0.3986928104575163,0.4396284829721362,0.8090909090909091,0.6666666666666667,0.27272727272727276,0.24074074074074073
19,3546,708,803,516,38,18,73,2020-07-05,2.789237668161435,0.40522875816993464,0.436532507739938,0.8181818181818181,0.7777777777777779,0.27272727272727276,0.24074074074074073
20,3555,711,805,517,38,19,76,2020-07-06,2.7847533632286994,0.40522875816993464,0.436532507739938,0.8181818181818181,0.7777777777777779,0.27272727272727276,0.24074074074074073
21,3555,711,805,517,38,19,76,2020-07-07,2.7847533632286994,0.40522875816993464,0.436532507739938,0.8181818181818181,0.7777777777777779,0.27272727272727276,0.24074074074074073
22,3655,761,825,550,39,20,80,2020-07-08,2.7623318385650224,0.41830065359477125,0.4303405572755418,0.8454545454545455,0.7777777777777779,0.27272727272727276,0.24074074074074073
23,3743,770,837,553,40,21,83,2020-07-09,2.7757847533632285,0.4150326797385621,0.4272445820433437,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924
24,3908,816,863,571,42,22,87,2020-07-10,2.7757847533632285,0.4215686274509804,0.4241486068111455,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924
25,3908,816,863,571,42,22,87,2020-07-11,2.7757847533632285,0.4215686274509804,0.4241486068111455,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924
26,3908,816,863,571,42,22,87,2020-07-12,2.7757847533632285,0.4215686274509804,0.4241486068111455,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924
27,4023,830,878,586,43,21,89,2020-07-13,2.789237668161435,0.41830065359477125,0.4210526315789474,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924
28,4190,873,908,608,45,22,90,2020-07-14,2.789237668161435,0.4248366013071896,0.4179566563467492,0.8181818181818181,0.7777777777777779,0.27272727272727276,0.24074074074074073
29,4275,891,919,619,46,22,95,2020-07-15,2.7937219730941703,0.4248366013071896,0.4148606811145511,0.8181818181818181,0.7777777777777779,0.27272727272727276,0.25925925925925924
30,4399,908,930,627,48,22,100,2020-07-16,2.802690582959641,0.4215686274509804,0.4086687306501548,0.8090909090909091,0.7777777777777779,0.27272727272727276,0.25925925925925924
