,Hispanic,White,Asian,Black,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy
0,31,32,19,25,2020-06-14,1.3,0.977,0.551,2.127
1,31,32,19,25,2020-06-15,1.3,0.977,0.551,2.127
2,32,31,19,25,2020-06-16,1.341,0.948,0.551,2.127
3,32,32,21,26,2020-06-17,1.291,0.941,0.585,2.127
4,33,32,21,26,2020-06-18,1.323,0.935,0.582,2.109
5,33,32,21,26,2020-06-19,1.323,0.935,0.582,2.109
6,33,32,21,26,2020-06-20,1.323,0.935,0.582,2.109
7,33,32,21,26,2020-06-21,1.323,0.935,0.582,2.109
8,34,32,21,26,2020-06-22,1.35,0.925,0.576,2.091
9,34,32,21,26,2020-06-23,1.35,0.925,0.576,2.091
10,35,32,22,26,2020-06-24,1.363,0.908,0.591,2.055
11,38,32,24,27,2020-06-25,1.408,0.863,0.613,2.027
12,38,32,25,27,2020-06-26,1.395,0.856,0.635,2.009
13,38,32,25,27,2020-06-27,1.395,0.856,0.635,2.009
14,39,32,27,27,2020-06-28,1.399,0.837,0.669,1.964
15,39,32,27,28,2020-06-29,1.39,0.83,0.663,2.018
16,39,32,27,28,2020-06-30,1.39,0.83,0.663,2.018
17,39,32,27,28,2020-07-02,1.39,0.83,0.663,2.018
18,39,32,27,28,2020-07-03,1.39,0.83,0.663,2.018
19,39,32,27,28,2020-07-05,1.39,0.83,0.663,2.018
20,39,32,27,28,2020-07-06,1.39,0.83,0.663,2.018
21,39,32,27,28,2020-07-07,1.39,0.83,0.663,2.018
22,39,32,27,28,2020-07-08,1.39,0.83,0.663,2.018
23,39,32,27,28,2020-07-09,1.39,0.83,0.663,2.018
24,39,32,27,28,2020-07-10,1.39,0.83,0.663,2.018
25,39,32,27,28,2020-07-11,1.39,0.83,0.663,2.018
26,39,32,27,28,2020-07-12,1.39,0.83,0.663,2.018
27,39,32,27,28,2020-07-13,1.39,0.83,0.663,2.018
28,39,32,27,28,2020-07-14,1.39,0.83,0.663,2.018
