state,county,n,features,coef,nrmse,rmse,low_nrmse,up_nrmse,low_coef,up_coef
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,constant,0.0,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.0,0.0
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,time,0.005118312773262723,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.0032098566156663565,0.005465407420349581
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,retail_and_recreation_percent_change_from_baseline,0.0009134064382846685,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.0006098558087274839,0.008171212212161034
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,grocery_and_pharmacy_percent_change_from_baseline,0.0003005021667881139,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.00021967049574134746,0.0042694324269763086
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,parks_percent_change_from_baseline,0.00039551859294910223,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.00035799165356435275,0.001488919586177508
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,transit_stations_percent_change_from_baseline,9.69030675398043e-05,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.00010353449692520083,0.001260712019270296
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,workplaces_percent_change_from_baseline,3.298223040809753e-05,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,5.5436827824124316e-05,0.00021583477433773448
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,residential_percent_change_from_baseline,1.903639427326379e-05,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,3.186248011635254e-05,0.00010076217267077791
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,0.033191095905700366,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.015469884787926394,0.041695346470642304
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.0010920459073993957,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.0005338194268004936,0.15225991893450508
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.2567758736027688,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.18290451010156783,0.28980723992432766
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,PUBLIC_TRANSPORTATION,0.012650096546615157,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.0032840371966231354,0.015452410419194807
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,CAR_TRUCK_VAN_ALONE,0.00037858138846903565,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.00020048768099957995,0.06741700156970332
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,CAR_TRUCK_VAN_CARPOOL,0.5318219739626641,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.4393983633235927,0.5780452427298014
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,PERCENT_INSURED,0.001812999540598307,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.0014114140424448876,0.006990905060553245
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,BELOW_POVERTY_LEVEL,0.006081887871130814,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.002828966362074134,0.039064219372294415
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,HOUSEHOLD_MEDIAN_INCOME_DOLLARS_OVERALL,0.008596199098355304,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.003672726774684361,0.013819445099970292
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,0.0005358975910204585,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.00017804689246567968,0.0038257629311882636
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL_OVERALL,0.0007313446319832215,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.00023636587006331804,0.004347330396451962
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,PUBLIC_TRANSPORTATION_OVERALL,0.01581223187533504,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.004642894013172277,0.027230494496628788
california,"alameda,losangeles,sacramento,sanfrancisco,riverside,sonoma,santaclara",2793,CAR_TRUCK_VAN_ALONE_OVERALL,0.0005627231649761005,0.0031096384047621176,0.002443732640038337,0.0040112929280288236,0.005918802638125222,0.0002629978803311623,0.004054626177534035
