,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL
White,127158.0,832.2499988416477,647.1760650120677,212.3426127310538,285.65352815277674,65.42099862900191
Black,30442.0,612.1529910905203,196.32649866476913,160.82239493048192,266.624430406024,71.31906451031082
American Indian/Alaska Native,61250.0,300.6072265977274,89.45293211964719,83.90733648546885,116.34520599535593,32.29542543863132
Asian,88016.0,600.0170659196987,345.9314860042443,178.92462585743957,212.65318206928944,69.0763266326281
Native Hawaiian/Pacific Islander,76333.0,392.26407153771373,125.46097834607039,156.6270281062085,271.4721473224971,90.4271912281677
Multi-Race,114399.0,608.5248176158608,393.7261444217949,178.38078200984853,277.5048617074414,70.33225984413042
Hispanic,72578.0,543.6751851450954,232.85865651197344,199.6479387866967,355.41419287616395,115.01704147442382
