Hispanic,White,Asian,Black,Pacific Islander,Native American,Multi-Race,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Pacific Islander_discrepancy,Native American_discrepancy,Multi-Race_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Pacific Islander_rates,Native American_rates,Multi-Race_rates
2047,457,560,356,24,15,37,2020-06-14,2.6278026905829592,0.4281045751633987,0.4953560371517028,0.9272727272727272,0.7777777777777779,0.36363636363636365,0.2037037037037037,5.492264680472007,0.8935799118543054,1.0373463199213098,1.936403294061334,1.5956385878598498,0.8159268929503917,0.40996775658995466
2074,464,565,355,24,15,38,2020-06-15,2.632286995515695,0.4281045751633987,0.4953560371517028,0.9090909090909092,0.7777777777777779,0.36363636363636365,0.2037037037037037,5.56470783942303,0.9072671315107171,1.046608340634893,1.930963958965656,1.5956385878598498,0.8159268929503917,0.421047966227521
2123,474,581,360,24,15,38,2020-06-16,2.632286995515695,0.4281045751633987,0.4984520123839009,0.9090909090909092,0.7777777777777779,0.36363636363636365,0.2037037037037037,5.6961787575193314,0.926820302448448,1.076246806918359,1.9581606344440456,1.5956385878598498,0.8159268929503917,0.421047966227521
2175,480,598,362,24,16,37,2020-06-17,2.6412556053811658,0.4248366013071896,0.5015479876160991,0.890909090909091,0.7777777777777779,0.36363636363636365,0.1851851851851852,5.83569891549908,0.9385522050110866,1.1077376773445415,1.9690393046354013,1.5956385878598498,0.8703220191470844,0.40996775658995466
2256,493,608,369,24,15,37,2020-06-18,2.6591928251121075,0.4248366013071896,0.4953560371517028,0.8818181818181818,0.6666666666666667,0.36363636363636365,0.1851851851851852,6.053028392352149,0.9639713272301369,1.1262617187717079,2.0071146503051467,1.5956385878598498,0.8159268929503917,0.40996775658995466
2320,497,618,373,25,16,38,2020-06-19,2.6771300448430493,0.41830065359477125,0.4922600619195046,0.8727272727272728,0.6666666666666667,0.36363636363636365,0.1851851851851852,6.224745509865685,0.9717925956052293,1.144785760198874,2.0288719906878585,1.6621235290206768,0.8703220191470844,0.421047966227521
2390,509,629,378,25,16,41,2020-06-20,2.68609865470852,0.41830065359477125,0.4891640866873065,0.8636363636363636,0.6666666666666667,0.36363636363636365,0.1851851851851852,6.412561107146115,0.9952564007305065,1.165162205768757,2.0560686661662477,1.6621235290206768,0.8703220191470844,0.4542885951402201
2390,509,629,378,25,16,41,2020-06-21,2.68609865470852,0.41830065359477125,0.4891640866873065,0.8636363636363636,0.6666666666666667,0.36363636363636365,0.1851851851851852,6.412561107146115,0.9952564007305065,1.165162205768757,2.0560686661662477,1.6621235290206768,0.8703220191470844,0.4542885951402201
2489,529,641,386,25,15,45,2020-06-22,2.704035874439462,0.41830065359477125,0.47987616099071206,0.8454545454545455,0.6666666666666667,0.36363636363636365,0.2037037037037037,6.678186023299866,1.0343627426059685,1.1873910554813565,2.099583346931671,1.6621235290206768,0.8159268929503917,0.49860943369048544
2566,543,652,396,25,15,47,2020-06-23,2.713004484304933,0.41830065359477125,0.4767801857585139,0.8454545454545455,0.6666666666666667,0.36363636363636365,0.2037037037037037,6.8847831803083395,1.0617371819187917,1.2077675010512394,2.1539766978884503,1.6621235290206768,0.8159268929503917,0.5207698529656181
2688,545,668,404,25,15,54,2020-06-24,2.739910313901345,0.40522875816993464,0.47058823529411764,0.8363636363636363,0.6666666666666667,0.27272727272727276,0.22222222222222224,7.212118935568518,1.065647816106338,1.2374059673347053,2.1974913786538735,1.6621235290206768,0.8159268929503917,0.5983313204285825
2761,555,682,410,26,16,54,2020-06-25,2.748878923766816,0.4019607843137255,0.46749226006191946,0.8272727272727273,0.6666666666666667,0.36363636363636365,0.22222222222222224,7.407983772732395,1.0852009870440689,1.263339625332738,2.230127389227941,1.7286084701815039,0.8703220191470844,0.5983313204285825
2849,562,689,413,26,17,59,2020-06-26,2.7668161434977576,0.3986928104575163,0.46130030959752316,0.8090909090909091,0.6666666666666667,0.36363636363636365,0.24074074074074073,7.644094809313507,1.0988882067004806,1.2763064543317544,2.2464453945149745,1.7286084701815039,0.9247171453437772,0.6537323686164143
2849,562,689,413,26,17,59,2020-06-27,2.7668161434977576,0.3986928104575163,0.46130030959752316,0.8090909090909091,0.6666666666666667,0.36363636363636365,0.24074074074074073,7.644094809313507,1.0988882067004806,1.2763064543317544,2.2464453945149745,1.7286084701815039,0.9247171453437772,0.6537323686164143
2849,562,689,413,26,17,59,2020-06-28,2.7668161434977576,0.3986928104575163,0.46130030959752316,0.8090909090909091,0.6666666666666667,0.36363636363636365,0.24074074074074073,7.644094809313507,1.0988882067004806,1.2763064543317544,2.2464453945149745,1.7286084701815039,0.9247171453437772,0.6537323686164143
2963,580,702,429,29,17,63,2020-06-29,2.7757847533632285,0.3954248366013072,0.4551083591331269,0.8181818181818181,0.6666666666666667,0.36363636363636365,0.24074074074074073,7.949965924884493,1.1340839143883963,1.3003877081870705,2.333474756045821,1.9280632936639852,0.9247171453437772,0.6980532071666796
3071,608,735,442,32,17,62,2020-06-30,2.7713004484304933,0.3986928104575163,0.45820433436532504,0.8090909090909091,0.6666666666666667,0.27272727272727276,0.22222222222222224,8.239738560688586,1.188832793014043,1.361517044896719,2.4041861122896337,2.127518117146466,0.9247171453437772,0.6869729975291132
3379,653,771,483,35,18,69,2020-07-02,2.802690582959641,0.3954248366013072,0.4427244582043343,0.8090909090909091,0.6666666666666667,0.27272727272727276,0.24074074074074073,9.066127188722477,1.2768220622338324,1.4282035940345177,2.6271988512124276,2.3269729406289477,0.97911227154047,0.7645344649920777
3422,667,779,488,35,18,69,2020-07-03,2.802690582959641,0.3986928104575163,0.4396284829721362,0.8090909090909091,0.6666666666666667,0.27272727272727276,0.24074074074074073,9.181499627051885,1.304196501546656,1.4430228271762506,2.6543955266908172,2.3269729406289477,0.97911227154047,0.7645344649920777
3546,708,803,516,38,18,73,2020-07-05,2.789237668161435,0.40522875816993464,0.436532507739938,0.8181818181818181,0.7777777777777779,0.27272727272727276,0.24074074074074073,9.514201542234362,1.384364502391353,1.4874805266014497,2.8066969093697987,2.5264277641114288,0.97911227154047,0.808855303542343
3555,711,805,517,38,19,76,2020-07-06,2.7847533632286994,0.40522875816993464,0.436532507739938,0.8181818181818181,0.7777777777777779,0.27272727272727276,0.24074074074074073,9.538349261884703,1.3902304536726722,1.4911853348868829,2.8121362444654765,2.5264277641114288,1.0335073977371627,0.842095932455042
3555,711,805,517,38,19,76,2020-07-07,2.7847533632286994,0.40522875816993464,0.436532507739938,0.8181818181818181,0.7777777777777779,0.27272727272727276,0.24074074074074073,9.538349261884703,1.3902304536726722,1.4911853348868829,2.8121362444654765,2.5264277641114288,1.0335073977371627,0.842095932455042
3655,761,825,550,39,20,80,2020-07-08,2.7623318385650224,0.41830065359477125,0.4303405572755418,0.8454545454545455,0.7777777777777779,0.27272727272727276,0.24074074074074073,9.806657257999603,1.487996308361327,1.5282334177412153,2.9916343026228476,2.592912705272256,1.0879025239338556,0.8864167710053075
3743,770,837,553,40,21,83,2020-07-09,2.7757847533632285,0.4150326797385621,0.4272445820433437,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924,10.042768294580716,1.5055941622052849,1.5504622674538149,3.007952307909881,2.659397646433083,1.1422976501305484,0.9196573999180064
3908,816,863,571,42,22,87,2020-07-10,2.7757847533632285,0.4215686274509804,0.4241486068111455,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924,10.4854764881703,1.5955387485188472,1.5986247751644471,3.105860339632083,2.792367528754737,1.196692776327241,0.9639782384682718
3908,816,863,571,42,22,87,2020-07-11,2.7757847533632285,0.4215686274509804,0.4241486068111455,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924,10.4854764881703,1.5955387485188472,1.5986247751644471,3.105860339632083,2.792367528754737,1.196692776327241,0.9639782384682718
3908,816,863,571,42,22,87,2020-07-12,2.7757847533632285,0.4215686274509804,0.4241486068111455,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924,10.4854764881703,1.5955387485188472,1.5986247751644471,3.105860339632083,2.792367528754737,1.196692776327241,0.9639782384682718
4023,830,878,586,43,21,89,2020-07-13,2.789237668161435,0.41830065359477125,0.4210526315789474,0.8272727272727273,0.7777777777777779,0.27272727272727276,0.25925925925925924,10.794030683702436,1.6229131878316707,1.6264108373051966,3.1874503660672517,2.858852469915564,1.1422976501305484,0.9861386577434045
