White,Hispanic,Asian,Black,Other,date,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Other_discrepancy,White_rates,Hispanic_rates,Asian_rates,Black_rates,Native Hawaiian/Pacific Islander,Native Hawaiian/Pacific Islander_discrepancy,Native Hawaiian/Pacific Islander_rates
39,48,52,8,3,2020-06-17,0.8440462277626282,1.271523178807947,0.8830022075055187,1.8921475875118257,0.3679175864606328,0.06611035514767569,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
39,48,52,8,3,2020-06-18,0.8384932920536636,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918,0.06611035514767569,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
39,48,52,8,3,2020-06-19,0.8384932920536636,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918,0.06611035514767569,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
40,48,52,8,3,2020-06-20,0.8599931200550395,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918,0.06780549245915456,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
40,48,52,8,3,2020-06-21,0.8599931200550395,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918,0.06780549245915456,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
42,48,53,8,3,2020-06-22,0.8912655971479501,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077,0.07119576708211228,0.0995927073240062,0.07049163312195951,0.14820343351786636,,,
42,48,53,8,3,2020-06-23,0.8912655971479501,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077,0.07119576708211228,0.0995927073240062,0.07049163312195951,0.14820343351786636,,,
42,48,53,8,3,2020-06-24,0.8912655971479501,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077,0.07119576708211228,0.0995927073240062,0.07049163312195951,0.14820343351786636,,,
44,48,52,8,3,2020-06-25,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
44,48,52,8,3,2020-06-26,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
44,48,52,8,3,2020-06-27,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
44,48,52,8,3,2020-06-28,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
44,48,52,8,3,2020-06-29,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
44,48,52,8,3,2020-06-30,0.9276829011174362,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035,0.07458604170507001,0.0995927073240062,0.06916160230833764,0.14820343351786636,,,
46,51,55,8,4,2020-07-06,0.9110714993067935,1.2363636363636363,0.8547008547008547,1.7316017316017316,0.4489337822671156,0.07797631632802773,0.10581725153175658,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
46,51,55,8,4,2020-07-07,0.9110714993067935,1.2363636363636363,0.8547008547008547,1.7316017316017316,0.4489337822671156,0.07797631632802773,0.10581725153175658,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
46,51,55,8,4,2020-07-08,0.9110714993067935,1.2363636363636363,0.8547008547008547,1.7316017316017316,0.4489337822671156,0.07797631632802773,0.10581725153175658,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
46,52,55,8,4,2020-07-09,0.9055831167808489,1.2530120481927711,0.8495520543713315,1.721170395869191,0.4462293618920125,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
46,52,55,8,4,2020-07-10,0.9055831167808489,1.2530120481927711,0.8495520543713315,1.721170395869191,0.4462293618920125,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
46,52,55,8,4,2020-07-11,0.9055831167808489,1.2530120481927711,0.8495520543713315,1.721170395869191,0.4462293618920125,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
46,52,55,8,4,2020-07-12,0.9055831167808489,1.2530120481927711,0.8495520543713315,1.721170395869191,0.4462293618920125,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
46,52,55,8,5,2020-07-13,0.9001604633869517,1.2455089820359282,0.8444649163212037,1.7108639863130881,0.5544466622310934,0.07797631632802773,0.10789209960100672,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
47,54,55,8,5,2020-07-14,0.9034986543637064,1.2705882352941176,0.8295625942684767,1.680672268907563,0.5446623093681917,0.0796714536395066,0.11204179573950697,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
46,54,55,8,5,2020-07-15,0.8878310476406361,1.2485549132947977,0.8151771157551504,1.6515276630883566,0.5352172982230786,0.07797631632802773,0.11204179573950697,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
50,54,55,8,5,2020-07-16,0.9284016636957815,1.2272727272727273,0.8012820512820512,1.6233766233766234,0.5260942760942761,0.0847568655739432,0.11204179573950697,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
51,54,55,8,5,2020-07-17,0.9416195856873824,1.2203389830508475,0.7967550340431697,1.6142050040355125,0.5231219920485457,0.08645200288542206,0.11204179573950697,0.07315169474920327,0.14820343351786636,0.0,0.0,0.0
