Hispanic,Non-Hispanic,date,Hispanic_discrepancy,Non-Hispanic_discrepancy,Hispanic_rates,Non-Hispanic_rates,Hispanic_covidperc,Non-Hispanic_covidperc,Hispanic_demperc,Non-Hispanic_demperc,Other
41,1,2020-06-14,1.148235294117647,0.12121212121212122,0.2661771603766082,0.02787023728998731,0.976,0.024,0.85,0.198,0
46,1,2020-06-15,1.151764705882353,0.10606060606060606,0.2986377896908287,0.02787023728998731,0.979,0.021,0.85,0.198,0
50,1,2020-06-16,1.1529411764705881,0.10101010101010101,0.3246062931422051,0.02787023728998731,0.98,0.02,0.85,0.198,0
51,1,2020-06-17,1.1541176470588235,0.09595959595959595,0.33109841900504927,0.02787023728998731,0.981,0.019,0.85,0.198,0
57,1,2020-06-18,1.1564705882352941,0.08585858585858586,0.37005117418211386,0.02787023728998731,0.983,0.017,0.85,0.198,0
58,1,2020-06-19,1.1564705882352941,0.08585858585858586,0.37654330004495795,0.02787023728998731,0.983,0.017,0.85,0.198,0
58,1,2020-06-20,1.1564705882352941,0.08585858585858586,0.37654330004495795,0.02787023728998731,0.983,0.017,0.85,0.198,0
58,1,2020-06-21,1.1564705882352941,0.08585858585858586,0.37654330004495795,0.02787023728998731,0.983,0.017,0.85,0.198,0
58,1,2020-06-22,1.1564705882352941,0.08585858585858586,0.37654330004495795,0.02787023728998731,0.983,0.017,0.85,0.198,0
60,1,2020-06-23,1.1576470588235295,0.0808080808080808,0.3895275517706462,0.02787023728998731,0.984,0.016,0.85,0.198,0
62,1,2020-06-24,1.1576470588235295,0.0808080808080808,0.40251180349633436,0.02787023728998731,0.984,0.016,0.85,0.198,0
65,1,2020-06-25,1.1588235294117648,0.07575757575757575,0.4219881810848667,0.02787023728998731,0.985,0.015,0.85,0.198,0
65,1,2020-06-26,1.1588235294117648,0.07575757575757575,0.4219881810848667,0.02787023728998731,0.985,0.015,0.85,0.198,0
73,1,2020-06-27,1.16,0.0707070707070707,0.4739251879876195,0.02787023728998731,0.986,0.014,0.85,0.198,0
73,1,2020-06-28,1.16,0.0707070707070707,0.4739251879876195,0.02787023728998731,0.986,0.014,0.85,0.198,0
73,1,2020-06-29,1.16,0.0707070707070707,0.4739251879876195,0.02787023728998731,0.986,0.014,0.85,0.198,0
84,1,2020-06-30,1.1623529411764706,0.06060606060606061,0.5453385724789046,0.02787023728998731,0.988,0.012,0.85,0.198,0
91,1,2020-07-02,1.163529411764706,0.05555555555555555,0.5907834535188133,0.02787023728998731,0.989,0.011,0.85,0.198,0
96,1,2020-07-03,1.1647058823529413,0.050505050505050504,0.6232440828330339,0.02787023728998731,0.99,0.01,0.85,0.198,0
106,1,2020-07-05,1.1658823529411766,0.04545454545454545,0.6881653414614749,0.02787023728998731,0.991,0.009,0.85,0.198,0
113,1,2020-07-06,1.1658823529411766,0.04545454545454545,0.7336102225013836,0.02787023728998731,0.991,0.009,0.85,0.198,0
