Hispanic,Non-Hispanic,date,Hispanic_discrepancy,Non-Hispanic_discrepancy,Hispanic_rates,Non-Hispanic_rates,Hispanic_covidperc,Non-Hispanic_covidperc,Hispanic_demperc,Non-Hispanic_demperc,Other
113,1,2020-07-07,1.1658823529411766,0.04545454545454545,0.7336102225013836,0.02787023728998731,0.991,0.009,0.85,0.198,0
118,1,2020-07-08,1.1670588235294117,0.0404040404040404,0.7660708518156042,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-09,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-10,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-11,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-12,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-13,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-14,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-15,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-16,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-17,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-18,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-19,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-20,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-21,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-22,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-23,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-24,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-25,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-26,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-28,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-29,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-07-30,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-01,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-02,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-06,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-07,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-08,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-12,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-13,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-14,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-15,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-16,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-21,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-22,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-23,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-24,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-25,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-26,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-27,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-28,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-29,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-30,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-08-31,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-01,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-02,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-03,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-04,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-05,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-06,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-07,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-08,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-09,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-10,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-11,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-12,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-13,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-14,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-15,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-16,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-17,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-18,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-19,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-20,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-21,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-22,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-23,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-24,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-25,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-26,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-27,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-28,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-29,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-09-30,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-01,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-02,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-03,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-04,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-05,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-06,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-07,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-08,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-09,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-10,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-11,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-12,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-13,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-14,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-15,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-16,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-17,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-18,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-20,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-22,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-25,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-27,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-29,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-10-31,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-01,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-03,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-05,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-08,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-10,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-11,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-16,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-17,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-18,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-12,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-15,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-19,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-22,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-23,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-24,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-26,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-11-29,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,0
120,1,2020-12-01,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-03,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-06,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-08,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-10,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-13,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-15,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-17,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-20,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-22,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-24,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2020-12-26,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-01,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-03,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-05,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-07,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-10,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-12,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-14,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-15,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-16,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-17,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-19,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-21,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-24,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-26,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-28,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-01-31,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-02-02,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-02-04,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-02-07,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-02-09,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-02-11,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
120,1,2021-02-14,1.1670588235294117,0.0404040404040404,0.7790551035412924,0.02787023728998731,0.992,0.008,0.85,0.198,
