Hispanic,White,Asian,Black,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,American Indian/Alaska Native_covidperc,Native Hawaiian/Pacific Islander_covidperc,Hispanic_demperc,White_demperc,Asian_demperc,Black_demperc,American Indian/Alaska Native_demperc,Native Hawaiian/Pacific Islander_demperc,Other
1116,774,460,307,3,9,2020-06-14,0.8603582976007105,1.1110967558558675,1.1191506133431948,1.27804837433912,0.08028689182679441,0.8430123641813413,0.22873511521456003,0.29539651697898134,0.29753771794772055,0.3397823243751771,0.021345097157119085,0.22412352014975037,0.4181341326339453,0.2899962532783814,0.172349194454852,0.11502435369052079,0.0011240164855751218,0.0033720494567253652,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1128,779,461,309,3,9,2020-06-15,0.8631415598069868,1.109956983823695,1.1132415371909608,1.276806743522995,0.07968974127397332,0.83674228337672,0.23119463258245854,0.29730476321269567,0.29818453907369386,0.3419958900062858,0.021345097157119085,0.22412352014975037,0.4194867980661956,0.2896987727779844,0.17143919672740796,0.11491260691706955,0.0011156563778356265,0.00334696913350688,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1144,783,464,311,3,9,2020-06-16,0.8673210998601976,1.1053795136330138,1.110164706332724,1.2732334397772866,0.07895567954521529,0.8290346352247604,0.23447398907298986,0.29883136019966716,0.3001250024516138,0.3442094556373944,0.021345097157119085,0.22412352014975037,0.421518054532056,0.28850405305821664,0.1709653647752395,0.11459100957995579,0.001105379513633014,0.003316138540899042,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1158,795,469,313,3,9,2020-06-17,0.8673884417119461,1.1088376452472706,1.1086474501108647,1.2660275856489909,0.07800717666025275,0.8190753549326538,0.23734342600220476,0.3034111511605816,0.3033591080814803,0.34642302126850305,0.021345097157119085,0.22412352014975037,0.4215507826720058,0.28940662540953765,0.17073170731707318,0.11394248270840918,0.0010921004732435385,0.0032763014197306154,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1169,805,471,316,3,9,2020-06-18,0.8674178846875886,1.1122579111934596,1.102936010977843,1.26617782586048,0.07727577146978518,0.8113956004327443,0.23959798358944506,0.3072276436280103,0.3046527503334269,0.349743369715166,0.021345097157119085,0.22412352014975037,0.42156509195816805,0.29029931482149296,0.16985214569058782,0.1139560043274432,0.0010818608005769925,0.0032455824017309774,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1188,818,476,319,3,9,2020-06-19,0.8689813169016866,1.114148459601222,1.0987945577351905,1.2600229095074456,0.07617693362449851,0.7998578030572343,0.243492219421951,0.31218908383566757,0.30788685596329346,0.35306371816182897,0.021345097157119085,0.22412352014975037,0.4223249200142197,0.290792747955919,0.16921436189121933,0.1134020618556701,0.001066477070742979,0.003199431212228937,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1216,831,480,321,3,9,2020-06-20,0.8748453192897638,1.1132545615304235,1.0898192716374535,1.2470862470862472,0.07492507492507493,0.7867132867132868,0.24923109328038082,0.3171505240433249,0.3104741404671867,0.3552772837929376,0.021345097157119085,0.22412352014975037,0.4251748251748252,0.29055944055944055,0.16783216783216784,0.11223776223776223,0.001048951048951049,0.003146853146853147,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1223,832,480,321,3,9,2020-06-21,0.8774270939155489,1.111485168619781,1.0867793294571537,1.2436076243607626,0.07471607890017931,0.7845188284518828,0.25066581174498825,0.3175321732900678,0.3104741404671867,0.3552772837929376,0.021345097157119085,0.22412352014975037,0.42642956764295675,0.2900976290097629,0.16736401673640167,0.11192468619246862,0.0010460251046025104,0.0031380753138075313,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1231,835,484,324,3,9,2020-06-22,0.8776582850656924,1.108535591294212,1.089001089001089,1.2474012474012475,0.07425007425007425,0.7796257796257796,0.25230548999025393,0.3186771210302964,0.3130614249710799,0.3585976322396006,0.021345097157119085,0.22412352014975037,0.4265419265419265,0.28932778932778935,0.1677061677061677,0.11226611226611227,0.0010395010395010396,0.0031185031185031187,0.486,0.261,0.154,0.09,0.014,0.004,0.031
1252,831,490,329,5,9,2020-06-23,0.8834470806731133,1.0918751872349148,1.091158498565906,1.253619875019052,0.12247697432882618,0.7716049382716049,0.2566096453840763,0.3171505240433249,0.31694235172691976,0.3641315463173722,0.03557516192853181,0.22412352014975037,0.42935528120713307,0.28497942386831276,0.16803840877914952,0.11282578875171467,0.0017146776406035665,0.0030864197530864196,0.486,0.261,0.154,0.09,0.014,0.004,0.031
