White,Hispanic,Asian,Black,Native Hawaiian/Pacific Islander,Other,date,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy,White_rates,Hispanic_rates,Asian_rates,Black_rates,Native Hawaiian/Pacific Islander_rates,Other_rates,White_covidperc,Hispanic_covidperc,Asian_covidperc,Black_covidperc,Native Hawaiian/Pacific Islander_covidperc,White_demperc,Hispanic_demperc,Asian_demperc,Black_demperc,Native Hawaiian/Pacific Islander_demperc,Other_demperc
518,1407,582,57,20,173,2020-06-17,0.5148450296582551,1.7116788321167884,0.45464470646952326,0.619134515119918,1.2165450121654504,0.97436244029918,0.8780811273460515,2.919311233434932,0.7740779335279327,1.055949463814798,2.074848069250129,,0.15754257907542604,0.4279197080291971,0.17731143552311407,0.017335766423357706,0.006082725060827252,0.306,0.25,0.39,0.028,0.005,0.054
520,1437,587,60,20,176,2020-06-18,0.5053066920097415,1.7091882247992871,0.4483176650884049,0.6371861858034926,1.1894142134998513,0.9746588693957107,0.8814714019690092,2.9815566755124356,0.7807280875960422,1.1115257513839978,2.074848069250129,,0.15462384775498092,0.4272970561998218,0.17484388938447792,0.017841213202497794,0.005947071067499257,0.306,0.25,0.39,0.028,0.005,0.054
523,1455,591,59,20,181,2020-06-19,0.5039488818874611,1.713949381989405,0.44596368904785666,0.6306230555789111,1.1771630370806367,0.986419026442571,0.8865568139034458,3.0189039407589378,0.7860482108505297,1.0930003221942646,2.074848069250129,,0.1542083578575631,0.42848734549735124,0.1739258387286641,0.01765744555620951,0.005885815185403184,0.306,0.25,0.39,0.028,0.005,0.054
533,1475,593,60,21,181,2020-06-20,0.5037102560322385,1.7061885482938117,0.4404502380210871,0.6300090886557035,1.2145748987854257,0.9746588693957109,0.9035081870182344,3.0604009021439404,0.7887082724777734,1.1115257513839978,2.1785904727126355,,0.154135338345865,0.42654713707345293,0.171775592828224,0.0176402544823597,0.006072874493927129,0.306,0.25,0.39,0.028,0.005,0.054
541,1525,598,63,22,186,2020-06-21,0.49936335778555296,1.7197631801522422,0.43301309159781076,0.6343388779250079,1.2404849168311256,0.9710866773172956,0.9170692855100654,3.164143305606447,0.7953584265458828,1.1671020389531976,2.282332876175142,,0.1528051874823792,0.42994079503806054,0.1688751057231462,0.01776148858190022,0.006202424584155628,0.306,0.25,0.39,0.028,0.005,0.054
552,1547,609,62,22,193,2020-06-22,0.5011618254253073,1.7171381031613964,0.4330389521737283,0.6239600665557395,1.2201885745978924,0.9962819169696595,0.9357157959363328,3.20978996312995,0.8099887654957235,1.1485766097634644,2.282332876175142,,0.15335551858014404,0.4292845257903491,0.16888519134775404,0.017470881863560706,0.006100942872989462,0.306,0.25,0.39,0.028,0.005,0.054
560,1610,621,62,22,201,2020-06-23,0.4910290741822187,1.727931312047223,0.4272357639677203,0.6037027099543854,1.2342366514623013,1.003686809965318,0.9492768944281638,3.340505391492708,0.825949135259186,1.1485766097634644,2.282332876175142,,0.15025489669975892,0.43198282801180576,0.16662194794741092,0.01690367587872279,0.0061711832573115065,0.306,0.25,0.39,0.028,0.005,0.054
572,1760,635,68,23,194,2020-06-24,0.48866101764296377,1.837160751565763,0.4248969541245126,0.6430808231434532,1.2526096033402914,0.9423567617722105,0.9696185421659101,3.6517326018802274,0.8445695666498922,1.2597291849018641,2.3860752796376485,,0.14953027139874692,0.45929018789144077,0.16570981210855992,0.01800626304801669,0.006263048016701456,0.306,0.25,0.39,0.028,0.005,0.054
585,1794,635,69,24,197,2020-06-25,0.4917090292907286,1.8456790123456799,0.41943653054764096,0.6430041152263356,1.2345679012345678,0.9430727023319609,0.9916553272151354,3.7222774362347315,0.8445695666498922,1.2782546140915974,2.489817683100155,,0.15046296296296297,0.46141975308641997,0.16358024691357997,0.018004115226337398,0.006172839506172839,0.306,0.25,0.39,0.028,0.005,0.054
598,1840,645,75,24,211,2020-06-26,0.4913444628185946,1.8483935742971875,0.41576562660899985,0.6812966150315534,1.2048192771084338,0.9854231741781941,1.0136921122643605,3.8177204474202378,0.8578698747861111,1.3894071892299973,2.489817683100155,,0.15035140562248994,0.4620983935742969,0.16214859437750995,0.019076305220883494,0.006024096385542169,0.306,0.25,0.39,0.028,0.005,0.054
