Black,Hispanic,Asian,White,date,Black_discrepancy,Hispanic_discrepancy,Asian_discrepancy,White_discrepancy,Black_rates,Hispanic_rates,Asian_rates,White_rates,Black_covidperc,Hispanic_covidperc,Asian_covidperc,White_covidperc,Hispanic_demperc,Black_demperc,White_demperc,Asian_demperc,Other
99,2172,110,453,2020-06-14,0.5555555555555556,1.4029304029304028,0.7222222222222222,0.4878048780487805,1.7456399468436765,4.419032592709168,2.2628665977603215,1.534208500953797,0.035,0.766,0.039,0.16,0.546,0.063,0.328,0.054,0.061
99,2172,110,453,2020-06-15,0.5555555555555556,1.4029304029304028,0.7222222222222222,0.4878048780487805,1.7456399468436765,4.419032592709168,2.2628665977603215,1.534208500953797,0.035,0.766,0.039,0.16,0.546,0.063,0.328,0.054,0.061
108,2289,111,470,2020-06-16,0.5714285714285714,1.4084249084249083,0.6851851851851851,0.4817073170731707,1.904334487465829,4.657074403642396,2.2834381122854155,1.591783654411224,0.036,0.769,0.037,0.158,0.546,0.063,0.328,0.054,0.061
108,2289,111,470,2020-06-17,0.5714285714285714,1.4084249084249083,0.6851851851851851,0.4817073170731707,1.904334487465829,4.657074403642396,2.2834381122854155,1.591783654411224,0.036,0.769,0.037,0.158,0.546,0.063,0.328,0.054,0.061
114,2408,115,498,2020-06-18,0.5714285714285714,1.4065934065934065,0.6851851851851851,0.4847560975609756,2.0101308478805975,4.899185305360808,2.3657241703857905,1.6866133189293395,0.036,0.768,0.037,0.159,0.546,0.063,0.328,0.054,0.061
122,2573,118,514,2020-06-19,0.5873015873015872,1.4157509157509156,0.6481481481481483,0.4695121951219512,2.151192661766955,5.234885295138438,2.427438713961072,1.740801698653977,0.037,0.773,0.035,0.154,0.546,0.063,0.328,0.054,0.061
122,2573,118,514,2020-06-20,0.5873015873015872,1.4157509157509156,0.6481481481481483,0.4695121951219512,2.151192661766955,5.234885295138438,2.427438713961072,1.740801698653977,0.037,0.773,0.035,0.154,0.546,0.063,0.328,0.054,0.061
122,2573,118,514,2020-06-21,0.5873015873015872,1.4157509157509156,0.6481481481481483,0.4695121951219512,2.151192661766955,5.234885295138438,2.427438713961072,1.740801698653977,0.037,0.773,0.035,0.154,0.546,0.063,0.328,0.054,0.061
125,2635,120,526,2020-06-22,0.5873015873015872,1.4175824175824174,0.6481481481481483,0.4695121951219512,2.204090841974339,5.3610271094791235,2.46858174301126,1.781442983447455,0.037,0.774,0.035,0.154,0.546,0.063,0.328,0.054,0.061
125,2635,120,526,2020-06-23,0.5873015873015872,1.4175824175824174,0.6481481481481483,0.4695121951219512,2.204090841974339,5.3610271094791235,2.46858174301126,1.781442983447455,0.037,0.774,0.035,0.154,0.546,0.063,0.328,0.054,0.061
129,2760,126,551,2020-06-24,0.5714285714285714,1.4175824175824174,0.6481481481481483,0.4725609756097561,2.274621748917518,5.6153452835530855,2.592010830161823,1.866112326767201,0.036,0.774,0.035,0.155,0.546,0.063,0.328,0.054,0.061
129,2760,126,551,2020-06-25,0.5714285714285714,1.4175824175824174,0.6481481481481483,0.4725609756097561,2.274621748917518,5.6153452835530855,2.592010830161823,1.866112326767201,0.036,0.774,0.035,0.155,0.546,0.063,0.328,0.054,0.061
