Hispanic,White,Asian,Black,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,Other,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Other_rates
24681,7116,3453,2399,62,311,9355,2020-06-14,1.0719114890618644,0.575476873083816,0.47326926403271463,0.5626264971516887,0.09347513410666417,1.6410916689532895,6.3696349188084325,5.058612348498854,2.7158170006480407,2.23347403853244,2.655173825896301,0.44113357097625705,7.744795298336488,30.059894862665963
25277,7134,3471,2416,62,313,9699,2020-06-15,1.075214753697255,0.5650651892279279,0.4659505713834665,0.5549583321848269,0.09155237386445524,1.6176713801372695,6.468018021622747,5.18076837782122,2.722686689519832,2.245116822399681,2.673989146880143,0.44113357097625705,7.79460105588206,31.165250697273883
26039,7193,3494,2442,62,316,9906,2020-06-16,1.0834382694413072,0.5572957003393205,0.4587946228324777,0.5486802016770471,0.08955292866964791,1.5975086953004936,6.461788948814491,5.336947730746796,2.7452040030440354,2.2599937128967116,2.7027655201495486,0.44113357097625705,7.869309692200418,31.83039214426179
26316,7273,3512,2467,64,316,10347,2020-06-17,1.0766109583089403,0.5540491178674174,0.4534286669687803,0.5450066827937392,0.0908923068183432,1.5707326772044934,6.636329526759859,5.393721590012392,2.775735953585329,2.271636496763953,2.7304351098316695,0.45536368616903955,7.869309692200418,33.247432618279504
26494,7313,3523,2478,62,314,10626,2020-06-18,1.0729069728829181,0.5514496573139659,0.45023860217719697,0.5418880797743226,0.08715944555346247,1.5449714623105688,6.746195503806083,5.430204430984508,2.7910019288559753,2.278751531349489,2.7426097292918024,0.44113357097625705,7.819503934654846,34.14392761204581
26721,7368,3537,2506,63,316,11048,2020-06-19,1.0663799042161695,0.5475258452931838,0.44546117006793123,0.5400501259614121,0.08727865164180841,1.5322252177117477,6.912218948664512,5.476730301212993,2.8119926448531145,2.287807029912899,2.7735996697357774,0.4482486285726483,7.869309692200418,35.499916455663666
27017,7440,3569,2535,64,317,11478,2020-06-20,1.0604833075052247,0.5437952523166115,0.44210844477918115,0.5373267200813939,0.08720771788303264,1.5118275467378863,7.063297682490061,5.537398396312692,2.839471400340279,2.30850531234355,2.8056963937670374,0.45536368616903955,7.894212570973204,36.88161124892356
27148,7491,3584,2547,64,319,11842,2020-06-21,1.0540632569964479,0.5415822138935249,0.4391494909468303,0.5340126427021418,0.08626150715027024,1.5048589489574489,7.2082271912444575,5.564248127589923,2.858935518810353,2.3182076322329177,2.8189777968144556,0.45536368616903955,7.944018328518776,38.051231957636595
27354,7581,3616,2579,65,329,12586,2020-06-22,1.0401765037383839,0.5367949918960313,0.43394048199074997,0.5295796628267521,0.08580404995115769,1.5200517464424321,7.503234152652005,5.606469842422821,2.893283963169308,2.338905914663569,2.8543948716075698,0.4624787437654308,8.193047116246639,40.441885274346745
27671,7679,3644,2618,70,338,13074,2020-06-23,1.033437651863534,0.5340228688913007,0.4294902831948609,0.5279865119412075,0.09075398409990197,1.5337423312883436,7.654952181433023,5.671442092918107,2.9306856025823924,2.3570169117903883,2.897559431511678,0.498054031747387,8.417173025201713,42.009948202511474
27990,7762,3690,2654,72,345,13194,2020-06-24,1.033848395939336,0.5338550559450799,0.43012617733927444,0.5293569728918968,0.09231976489233207,1.548279390381819,7.640205059073482,5.736824262974876,2.9623625012689843,2.386770692784449,2.937403640653932,0.5122841469401694,8.591493176611216,42.39553744714214
28303,7837,3696,2677,73,349,13479,2020-06-25,1.0323080354947938,0.5322583033178226,0.4254263126174354,0.5272528883689234,0.09242893101509757,1.5466019073279682,7.707421058831198,5.800976674347193,2.990986204901447,2.3906516207401967,2.962859663161483,0.5193992045365607,8.69110469170236,43.31131190313998
28615,7885,3721,2703,76,351,13869,2020-06-26,1.0289863827865304,0.5279749732497144,0.4222708434522485,0.5248747524175696,0.09487192290407949,1.533554701153443,7.818718923002334,5.864924125938767,3.009305375226223,2.406822153889143,2.9916360364308887,0.5407443773257344,8.740910449247933,44.56447694818966
28971,7971,3750,2744,79,353,14384,2020-06-27,1.0233315785056498,0.5242777910639544,0.41802254601815136,0.5233964308330854,0.09686975799727293,1.5149694431092495,7.965391746206139,5.937889807882999,3.042127222058113,2.4255799723419202,3.0370141635095664,0.5620895501149081,8.790716206793505,46.21929745639628
29163,8062,3794,2791,82,356,15375,2020-06-28,1.006426594426751,0.5180700214495897,0.41320234869704037,0.5201199388006492,0.09823629903129424,1.4927125438169835,8.318396288940239,5.977242085785506,3.076857315798834,2.4540401106840655,3.0890329921119535,0.5834347229040819,8.865424843111864,49.40362196830456
29462,8127,3807,2818,82,359,16825,2020-06-29,0.9860344693714174,0.5064725282121464,0.4020946522573068,0.5092893804669992,0.09526907705177061,1.4598243331164606,8.827942997460491,6.038525060227432,3.101664525613635,2.462448787921517,3.1189161489686437,0.5834347229040819,8.940133479430223,54.06282534092516
29802,8225,3834,2856,81,359,17090,2020-06-30,0.9851235827320352,0.5062639157177988,0.3999566870066653,0.5097969915551486,0.09294768078323912,1.4418365543720983,8.856496258143286,6.108211385679788,3.139066165026719,2.479912963722379,3.160973925285467,0.5763196653076906,8.940133479430223,54.914334922817886
30758,8477,3903,2946,84,370,17447,2020-07-02,0.9891078509591529,0.5076022068151149,0.39609526989381644,0.5115782344820401,0.09377197780729858,1.4456513245291864,8.79591234840827,6.304152936069355,3.2352418092317934,2.5245436352134702,3.2605844481411017,0.5976648380968644,9.214065145930869,56.06146292559413
30758,8477,3903,2946,84,370,17447,2020-07-03,0.9891078509591529,0.5076022068151149,0.39609526989381644,0.5115782344820401,0.09377197780729858,1.4456513245291864,8.79591234840827,6.304152936069355,3.2352418092317934,2.5245436352134702,3.2605844481411017,0.5976648380968644,9.214065145930869,56.06146292559413
31668,8869,3996,3112,85,391,18540,2020-07-05,0.9774904940994058,0.5097559729358604,0.38925386579937216,0.5187107570810185,0.09107917030090415,1.4663746418445567,8.9717303390143,6.49066633654478,3.3848483668841305,2.58469801852755,3.444310523630383,0.6047798956932556,9.73702560015938,59.57353829543848
32574,9183,4089,3232,91,413,19192,2020-07-06,0.9745643900023947,0.5115873447229623,0.38607537807816983,0.5221611526319702,0.09451246110448716,1.5012940936981998,9.001901506289418,6.676359897897235,3.5046862727587067,2.6448524018416295,3.577124554104562,0.6474702412716031,10.284888933160673,61.66857319126512
32574,9183,4089,3232,91,413,19192,2020-07-07,0.9745643900023947,0.5115873447229623,0.38607537807816983,0.5221611526319702,0.09451246110448716,1.5012940936981998,9.001901506289418,6.676359897897235,3.5046862727587067,2.6448524018416295,3.577124554104562,0.6474702412716031,10.284888933160673,61.66857319126512
33162,9351,4132,3310,96,422,19393,2020-07-08,0.9766491269177364,0.5128043140711727,0.3840375695068965,0.5264045140379838,0.09814706519827752,1.5100334926859988,8.954006886916245,6.796876248973664,3.5688033688954226,2.672665718857817,3.663453673912779,0.6830455292535593,10.509014842115748,62.31443517602149
33694,9492,4158,3358,99,428,19512,2020-07-09,0.9800429469048485,0.5140981339245136,0.38167399386494394,0.5274326219746839,0.0999622364884377,1.5125599016129259,8.897518480636544,6.905914852328528,3.6226159317244524,2.689483073332721,3.7165792861024505,0.704390702042733,10.658432114752465,62.6968111769469
34231,9655,4192,3407,101,430,19612,2020-07-10,0.9833327243340708,0.5164507897016664,0.38002986570585834,0.528502199636393,0.10071879312958221,1.500809739208131,8.832372274673627,7.015978254587102,3.6848247809523373,2.7114749984152877,3.7708116818794073,0.7186208172355155,10.708237872298037,63.01813554747246
35218,9892,4264,3476,105,434,20009,2020-07-11,0.987288762311394,0.5163680637314702,0.3772352337708342,0.5262026516011639,0.10218262077985776,1.478241913948609,8.793858319071715,7.218273558179678,3.7752756844309188,2.758046133884253,3.84717974940206,0.7470810476210805,10.807849387389183,64.29379329845892
36342,10097,4328,3554,112,453,20700,2020-07-12,0.9893072497258457,0.5118120254384313,0.3718135118129826,0.5224365476263976,0.10583970576561796,1.4982933347445293,8.834201247372144,7.448648351733939,3.853513807692983,2.7994426987455547,3.933508869210277,0.7968864507958192,11.28100408407212,66.51414469879053
37344,10248,4380,3620,111,460,20964,2020-07-13,0.9962724619502834,0.5090871914646227,0.3687626699023486,0.5215063754874716,0.10279890866455882,1.4910472337832408,8.768110577568542,7.654018052037649,3.911142864339674,2.8330774076953626,4.006556585971075,0.7897713931994279,11.455324235481621,67.36244103697801
38934,10549,4474,3737,115,472,21440,2020-07-14,1.0048934548125477,0.5069884286583559,0.36442026632817015,0.5208442220020097,0.10303791616118355,1.4801620652023932,8.675416806435024,7.979904103417787,4.02601932825129,2.8938786123354,4.1360502656834,0.8182316235849929,11.754158780755056,68.89194504067966
40183,10720,4538,3818,120,478,21448,2020-07-15,1.0169247888672006,0.5051693860754676,0.36243198410346805,0.5217664623605218,0.10542314213675139,1.469774306623209,8.509574660130811,8.235898869564826,4.091281372533305,2.935275177196702,4.225699736253471,0.8538069115669491,11.903576053391772,68.9176509903217
41682,10913,4605,3900,123,481,21722,2020-07-16,1.0280420024784291,0.5011898033754281,0.35843259178909936,0.519422402288655,0.10531146507940313,1.4413971663510177,8.399176245047764,8.54313358089742,4.164939703214174,2.9786122060358777,4.316455990410827,0.8751520843561229,11.978284689710131,69.79807976556174
43150,11083,4661,3983,127,489,21791,2020-07-17,1.0410628984387773,0.4979081836284303,0.3548875963396858,0.5189197921715158,0.10636729716510215,1.4334458984100182,8.24229027567853,8.844014539027008,4.229820098114423,3.0148342002895174,4.408319028155468,0.9036123147416878,12.17750771989242,70.01979358122438
44409,11277,4758,4094,134,500,22132,2020-07-18,1.0466478421364032,0.49490168321868566,0.35389104618464096,0.521040145799607,0.1096333337696849,1.4317786126637955,8.177580453025836,9.102058902981469,4.30386007817706,3.077575868907428,4.531172006344083,0.9534177179164265,12.451439386393067,71.11550968471653
45434,11432,4831,4162,139,505,22584,2020-07-19,1.0493741702809491,0.4916628271636143,0.3521291531887915,0.5190930713173015,0.11144803875505324,1.4171540179824216,8.177580668697543,9.312142678242248,4.363015732350815,3.124793825702351,4.606433290279452,0.9889930058983828,12.575953780256997,72.56789583949205
47038,11636,4922,4250,140,514,23116,2020-07-20,1.056431280894742,0.48662215638018685,0.3488587032946097,0.5154364109131836,0.10915123995808593,1.402593433461404,8.139161493132626,9.640898166552777,4.440872206231113,3.183654566364515,4.703830245960517,0.996108063494774,12.800079689212073,74.27734149068802
47927,11801,4970,4308,142,519,23214,2020-07-21,1.0617373449623557,0.4868009537685122,0.34746317624408946,0.5153547729532053,0.10920271253385669,1.3969487839278216,8.062345470843546,9.823107411632614,4.50384435422253,3.2147019900104916,4.768023694023037,1.0103381786875565,12.924594083076004,74.59223937380307
49160,12060,5050,4391,150,530,23333,2020-07-22,1.0684270589019753,0.4880632121989579,0.34636972972735697,0.5153356664859295,0.11317030773270079,1.3995394722943997,7.9502019493719365,10.075822821287778,4.602691544099968,3.266447696087119,4.859886731767677,1.0672586394586865,13.198525749576651,74.97461537472849
49937,12205,5125,4451,153,547,23534,2020-07-23,1.070858646058283,0.4873525523936936,0.346831965766433,0.5154197469104923,0.11389623383120132,1.4251917625479407,7.911886050552158,10.235076570924488,4.658030704456062,3.3149592955339573,4.926293747004767,1.08860381224786,13.621874688714016,75.62047735948485
50791,12400,5187,4514,153,552,23708,2020-07-24,1.0740273413768553,0.4882542371313016,0.3461468391328111,0.5154468481121788,0.11231253716223656,1.4182210574996146,7.859556996540641,10.410112223678347,4.732452333900464,3.355062217743344,4.996021113003711,1.08860381224786,13.746389082577947,76.17958176419933
52836,12691,5298,4623,159,564,23925,2020-07-25,1.0861178207192699,0.4857788630194706,0.3436960258411665,0.5131740196078431,0.11346250456704421,1.4086476982097187,7.710340009075159,10.829254975296198,4.843512303994419,3.426859384924665,5.116660524017758,1.1312941578262077,14.04522362785138,76.87685564823978
53203,12787,5337,4687,161,573,24274,2020-07-26,1.0836371623570893,0.48496700881739574,0.34305244556476966,0.5155092730076397,0.11383659004969214,1.4180079586624694,7.751106274519572,10.904475214828594,4.880150644643971,3.4520854166370207,5.187494673603986,1.14552427301899,14.269349536806455,77.99827770137398
54846,12999,5433,4774,162,581,24507,2020-07-28,1.0924459531456492,0.48212617085002635,0.3415153702660237,0.5134890364605181,0.11201553282055111,1.4060715184604362,7.652788785277867,11.24122413458807,4.961060313578398,3.514180263928974,5.283784845697766,1.1526393306153813,14.468572566988744,78.74696348469854
57703,13304,5551,4907,164,595,24531,2020-07-29,1.1121769722719976,0.4774781516240771,0.33764652283691204,0.5107228909392743,0.10973055795312364,1.393377359374268,7.412510708118226,11.826794228168607,5.077463375017079,3.5905051803919994,5.430987062806648,1.1668694458081639,14.817212869807749,78.82408133362466
59065,13442,5623,4974,165,594,24458,2020-07-30,1.1219700871548415,0.4754564277361939,0.3370813324561905,0.5102119318199303,0.10880359566209954,1.3709253053424542,7.283608367126263,12.105949449539517,5.13013098970081,3.6370763158609645,5.505141563154732,1.173984503404555,14.792309991034964,78.58951454314101
61795,13711,5751,5115,170,600,24208,2020-08-01,1.1418967737882073,0.4717787790732683,0.33537634345896583,0.5104026343361772,0.10905125408942203,1.3471037269869781,7.01305097266683,12.66548965096579,5.232794673395909,3.719869445583569,5.661198048961892,1.2095597913865113,14.94172726367168,77.78620361682711
62367,13776,5792,5148,172,603,24219,2020-08-02,1.1449910373567027,0.4709405961562345,0.3355763413580807,0.510363410869313,0.10961851482208022,1.3450574158837227,6.970726059014152,12.782726645550344,5.257601883210709,3.7463891199478403,5.697721907342292,1.2237899065792937,15.01643589999004,77.82154929758492
66703,14387,6031,5393,178,613,24612,2020-08-06,1.1639455820061197,0.46746953674181563,0.3321178257786211,0.5081728862014996,0.1078240263429846,1.299642969207154,6.733002738120608,13.67143225484863,5.490789655469837,3.9009794168517655,5.968883886227075,1.2664802521576413,15.2654646877179,79.08435407375038
67805,14601,6105,5476,179,620,24807,2020-08-07,1.1665938717596331,0.4677742738758304,0.33148141733092357,0.5087625901553139,0.10691022288691047,1.2960624785731607,6.691242852437959,13.897297933226563,5.572462623167797,3.948844194972646,6.060746923971715,1.2735953097540325,15.439784839127404,79.7109365962752
68945,14801,6208,5559,179,623,24898,2020-08-08,1.1703541692532606,0.467844309278183,0.3325690174460521,0.5095713056080343,0.1054813781171515,1.2849281842706641,6.626032606424894,14.1309520832727,5.64879249952103,4.015466791546304,6.152609961716355,1.2735953097540325,15.51449347544576,80.00334177345347
71945,15317,6423,5767,182,645,25432,2020-08-12,1.1775817503947015,0.4668312538663225,0.33177520032290103,0.5097229182631415,0.10341179371733579,1.2827039797631075,6.5259770169213,14.745831425499373,5.845723580512372,4.15453337662724,6.3828209478716,1.2949404825432063,16.062356808447056,81.71921391205994
