state,county,n,features,coef,R2,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,17,constant,0.0,0.11789213420500722,6349406902840.764,0.012929890089702844,0.07026156176750067,22309469315749.125,1.519642126855519e-16,0.036676773755266005
california,imperial,17,time,-0.007122959468174652,0.11789213420500722,6349406902840.764,0.012929890089702844,0.07026156176750067,22309469315749.125,1.519642126855519e-16,0.036676773755266005
california,imperial,17,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-2.804924460018383e-08,0.11789213420500722,6349406902840.764,0.012929890089702844,0.07026156176750067,22309469315749.125,1.519642126855519e-16,0.036676773755266005
california,imperial,17,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.0,0.11789213420500722,6349406902840.764,0.012929890089702844,0.07026156176750067,22309469315749.125,1.519642126855519e-16,0.036676773755266005
california,imperial,17,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.0,0.11789213420500722,6349406902840.764,0.012929890089702844,0.07026156176750067,22309469315749.125,1.519642126855519e-16,0.036676773755266005
california,imperial,17,PUBLIC_TRANSPORTATION,-0.00045955882352941187,0.11789213420500722,6349406902840.764,0.012929890089702844,0.07026156176750067,22309469315749.125,1.519642126855519e-16,0.036676773755266005
california,imperial,17,CAR_TRUCK_VAN_ALONE,-7.18060661764706e-06,0.11789213420500722,6349406902840.764,0.012929890089702844,0.07026156176750067,22309469315749.125,1.519642126855519e-16,0.036676773755266005
california,imperial,17,CAR_TRUCK_VAN_CARPOOL,0.0,0.11789213420500722,6349406902840.764,0.012929890089702844,0.07026156176750067,22309469315749.125,1.519642126855519e-16,0.036676773755266005
california,sacramento,215,constant,0.0,0.1570826348312616,18535926988.65896,0.023411019363543648,2790981554.4768887,64112642701.68019,0.0176563048603098,0.028645261380266174
california,sacramento,215,time,0.004341801198570626,0.1570826348312616,18535926988.65896,0.023411019363543648,2790981554.4768887,64112642701.68019,0.0176563048603098,0.028645261380266174
california,sacramento,215,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.014976106736402262,0.1570826348312616,18535926988.65896,0.023411019363543648,2790981554.4768887,64112642701.68019,0.0176563048603098,0.028645261380266174
california,sacramento,215,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.023430199649845516,0.1570826348312616,18535926988.65896,0.023411019363543648,2790981554.4768887,64112642701.68019,0.0176563048603098,0.028645261380266174
california,sacramento,215,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.009623131472073509,0.1570826348312616,18535926988.65896,0.023411019363543648,2790981554.4768887,64112642701.68019,0.0176563048603098,0.028645261380266174
california,sacramento,215,PUBLIC_TRANSPORTATION,0.005135352117774426,0.1570826348312616,18535926988.65896,0.023411019363543648,2790981554.4768887,64112642701.68019,0.0176563048603098,0.028645261380266174
california,sacramento,215,CAR_TRUCK_VAN_ALONE,0.009116794828558475,0.1570826348312616,18535926988.65896,0.023411019363543648,2790981554.4768887,64112642701.68019,0.0176563048603098,0.028645261380266174
california,sacramento,215,CAR_TRUCK_VAN_CARPOOL,-0.008754032152974933,0.1570826348312616,18535926988.65896,0.023411019363543648,2790981554.4768887,64112642701.68019,0.0176563048603098,0.028645261380266174
california,alameda,183,constant,0.0,0.7193202024691681,8382820445021.052,0.032179117931748956,2110566210081.9668,15119523931157.297,0.026621309804172523,0.04218959513079108
california,alameda,183,time,-0.004110672860288051,0.7193202024691681,8382820445021.052,0.032179117931748956,2110566210081.9668,15119523931157.297,0.026621309804172523,0.04218959513079108
california,alameda,183,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.1019337724949915,0.7193202024691681,8382820445021.052,0.032179117931748956,2110566210081.9668,15119523931157.297,0.026621309804172523,0.04218959513079108
california,alameda,183,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.016447292252039628,0.7193202024691681,8382820445021.052,0.032179117931748956,2110566210081.9668,15119523931157.297,0.026621309804172523,0.04218959513079108
california,alameda,183,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.0023543622999671974,0.7193202024691681,8382820445021.052,0.032179117931748956,2110566210081.9668,15119523931157.297,0.026621309804172523,0.04218959513079108
california,alameda,183,PUBLIC_TRANSPORTATION,0.004338826649781147,0.7193202024691681,8382820445021.052,0.032179117931748956,2110566210081.9668,15119523931157.297,0.026621309804172523,0.04218959513079108
california,alameda,183,CAR_TRUCK_VAN_ALONE,-0.012571992411220203,0.7193202024691681,8382820445021.052,0.032179117931748956,2110566210081.9668,15119523931157.297,0.026621309804172523,0.04218959513079108
california,alameda,183,CAR_TRUCK_VAN_CARPOOL,-0.004267220002159894,0.7193202024691681,8382820445021.052,0.032179117931748956,2110566210081.9668,15119523931157.297,0.026621309804172523,0.04218959513079108
california,losangeles,461,constant,0.0,0.19407217885291528,65611070063.582726,0.034973130165985904,1.1936781542500778,309486348151.84033,0.029618726583295275,0.04663669075003789
california,losangeles,461,time,-0.0008258433459000618,0.19407217885291528,65611070063.582726,0.034973130165985904,1.1936781542500778,309486348151.84033,0.029618726583295275,0.04663669075003789
california,losangeles,461,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.039373887990326456,0.19407217885291528,65611070063.582726,0.034973130165985904,1.1936781542500778,309486348151.84033,0.029618726583295275,0.04663669075003789
california,losangeles,461,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.007884614507815328,0.19407217885291528,65611070063.582726,0.034973130165985904,1.1936781542500778,309486348151.84033,0.029618726583295275,0.04663669075003789
california,losangeles,461,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.004198541503092795,0.19407217885291528,65611070063.582726,0.034973130165985904,1.1936781542500778,309486348151.84033,0.029618726583295275,0.04663669075003789
california,losangeles,461,PUBLIC_TRANSPORTATION,0.004198961530024531,0.19407217885291528,65611070063.582726,0.034973130165985904,1.1936781542500778,309486348151.84033,0.029618726583295275,0.04663669075003789
california,losangeles,461,CAR_TRUCK_VAN_ALONE,-0.006312259142862022,0.19407217885291528,65611070063.582726,0.034973130165985904,1.1936781542500778,309486348151.84033,0.029618726583295275,0.04663669075003789
california,losangeles,461,CAR_TRUCK_VAN_CARPOOL,0.00895162726884563,0.19407217885291528,65611070063.582726,0.034973130165985904,1.1936781542500778,309486348151.84033,0.029618726583295275,0.04663669075003789
california,sanfrancisco,90,constant,0.0,0.5613607740168289,5351433029916.428,0.024121536304714315,610627385529.8059,14303094855223.637,0.01990830853325208,0.03611195228523241
california,sanfrancisco,90,time,0.016530053396746694,0.5613607740168289,5351433029916.428,0.024121536304714315,610627385529.8059,14303094855223.637,0.01990830853325208,0.03611195228523241
california,sanfrancisco,90,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.028128969144295725,0.5613607740168289,5351433029916.428,0.024121536304714315,610627385529.8059,14303094855223.637,0.01990830853325208,0.03611195228523241
california,sanfrancisco,90,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.019432761014580437,0.5613607740168289,5351433029916.428,0.024121536304714315,610627385529.8059,14303094855223.637,0.01990830853325208,0.03611195228523241
california,sanfrancisco,90,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.007218520272255893,0.5613607740168289,5351433029916.428,0.024121536304714315,610627385529.8059,14303094855223.637,0.01990830853325208,0.03611195228523241
california,sanfrancisco,90,PUBLIC_TRANSPORTATION,0.009453917641010624,0.5613607740168289,5351433029916.428,0.024121536304714315,610627385529.8059,14303094855223.637,0.01990830853325208,0.03611195228523241
california,sanfrancisco,90,CAR_TRUCK_VAN_ALONE,-0.006016551678374064,0.5613607740168289,5351433029916.428,0.024121536304714315,610627385529.8059,14303094855223.637,0.01990830853325208,0.03611195228523241
california,sanfrancisco,90,CAR_TRUCK_VAN_CARPOOL,0.015109117121717225,0.5613607740168289,5351433029916.428,0.024121536304714315,610627385529.8059,14303094855223.637,0.01990830853325208,0.03611195228523241
california,santaclara,207,constant,0.0,0.13207839516312825,2263987797972.3027,0.04868726649839562,108721267382.21025,31198322139471.82,0.037845467609127714,0.06111970723944486
california,santaclara,207,time,0.0,0.13207839516312825,2263987797972.3027,0.04868726649839562,108721267382.21025,31198322139471.82,0.037845467609127714,0.06111970723944486
california,santaclara,207,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.013348966899734836,0.13207839516312825,2263987797972.3027,0.04868726649839562,108721267382.21025,31198322139471.82,0.037845467609127714,0.06111970723944486
california,santaclara,207,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.0,0.13207839516312825,2263987797972.3027,0.04868726649839562,108721267382.21025,31198322139471.82,0.037845467609127714,0.06111970723944486
