state,county,n,features,coef,R2,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,18,constant,0.0,0.9999786080101611,0.0005729758253303374,0.000662258419515284,0.00018069988548326127,0.0009880325436890218,0.0002095084907426496,0.0011407091637752346
california,imperial,18,time,0.005481401275833055,0.9999786080101611,0.0005729758253303374,0.000662258419515284,0.00018069988548326127,0.0009880325436890218,0.0002095084907426496,0.0011407091637752346
california,imperial,18,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.23606394918837126,0.9999786080101611,0.0005729758253303374,0.000662258419515284,0.00018069988548326127,0.0009880325436890218,0.0002095084907426496,0.0011407091637752346
california,imperial,18,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,7.650273472415643e-17,0.9999786080101611,0.0005729758253303374,0.000662258419515284,0.00018069988548326127,0.0009880325436890218,0.0002095084907426496,0.0011407091637752346
california,imperial,18,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,1.7382736899401913e-20,0.9999786080101611,0.0005729758253303374,0.000662258419515284,0.00018069988548326127,0.0009880325436890218,0.0002095084907426496,0.0011407091637752346
california,imperial,18,PUBLIC_TRANSPORTATION,-5.379110515299285e-19,0.9999786080101611,0.0005729758253303374,0.000662258419515284,0.00018069988548326127,0.0009880325436890218,0.0002095084907426496,0.0011407091637752346
california,imperial,18,CAR_TRUCK_VAN_ALONE,4.1315434251181064e-20,0.9999786080101611,0.0005729758253303374,0.000662258419515284,0.00018069988548326127,0.0009880325436890218,0.0002095084907426496,0.0011407091637752346
california,imperial,18,CAR_TRUCK_VAN_CARPOOL,-5.295296222325946e-19,0.9999786080101611,0.0005729758253303374,0.000662258419515284,0.00018069988548326127,0.0009880325436890218,0.0002095084907426496,0.0011407091637752346
california,sacramento,224,constant,0.0,0.5144843843303969,0.11482861616071813,0.14587139128330037,0.06285499664119469,0.14666490924262332,0.06263018424291739,0.22407904779477533
california,sacramento,224,time,-0.010591697522242049,0.5144843843303969,0.11482861616071813,0.14587139128330037,0.06285499664119469,0.14666490924262332,0.06263018424291739,0.22407904779477533
california,sacramento,224,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,0.4619840293394417,0.5144843843303969,0.11482861616071813,0.14587139128330037,0.06285499664119469,0.14666490924262332,0.06263018424291739,0.22407904779477533
california,sacramento,224,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.1723520582337778,0.5144843843303969,0.11482861616071813,0.14587139128330037,0.06285499664119469,0.14666490924262332,0.06263018424291739,0.22407904779477533
california,sacramento,224,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.24381024184022793,0.5144843843303969,0.11482861616071813,0.14587139128330037,0.06285499664119469,0.14666490924262332,0.06263018424291739,0.22407904779477533
california,sacramento,224,PUBLIC_TRANSPORTATION,-0.15948054030548203,0.5144843843303969,0.11482861616071813,0.14587139128330037,0.06285499664119469,0.14666490924262332,0.06263018424291739,0.22407904779477533
california,sacramento,224,CAR_TRUCK_VAN_ALONE,-0.06434202097254614,0.5144843843303969,0.11482861616071813,0.14587139128330037,0.06285499664119469,0.14666490924262332,0.06263018424291739,0.22407904779477533
california,sacramento,224,CAR_TRUCK_VAN_CARPOOL,-0.5237952814176736,0.5144843843303969,0.11482861616071813,0.14587139128330037,0.06285499664119469,0.14666490924262332,0.06263018424291739,0.22407904779477533
california,alameda,183,constant,0.0,0.975122914089055,0.04071000090555314,0.04810568238116506,0.031700702893840325,0.04873733841708707,0.038992893705751486,0.05569503910483867
california,alameda,183,time,0.0020103034449581256,0.975122914089055,0.04071000090555314,0.04810568238116506,0.031700702893840325,0.04873733841708707,0.038992893705751486,0.05569503910483867
california,alameda,183,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.43520622251324736,0.975122914089055,0.04071000090555314,0.04810568238116506,0.031700702893840325,0.04873733841708707,0.038992893705751486,0.05569503910483867
california,alameda,183,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.05173250758799,0.975122914089055,0.04071000090555314,0.04810568238116506,0.031700702893840325,0.04873733841708707,0.038992893705751486,0.05569503910483867
california,alameda,183,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.007725884294181585,0.975122914089055,0.04071000090555314,0.04810568238116506,0.031700702893840325,0.04873733841708707,0.038992893705751486,0.05569503910483867
california,alameda,183,PUBLIC_TRANSPORTATION,0.012392746879860094,0.975122914089055,0.04071000090555314,0.04810568238116506,0.031700702893840325,0.04873733841708707,0.038992893705751486,0.05569503910483867
california,alameda,183,CAR_TRUCK_VAN_ALONE,-0.026565526631511724,0.975122914089055,0.04071000090555314,0.04810568238116506,0.031700702893840325,0.04873733841708707,0.038992893705751486,0.05569503910483867
california,alameda,183,CAR_TRUCK_VAN_CARPOOL,-0.009225052882075715,0.975122914089055,0.04071000090555314,0.04810568238116506,0.031700702893840325,0.04873733841708707,0.038992893705751486,0.05569503910483867
california,losangeles,516,constant,0.0,0.7849556203300642,0.0647435236820955,0.05785430662806261,0.05211572827895018,0.09227506997747018,0.04681982601221155,0.06472509441615627
california,losangeles,516,time,-0.011815291161911453,0.7849556203300642,0.0647435236820955,0.05785430662806261,0.05211572827895018,0.09227506997747018,0.04681982601221155,0.06472509441615627
california,losangeles,516,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,0.4948352334057729,0.7849556203300642,0.0647435236820955,0.05785430662806261,0.05211572827895018,0.09227506997747018,0.04681982601221155,0.06472509441615627
