state,county,n,features,coef,lower_coef,upper_coef,R2,R2 Adjusted,nrmse,rmse,Durbin-Watson,JB,condition_number
california,,240,constant,5.27314461445439,5.062033867143856,5.484255361764924,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,time,2.469437142100676,2.258326394790142,2.6805478894112102,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.7279994511172538,-0.8528542506377865,-0.6031446515967211,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-1.0996513225021467,-1.1954344296422175,-1.003868215362076,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-1.1064602485534771,-1.2431753674642232,-0.969745129642731,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,PUBLIC_TRANSPORTATION,-1.0256479051692267,-1.197652218677005,-0.8536435916614484,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,CAR_TRUCK_VAN_ALONE,0.16577363621777705,0.21658245901063367,0.11496481342492032,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,CAR_TRUCK_VAN_CARPOOL,0.7945895276263232,0.8257082924343779,0.7634707628182684,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,alameda,92,constant,3.233528854700527,3.09418970441181,3.372868004989244,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
california,alameda,92,time,0.6704949487300651,0.5311557984413482,0.809834099018782,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
california,alameda,92,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.562107467693503,-0.5078972602912065,-0.6163176750957995,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
california,alameda,92,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.5958965449313987,-0.5524760240789554,-0.6393170657838422,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
