state,county,n,coef,lower_coef,upper_coef,vif,std_err,R2,R2 Adjusted,nrmse,rmse,Durbin-Watson,JB,condition_number
california,,240,5.27314461445439,5.062033867143856,5.484255361764924,0.9999999999999998,0.10770956495435417,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,2.469437142100676,2.258326394790142,2.6805478894112102,0.9999999999999998,0.10770956495435403,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,-1.2276693518760116,-1.3468185347741541,-1.108520168977869,98.57165007889789,0.06079039943782782,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,-1.6317461839368523,-1.8052856722137294,-1.4582066956599753,88.82834103139137,0.08854055524330465,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,,240,-0.7102886092743783,-0.8899467969554852,-0.5306304215932715,283.95680292045796,0.09166234065362594,0.850143762211252,0.847593017738252,0.3106175655691436,1.1846141072203475,0.067,20.82,1.7718186745015907
california,alameda,92,3.233528854700527,3.09418970441181,3.372868004989244,1.0,0.07109140320852911,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
california,alameda,92,0.6704949487300651,0.5311557984413482,0.809834099018782,1.0,0.07109140320852907,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
california,alameda,92,1.2912871997615216,1.2175224754754115,1.3650519240476318,575.8072002247351,0.03763506341128073,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
california,alameda,92,-0.17628130162253702,-0.2934393145241375,-0.059123288720936557,867.0480497834818,0.059774496378367584,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
california,alameda,92,-1.2794240549124658,-1.4175730199899979,-1.1412750898349338,1888.3273964181715,0.07048416585588371,0.9485623988591814,0.9461974516802931,0.21692058851694107,0.5055486204599235,0.175,4.377,1.8889672758521294
california,imperial,96,14.940478026047508,14.723976384261825,15.156979667833191,0.0,0.11046002131922629,0.9000425864675433,0.8989792097278363,0.07071926318232578,1.754753817208604,0.016,7.381,2342857782056669.5
california,imperial,96,6.427218577943387,5.994215294372021,6.860221861514754,0.9999999999999998,0.22092004263845227,0.9000425864675433,0.8989792097278363,0.07071926318232578,1.754753817208604,0.016,7.381,2342857782056669.5
california,imperial,96,14.940478026047494,14.72397638426181,15.156979667833177,0.0,0.11046002131922614,0.9000425864675433,0.8989792097278363,0.07071926318232578,1.754753817208604,0.016,7.381,2342857782056669.5
california,losangeles,192,4.801722489618457,4.575718242980285,5.0277267362566285,1.0,0.11530828910110782,0.6388456328966488,0.6330825312939357,0.3133426703500401,1.2795333013981984,0.037,11.818,2.1023962551295234
california,losangeles,192,1.3283095966292833,1.1023053499911115,1.554313843267455,1.0,0.11530828910110806,0.6388456328966488,0.6330825312939357,0.3133426703500401,1.2795333013981984,0.037,11.818,2.1023962551295234
california,losangeles,192,-0.6784738610608498,-0.785972267266034,-0.5709754548556657,1.7247316587782,0.05484612561488987,0.6388456328966488,0.6330825312939357,0.3133426703500401,1.2795333013981984,0.037,11.818,2.1023962551295234
california,losangeles,192,-0.67496798456421,-0.8683050985634493,-0.4816308705649708,1.7247316587782004,0.0986413846934894,0.6388456328966488,0.6330825312939357,0.3133426703500401,1.2795333013981984,0.037,11.818,2.1023962551295234
california,riverside,160,4.93095096380841,4.801908582101756,5.059993345515064,0.9999999999999998,0.0658379498503336,0.9194842082191008,0.9174063813344324,0.13455561349513062,0.5809400817970929,0.126,63.741,1.7381883829356473
california,riverside,160,1.8638267135404352,1.7337303007004163,1.993923126380454,1.0164029187224246,0.06637572083674431,0.9194842082191008,0.9174063813344324,0.13455561349513062,0.5809400817970929,0.126,63.741,1.7381883829356473
california,riverside,160,1.1664819112674214,1.0891299762527944,1.2438338462820484,317.3092257028714,0.03946527296664648,0.9194842082191008,0.9174063813344324,0.13455561349513062,0.5809400817970929,0.126,63.741,1.7381883829356473
california,riverside,160,-0.6487629794281217,-0.7383375718475127,-0.5591883870087306,123.73755458157561,0.04570132266295464,0.9194842082191008,0.9174063813344324,0.13455561349513062,0.5809400817970929,0.126,63.741,1.7381883829356473
california,riverside,160,-0.04225017528730504,-0.16427164425754784,0.07977129368293776,635.1495748580528,0.06225585151543,0.9194842082191008,0.9174063813344324,0.13455561349513062,0.5809400817970929,0.126,63.741,1.7381883829356473
california,sacramento,184,2.5518081203021796,2.474579443388844,2.629036797215515,0.9999999999999998,0.03940238618027323,0.8917656748272431,0.8893470306893044,0.26311792136432366,0.446298390612246,0.031,11.11,2.647218507116556
california,sacramento,184,1.3049874084531186,1.2277587315397829,1.3822160853664542,1.0,0.039402386180273266,0.8917656748272431,0.8893470306893044,0.26311792136432366,0.446298390612246,0.031,11.11,2.647218507116556
california,sacramento,184,0.3123090292694971,0.27177399329214,0.3528440652468542,9.271956410245483,0.020681140804774033,0.8917656748272431,0.8893470306893044,0.26311792136432366,0.446298390612246,0.031,11.11,2.647218507116556
california,sacramento,184,0.14034337963751564,0.08359598900845394,0.19709077026657734,6.161747734431419,0.028952750320949846,0.8917656748272431,0.8893470306893044,0.26311792136432366,0.446298390612246,0.031,11.11,2.647218507116556
