state,county,n,features,coef,lower_coef,upper_coef,vif,std_err,R2,R2 Adjusted,Durbin-Watson,JB,condition_number
california,,240,constant,0.154050184203259,0.14990841186036566,0.15819195654615234,0.9999999999999998,0.002113149154537416,0.8146109894502082,0.8098370235133037,0.165,145.684,19.513577571577656
california,,240,time,0.031310172839232334,0.02716114779073621,0.03545919788772846,1.0035052895959915,0.0021168495145388387,0.8146109894502082,0.8098370235133037,0.165,145.684,19.513577571577656
california,,240,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.19839517295913392,-0.2213975229885621,-0.17539282292970573,30.84409046811405,0.011735892872157237,0.8146109894502082,0.8098370235133037,0.165,145.684,19.513577571577656
california,,240,CAR_TRUCK_VAN_CARPOOL,0.17674433862432726,0.1615508844049698,0.1919377928436847,13.456762751948688,0.007751762356815028,0.8146109894502082,0.8098370235133037,0.165,145.684,19.513577571577656
california,,240,CAR_TRUCK_VAN_ALONE,-0.19706117651545213,-0.21689585569435607,-0.1772264973365482,22.93389992345543,0.01011973427495099,0.8146109894502082,0.8098370235133037,0.165,145.684,19.513577571577656
california,,240,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.3863410115331726,0.35294132916452103,0.4197406939018241,65.02977118590987,0.017040654269720183,0.8146109894502082,0.8098370235133037,0.165,145.684,19.513577571577656
california,,240,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.044463772624252294,-0.0540832901859915,-0.03484425506251309,5.394288081578711,0.0049079171233363285,0.8146109894502082,0.8098370235133037,0.165,145.684,19.513577571577656
california,alameda,43,constant,0.12801822161271792,0.12296961723998434,0.1330668259854515,0.9999999999999996,0.0025758185575171294,0.9487932631958143,0.943403080374321,0.443,0.81,88.3794303204877
california,alameda,43,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.2780266423482698,-0.4286953006790212,-0.12735798401751838,890.6419845593473,0.076871764454465,0.9487932631958143,0.943403080374321,0.443,0.81,88.3794303204877
california,alameda,43,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.27996321658457557,-0.40023783130045926,-0.15968860186869188,567.5514930698307,0.06136459934483862,0.9487932631958143,0.943403080374321,0.443,0.81,88.3794303204877
california,alameda,43,time,0.0399235647845224,0.03482154632514812,0.04502558324389668,1.0212718773006308,0.0026030706425378978,0.9487932631958143,0.943403080374321,0.443,0.81,88.3794303204877
