state,county,n,features,coef,lower_coef,upper_coef,R2,R2 Adjusted,nrmse,rmse,Durbin-Watson,JB,condition_number
california,,174,constant,0.1829490119625626,0.18101121423213673,0.18488680969298849,0.9376731212364044,0.9361979288396329,0.057225014592924825,0.009677814880031638,0.124,175.889,1.771569356749071
california,,174,time,0.03474071560674573,0.032802773967803976,0.03667865724568748,0.9376731212364044,0.9361979288396329,0.057225014592924825,0.009677814880031638,0.124,175.889,1.771569356749071
california,,174,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.012703702411261359,-0.013929242532274462,-0.011478162290248258,0.9376731212364044,0.9361979288396329,0.057225014592924825,0.009677814880031638,0.124,175.889,1.771569356749071
california,,174,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.0030311753192133993,-0.003831432588596413,-0.002230918049830387,0.9376731212364044,0.9361979288396329,0.057225014592924825,0.009677814880031638,0.124,175.889,1.771569356749071
california,,174,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.008589310478689483,-0.009842785805487423,-0.007335835151891541,0.9376731212364044,0.9361979288396329,0.057225014592924825,0.009677814880031638,0.124,175.889,1.771569356749071
california,,174,PUBLIC_TRANSPORTATION,0.006819290900023885,0.005235783050368356,0.008402798749679415,0.9376731212364044,0.9361979288396329,0.057225014592924825,0.009677814880031638,0.124,175.889,1.771569356749071
california,,174,CAR_TRUCK_VAN_ALONE,-0.011550164081249207,-0.01109262468725676,-0.012007703475241653,0.9376731212364044,0.9361979288396329,0.057225014592924825,0.009677814880031638,0.124,175.889,1.771569356749071
california,,174,CAR_TRUCK_VAN_CARPOOL,-0.010658142658676267,-0.010530491279237884,-0.01078579403811465,0.9376731212364044,0.9361979288396329,0.057225014592924825,0.009677814880031638,0.124,175.889,1.771569356749071
california,alameda,43,constant,0.12801822161271792,0.12296961723998434,0.1330668259854515,0.9487932631958143,0.943403080374321,0.1371661445934759,0.013178380553755139,0.443,0.81,1.952393425986509
california,alameda,43,time,0.03992356478452233,0.03482154632514805,0.04502558324389661,0.9487932631958143,0.943403080374321,0.1371661445934759,0.013178380553755139,0.443,0.81,1.952393425986509
california,alameda,43,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.036340780986043555,-0.03468376354895462,-0.0379977984231325,0.9487932631958143,0.943403080374321,0.1371661445934759,0.013178380553755139,0.443,0.81,1.952393425986509
california,alameda,43,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.0016550730455124338,-0.002853473680250023,-0.0004566724107748451,0.9487932631958143,0.943403080374321,0.1371661445934759,0.013178380553755139,0.443,0.81,1.952393425986509
california,alameda,43,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.020767770979817773,-0.020812511868365614,-0.020723030091269936,0.9487932631958143,0.943403080374321,0.1371661445934759,0.013178380553755139,0.443,0.81,1.952393425986509
california,alameda,43,PUBLIC_TRANSPORTATION,0.009232938572947939,0.00692528230715162,0.011540594838744256,0.9487932631958143,0.943403080374321,0.1371661445934759,0.013178380553755139,0.443,0.81,1.952393425986509
