state,county,n,features,coef,vif,R2,nrmse,rmse
california,,419,constant,0.0,1.0,0.8593122546941026,0.605442309910426,1.1442663266954969
california,,419,time,2.118462295855974,1.0000781149852394,0.8593122546941026,0.605442309910426,1.1442663266954969
california,,419,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-1.2402269473771699,4.688038913431514,0.8593122546941026,0.605442309910426,1.1442663266954969
california,,419,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,44.171677386242635,559.507476675229,0.8593122546941026,0.605442309910426,1.1442663266954969
california,,419,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-23.897160165669376,118.03764302406557,0.8593122546941026,0.605442309910426,1.1442663266954969
california,,419,PUBLIC_TRANSPORTATION,-5.662783387507111,12.828318186177903,0.8593122546941026,0.605442309910426,1.1442663266954969
california,,419,CAR_TRUCK_VAN_ALONE,-26.815876078102367,257.9273738067377,0.8593122546941026,0.605442309910426,1.1442663266954969
california,,419,CAR_TRUCK_VAN_CARPOOL,21.082706050448174,129.21691074444576,0.8593122546941026,0.605442309910426,1.1442663266954969
california,alameda,137,constant,0.0,1.0000000000000002,0.9492938881464973,0.21748638255816366,0.3859335060074365
california,alameda,137,time,0.5335578524708443,1.020414862150517,0.9492938881464973,0.21748638255816366,0.3859335060074365
california,alameda,137,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-6.550900809821408,36.18876021087134,0.9492938881464973,0.21748638255816366,0.3859335060074365
california,alameda,137,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,5.220380374387444,31.80895431848938,0.9492938881464973,0.21748638255816366,0.3859335060074365
california,alameda,137,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,5.693444954360498,50.85039469117527,0.9492938881464973,0.21748638255816366,0.3859335060074365
california,alameda,137,PUBLIC_TRANSPORTATION,-2.7041607807346013,9.55681043121869,0.9492938881464973,0.21748638255816366,0.3859335060074365
california,alameda,137,CAR_TRUCK_VAN_ALONE,-4.202658300733374,32.19940228350422,0.9492938881464973,0.21748638255816366,0.3859335060074365
california,alameda,137,CAR_TRUCK_VAN_CARPOOL,7.05571507272381,33.28953017076048,0.9492938881464973,0.21748638255816366,0.3859335060074365
california,imperial,181,constant,0.0,65536.0,0.9671767112376718,0.17728882243228117,1.726623611748575
california,imperial,181,time,4.98467712492251,1.0003836097478056,0.9671767112376718,0.17728882243228117,1.726623611748575
california,imperial,181,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-1.8470610345847362,inf,0.9671767112376718,0.17728882243228117,1.726623611748575
california,imperial,181,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-1.8470610341748004,inf,0.9671767112376718,0.17728882243228117,1.726623611748575
california,imperial,181,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-1.8470610343732088,inf,0.9671767112376718,0.17728882243228117,1.726623611748575
california,imperial,181,PUBLIC_TRANSPORTATION,1.8470610344167437,inf,0.9671767112376718,0.17728882243228117,1.726623611748575
california,imperial,181,CAR_TRUCK_VAN_ALONE,-1.8470610344610752,inf,0.9671767112376718,0.17728882243228117,1.726623611748575
california,imperial,181,CAR_TRUCK_VAN_CARPOOL,-1.847061034310304,inf,0.9671767112376718,0.17728882243228117,1.726623611748575
california,losangeles,280,constant,0.0,245.5254355214238,0.9327108673918769,0.31567691213261373,0.7893775762965595
california,losangeles,280,time,1.3930714938180384,1.0005798013300522,0.9327108673918769,0.31567691213261373,0.7893775762965595
california,losangeles,280,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,6.890286788213427,inf,0.9327108673918769,0.31567691213261373,0.7893775762965595
california,losangeles,280,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,2.8637787529004015,inf,0.9327108673918769,0.31567691213261373,0.7893775762965595
california,losangeles,280,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-8.191966881416931,inf,0.9327108673918769,0.31567691213261373,0.7893775762965595
california,losangeles,280,PUBLIC_TRANSPORTATION,4.1242938470714,inf,0.9327108673918769,0.31567691213261373,0.7893775762965595
california,losangeles,280,CAR_TRUCK_VAN_ALONE,2.8528125551610697,inf,0.9327108673918769,0.31567691213261373,0.7893775762965595
california,losangeles,280,CAR_TRUCK_VAN_CARPOOL,-2.1054154818316766,inf,0.9327108673918769,0.31567691213261373,0.7893775762965595
california,riverside,263,constant,0.0,1.0,0.8961412582944415,0.36024885245214994,0.7191785825030094
california,riverside,263,time,1.6065444111192693,1.0129946162554413,0.8961412582944415,0.36024885245214994,0.7191785825030094
california,riverside,263,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-7.9425101110213125,27.568068392565745,0.8961412582944415,0.36024885245214994,0.7191785825030094
california,riverside,263,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-25.790427091193227,350.38219459492615,0.8961412582944415,0.36024885245214994,0.7191785825030094
california,riverside,263,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,20.60204045135286,239.13269741729707,0.8961412582944415,0.36024885245214994,0.7191785825030094
california,riverside,263,PUBLIC_TRANSPORTATION,6.445095504575548,13.754043664873388,0.8961412582944415,0.36024885245214994,0.7191785825030094
california,riverside,263,CAR_TRUCK_VAN_ALONE,23.136027074934514,249.73566479789827,0.8961412582944415,0.36024885245214994,0.7191785825030094
