time,date,y,y_pred,std_pred,state,county,ethnicity
1,2020-06-14,1.3004484304932735,1.3696956057734537,0.06347684394241053,california,alameda,Hispanic
3,2020-06-16,1.3408071748878925,1.3690137809775555,0.06344112876594536,california,alameda,Hispanic
5,2020-06-18,1.3228699551569505,1.3683319561815428,0.06340615089441938,california,alameda,Hispanic
9,2020-06-22,1.3497757847533631,1.366968306589581,0.06333841201437403,california,alameda,Hispanic
11,2020-06-24,1.3632286995515694,1.3662864817935658,0.06330565337189596,california,alameda,Hispanic
12,2020-06-25,1.4080717488789238,1.3659455693955573,0.06328955226080214,california,alameda,Hispanic
15,2020-06-28,1.3991031390134527,1.3649228322015607,0.06324236345051343,california,alameda,Hispanic
62,2020-08-14,1.3632286995515694,1.3488999494958587,0.06272374513762723,california,alameda,Hispanic
69,2020-08-21,1.3766816143497758,1.346513562709883,0.06268234971736313,california,alameda,Hispanic
73,2020-08-25,1.3497757847533631,1.345149913117914,0.06266289841745736,california,alameda,Hispanic
74,2020-08-26,1.3497757847533631,1.3448090007199294,0.0626585136782896,california,alameda,Hispanic
75,2020-08-27,1.3632286995515694,1.3444680883219082,0.06265432030842402,california,alameda,Hispanic
78,2020-08-30,1.3408071748878925,1.3434453511279079,0.06264288847066944,california,alameda,Hispanic
81,2020-09-02,1.295964125560538,1.3424226139339668,0.06263317984427538,california,alameda,Hispanic
82,2020-09-03,1.3273542600896862,1.3420817015359325,0.0626303267228116,california,alameda,Hispanic
83,2020-09-04,1.3318385650224214,1.3417407891379873,0.0626276651798052,california,alameda,Hispanic
84,2020-09-05,1.3318385650224214,1.3413998767399402,0.06262519525215193,california,alameda,Hispanic
87,2020-09-08,1.3318385650224214,1.3403771395459592,0.0626189353115695,california,alameda,Hispanic
90,2020-09-11,1.3363228699551568,1.3393544023519492,0.06261440060773664,california,alameda,Hispanic
92,2020-09-13,1.3721973094170403,1.3386725775559734,0.06261233608371,california,alameda,Hispanic
94,2020-09-15,1.3991031390134527,1.3379907527600063,0.06261103857252963,california,alameda,Hispanic
98,2020-09-19,1.3632286995515694,1.3366271031680512,0.06261074470916556,california,alameda,Hispanic
101,2020-09-22,1.3542600896860986,1.3356043659740637,0.0626125378188606,california,alameda,Hispanic
102,2020-09-23,1.3721973094170403,1.3352634535760595,0.06261351905011811,california,alameda,Hispanic
104,2020-09-25,1.358744394618834,1.3345816287801227,0.06261605667284854,california,alameda,Hispanic
108,2020-09-29,1.3497757847533631,1.3332179791880978,0.06262343240261888,california,alameda,Hispanic
110,2020-10-01,1.3408071748878925,1.332536154392066,0.06262827024796487,california,alameda,Hispanic
112,2020-10-03,1.3408071748878925,1.3318543295960603,0.06263387448399775,california,alameda,Hispanic
113,2020-10-04,1.3318385650224214,1.3315134171980916,0.06263696395305597,california,alameda,Hispanic
116,2020-10-07,1.3363228699551568,1.3304906800041012,0.06264738136411362,california,alameda,Hispanic
120,2020-10-11,1.3273542600896862,1.329127030412129,0.06266395107267464,california,alameda,Hispanic
123,2020-10-14,1.3273542600896862,1.328104293218165,0.06267838688484002,california,alameda,Hispanic
125,2020-10-16,1.3408071748878925,1.3274224684221587,0.06268896655428688,california,alameda,Hispanic
126,2020-10-17,1.358744394618834,1.3270815560242069,0.06269454299455202,california,alameda,Hispanic
127,2020-10-18,1.3542600896860986,1.3267406436261864,0.06270031042165815,california,alameda,Hispanic
129,2020-10-20,1.3452914798206277,1.3260588188301838,0.06271241803707689,california,alameda,Hispanic
131,2020-10-22,1.3408071748878925,1.325376994034274,0.06272528902626205,california,alameda,Hispanic
138,2020-10-29,1.3363228699551568,1.3229906072482318,0.06277634164705838,california,alameda,Hispanic
140,2020-10-31,1.318385650224215,1.3223087824521897,0.06279264140961607,california,alameda,Hispanic
143,2020-11-03,1.3273542600896862,1.3212860452582487,0.0628185166267155,california,alameda,Hispanic
145,2020-11-05,1.3094170403587444,1.3206042204622963,0.06283671624498738,california,alameda,Hispanic
148,2020-11-08,1.295964125560538,1.3195814832683277,0.06286543822720209,california,alameda,Hispanic
151,2020-11-11,1.2869955156950672,1.3185587460743204,0.06289586520032459,california,alameda,Hispanic
155,2020-11-15,1.2825112107623318,1.3171950964823949,0.06293908240545755,california,alameda,Hispanic
156,2020-11-16,1.2690582959641254,1.316854184084384,0.06295035890519154,california,alameda,Hispanic
163,2020-11-23,1.2600896860986548,1.3144677972983956,0.06303457146297185,california,alameda,Hispanic
166,2020-11-26,1.2645739910313898,1.3134450601043965,0.06307348359503805,california,alameda,Hispanic
1,2020-06-14,0.9771241830065359,0.9398337471766967,0.06360502294444813,california,alameda,White
3,2020-06-16,0.9477124183006536,0.9391519223806412,0.0635676528808011,california,alameda,White
4,2020-06-17,0.9411764705882352,0.9388110099827187,0.06354924300220055,california,alameda,White
62,2020-08-14,0.8169934640522876,0.9190380908990237,0.06280016812001327,california,alameda,White
64,2020-08-16,0.8300653594771242,0.9183562661029429,0.06278565351836987,california,alameda,White
69,2020-08-21,0.823529411764706,0.9166517041129565,0.06275270073483498,california,alameda,White
73,2020-08-25,0.8104575163398693,0.9152880545209776,0.06272977138108912,california,alameda,White
74,2020-08-26,0.8267973856209151,0.9149471421229991,0.06272451628996158,california,alameda,White
