,White,Hispanic,Asian,Black,Native Hawaiian/Pacific Islander,Other,date,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy
0,1023,1361,569,63,31,158,2020-06-14,0.6106870229007634,1.702970297029703,0.4569687738004569,0.7072135785007072,1.9801980198019802,0.9167583425009168
1,1033,1375,575,63,31,159,2020-06-15,0.6106870229007634,1.702970297029703,0.4569687738004569,0.7072135785007072,1.9801980198019802,0.9167583425009168
2,1041,1385,579,64,32,161,2020-06-16,0.6106870229007634,1.702970297029703,0.4569687738004569,0.7072135785007072,1.9801980198019802,0.9167583425009168
3,518,1407,582,57,20,173,2020-06-17,0.3006537768615001,1.7116788321167884,0.45464470646952326,0.619134515119918,1.2165450121654504,0.97436244029918
4,520,1437,587,60,20,176,2020-06-18,0.29508367892171933,1.7091882247992871,0.4483176650884049,0.6371861858034926,1.1894142134998513,0.9746588693957107
5,523,1455,591,59,20,181,2020-06-19,0.2942907592701586,1.713949381989405,0.44596368904785666,0.6306230555789111,1.1771630370806367,0.986419026442571
6,533,1475,593,60,21,181,2020-06-20,0.2941514090569942,1.7061885482938117,0.4404502380210871,0.6300090886557035,1.2145748987854257,0.9746588693957109
7,541,1525,598,63,22,186,2020-06-21,0.29161295321064734,1.7197631801522422,0.43301309159781076,0.6343388779250079,1.2404849168311256,0.9710866773172956
8,552,1547,609,62,22,193,2020-06-22,0.29266320339722146,1.7171381031613964,0.4330389521737283,0.6239600665557395,1.2201885745978924,0.9962819169696595
9,560,1610,621,62,22,201,2020-06-23,0.2867459860682422,1.727931312047223,0.4272357639677203,0.6037027099543854,1.2342366514623013,1.003686809965318
10,572,1760,635,68,23,194,2020-06-24,0.28536311335638725,1.837160751565763,0.4248969541245126,0.6430808231434532,1.2526096033402914,0.9423567617722105
11,585,1794,635,69,24,197,2020-06-25,0.28714305908962395,1.8456790123456799,0.41943653054764096,0.6430041152263356,1.2345679012345678,0.9430727023319609
12,598,1840,645,75,24,211,2020-06-26,0.28693016340169836,1.8483935742971875,0.41576562660899985,0.6812966150315534,1.2048192771084338,0.9854231741781941
13,598,1840,645,75,24,211,2020-06-27,0.28693016340169836,1.8483935742971875,0.41576562660899985,0.6812966150315534,1.2048192771084338,0.9854231741781941
14,624,1927,668,80,23,228,2020-06-28,0.2861219833388968,1.8529553099471392,0.4115378454638434,0.6864831468387461,1.1532916866890914,1.014469539217257
15,624,1927,668,80,23,228,2020-06-29,0.2861219833388968,1.8529553099471392,0.4115378454638434,0.6864831468387461,1.1532916866890914,1.014469539217257
16,624,1927,668,80,23,228,2020-06-30,0.2861219833388968,1.8529553099471392,0.4115378454638434,0.6864831468387461,1.1532916866890914,1.014469539217257
17,752,2563,766,113,35,386,2020-07-06,0.26197782106914824,1.8714859437751004,0.3585437320377079,0.7367130861106764,1.2778386272362174,1.3048828309872487
