,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL
Hispanic,43321.0,363.59150894858396,69.76438452212273,2.8773556272935465,247.0783388597555,27.195106235524587
Non-Hispanic,48725.806122448965,613.2009608543007,159.72432990891724,1.7999435348992503,321.7151304360191,29.594680352067986
