,Hispanic,White,Asian,Black,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,Other,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy
0,24681,7116,3453,2399,62,311,9355,2020-06-14,1.072,0.286,0.629,0.573,0.143,3.5,5.472
1,25277,7134,3471,2416,62,313,9699,2020-06-15,1.076,0.281,0.621,0.562,0.143,3.0,5.583
2,26039,7193,3494,2442,62,316,9906,2020-06-16,1.084,0.277,0.612,0.551,0.143,3.0,5.556
3,26316,7273,3512,2467,64,316,10347,2020-06-17,1.076,0.277,0.603,0.551,0.143,3.0,5.722
4,26494,7313,3523,2478,62,314,10626,2020-06-18,1.072,0.275,0.595,0.551,0.143,3.0,5.806
5,26721,7368,3537,2506,63,316,11048,2020-06-19,1.066,0.273,0.595,0.551,0.143,3.0,5.944
6,27017,7440,3569,2535,64,317,11478,2020-06-20,1.06,0.271,0.586,0.539,0.143,3.0,6.083
7,27148,7491,3584,2547,64,319,11842,2020-06-21,1.053,0.269,0.586,0.539,0.143,3.0,6.194
8,27354,7581,3616,2579,65,329,12586,2020-06-22,1.041,0.267,0.578,0.539,0.143,3.0,6.472
9,27671,7679,3644,2618,70,338,13074,2020-06-23,1.033,0.265,0.569,0.539,0.143,3.0,6.583
10,27990,7762,3690,2654,72,345,13194,2020-06-24,1.033,0.265,0.569,0.539,0.143,3.0,6.583
11,28303,7837,3696,2677,73,349,13479,2020-06-25,1.033,0.265,0.569,0.528,0.143,3.0,6.639
12,28615,7885,3721,2703,76,351,13869,2020-06-26,1.029,0.263,0.56,0.528,0.143,3.0,6.722
13,28971,7971,3750,2744,79,353,14384,2020-06-27,1.023,0.261,0.552,0.528,0.143,3.0,6.861
14,29163,8062,3794,2791,82,356,15375,2020-06-28,1.006,0.258,0.552,0.528,0.143,3.0,7.167
15,29462,8127,3807,2818,82,359,16825,2020-06-29,0.986,0.252,0.534,0.517,0.143,3.0,7.611
16,29802,8225,3834,2856,81,359,17090,2020-06-30,0.986,0.252,0.534,0.517,0.143,3.0,7.639
17,32574,9183,4089,3232,91,413,19192,2020-07-06,0.975,0.256,0.509,0.528,0.143,3.0,7.75
18,32574,9183,4089,3232,91,413,19192,2020-07-07,0.975,0.256,0.509,0.528,0.143,3.0,7.75
19,33162,9351,4132,3310,96,422,19393,2020-07-08,0.977,0.256,0.509,0.528,0.143,3.0,7.722
20,33694,9492,4158,3358,99,428,19512,2020-07-09,0.979,0.256,0.509,0.528,0.143,3.0,7.667
21,34231,9655,4192,3407,101,430,19612,2020-07-10,0.984,0.258,0.509,0.539,0.143,3.0,7.611
22,35218,9892,4264,3476,105,434,20009,2020-07-11,0.988,0.258,0.5,0.528,0.143,3.0,7.583
23,36342,10097,4328,3554,112,453,20700,2020-07-12,0.99,0.256,0.491,0.528,0.143,3.0,7.611
24,37344,10248,4380,3620,111,460,20964,2020-07-13,0.996,0.254,0.491,0.528,0.143,3.0,7.556
25,38934,10549,4474,3737,115,472,21440,2020-07-14,1.004,0.252,0.483,0.528,0.143,3.0,7.472
26,40183,10720,4538,3818,120,478,21448,2020-07-15,1.016,0.252,0.483,0.528,0.143,3.0,7.333
27,41682,10913,4605,3900,123,481,21722,2020-07-16,1.029,0.25,0.474,0.528,0.143,3.0,7.222
28,43150,11083,4661,3983,127,489,21791,2020-07-17,1.041,0.248,0.474,0.528,0.143,3.0,7.111
29,44409,11277,4758,4094,134,500,22132,2020-07-18,1.047,0.246,0.466,0.528,0.286,3.0,7.056
30,45434,11432,4831,4162,139,505,22584,2020-07-19,1.049,0.244,0.466,0.528,0.286,3.0,7.056
31,47038,11636,4922,4250,140,514,23116,2020-07-20,1.056,0.242,0.466,0.517,0.286,3.0,7.0
32,47927,11801,4970,4308,142,519,23214,2020-07-21,1.062,0.242,0.466,0.517,0.286,3.0,6.944
33,49160,12060,5050,4391,150,530,23333,2020-07-22,1.068,0.242,0.457,0.517,0.286,3.0,6.833
34,49937,12205,5125,4451,153,547,23534,2020-07-23,1.07,0.242,0.457,0.517,0.286,3.0,6.806
