state,county,n,nrmse,rmse
california,imperial,17,1.6203764412225448e-10,7.701824472301368e-11
california,sacramento,215,1.6465798463801436e-09,2.813465050403314e-10
california,alameda,183,8.202027398428003e-10,1.545343676945315e-10
california,losangeles,461,9.494127909549744e-10,4.130457274112762e-10
california,sanfrancisco,90,6.75046602390627e-10,8.024628631339879e-11
california,santaclara,207,3.220362162122046e-10,7.184218685598737e-11
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.13221558843594441,0.022885529517439013
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.13218754297143992,0.022884249378685193
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.13218754297143992,0.022884249378685193
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.15391359120247583,0.03173941459390381
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.06127393798146794,0.011646616022209441
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.15391359120247583,0.03173941459390381
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.09483960861786024,0.021338460909177053
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.1494414937333322,0.025905070989611003
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.10820276972282601,0.018713049769945807
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.0715929793139493,0.013180143052549274
california,"alameda,losangeles,sacramento,sanfrancisco",949,0.0715929793139493,0.013180143052549274
california,"santaclara,sanfrancisco,losangeles",758,0.06632057685594954,0.016086297312221918
california,"santaclara,sanfrancisco,losangeles",758,0.03556761131089263,0.008534706382200311
california,"santaclara,sanfrancisco,losangeles",758,2.2297472755668007e-09,9.293040591119517e-10
california,"santaclara,sanfrancisco,losangeles",758,0.14991707263061116,0.029546244490406687
