state,county,n,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,17,2.409705707385545e-12,2.7843609770758015e-12,1.2891456224098359e-12,3.3011090397177355e-12,1.493787038508998e-12,3.812386517587641e-12
california,sacramento,215,1.8314002790926626e-10,1.7971272325575873e-10,7.643743429535223e-11,1.4153320471835543e-10,6.700808067814305e-11,1.426518940096616e-10
california,alameda,183,3.6803111193831584e-10,4.921111126370875e-10,2.9094007487077364e-11,5.518728457346333e-10,3.030512379504229e-11,4.694204622692863e-10
california,losangeles,461,2.736312491500302e-10,2.701108059805368e-10,1.2256227906528677e-10,2.244196962968043e-10,1.350218323138757e-10,2.4439914507637986e-10
california,sanfrancisco,90,1.0833582869152796e-09,1.2849393721876053e-09,5.782685147966716e-10,2.3472745532870326e-09,5.310330191009447e-10,2.8156397602958136e-09
california,santaclara,207,6.772357819952014e-10,9.351226159491465e-10,1.0860797632768716e-10,2.509637670587045e-10,1.4105805606631532e-10,3.433660995770351e-10
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,3.4733838353292384e-10,4.119112560392148e-10
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,3.4733847378564255e-10,4.1191130880228923e-10
california,None,450,4.455232235612397e-09,4.501393069153734e-09
california,None,450,4.455232577644373e-09,4.5013932724479056e-09
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,3.4733847378564255e-10,4.1191130880228923e-10
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,3.4733847378564255e-10,4.1191130880228923e-10
california,None,450,4.455232513082664e-09,4.501393256411351e-09
california,None,450,4.4552357565138785e-09,4.501396477785136e-09
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,3.473385943826079e-10,4.1191141432843814e-10
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,3.4733847378564255e-10,4.1191130880228923e-10
california,None,450,4.4552348023883314e-09,4.5013954304747495e-09
california,None,450,4.45523214665739e-09,4.5013929245780246e-09
