state,county,n,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,105,2.4264749167173868e-11,2.7178452081481434e-11,1.821688394270805e-11,2.8479513128755633e-11,2.0123060269387868e-11,3.199888879509197e-11
california,riverside,375,5.171851375524242e-09,3.4376346801738105e-09,2.6405630777204808e-09,8.675976985170909e-09,1.691395709661454e-09,1.1448995103677176e-08
california,sonoma,110,3.844727667807103e-08,2.726538101253824e-08,2.708161611384643e-08,6.140591243494115e-08,1.474910365476231e-08,2.2346684681545152e-08
california,sacramento,424,1.0394352304994094e-09,9.318783915383638e-10,5.0662368944172165e-11,1.9079955569682798e-09,4.3149954521431685e-11,1.9255686971282787e-09
california,alameda,467,5.1343408415521915e-08,3.5569499547391544e-08,2.720632941506337e-08,2.1873247999760758e-07,1.6337775029382142e-08,8.814302998315566e-08
california,losangeles,508,5.137849633677306e-08,3.259647649285458e-08,8.97465926177945e-09,5.110141105402451e-08,1.0140514627353981e-08,2.9766415359240192e-08
california,sanfrancisco,453,3.074198708915385e-08,3.730516920981539e-08,8.15624802470266e-08,1.2822991061984844e-07,4.557454442245308e-08,5.623067227297306e-08
california,santaclara,456,1.7071037544238388e-08,1.0806361244681973e-08,2.535017986451186e-09,4.1395044956777794e-08,1.7334368375396891e-09,2.1010546324230653e-08
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,1.6944315019066573e-08,1.588275785385767e-08
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,1.6944321745277217e-08,1.5882764309798818e-08
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,1.694432028354976e-08,1.5882762567196433e-08
california,None,460,7.021832441891956e-08,5.710397031682244e-08
california,None,460,7.02183784961722e-08,5.710401140279764e-08
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,1.6944319629460834e-08,1.5882762198423282e-08
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,1.6944321581747243e-08,1.5882762969609227e-08
california,None,460,7.02206646250367e-08,5.710589209694878e-08
california,None,460,7.02178204504323e-08,5.710356768671927e-08
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,1.6944357893403323e-08,1.5882796732099902e-08
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,1.6944357893403323e-08,1.5882796732099902e-08
california,None,460,7.021835597369717e-08,5.7103996083288695e-08
california,None,460,7.021818370826234e-08,5.710385414851558e-08
