state,county,n,nrmse,rmse
california,imperial,17,0.06534278153732169,0.029370255515183748
california,sacramento,215,0.16298136209752664,0.016790832266587185
california,alameda,183,0.15658676916175496,0.02330969228888226
california,losangeles,461,0.05955077492410489,0.027013845031002605
california,sanfrancisco,90,0.17639038826497155,0.01596449473385955
california,santaclara,207,0.13240768538597367,0.020074129444944976
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,0.43618377963474925,0.05127710370752918
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,0.4361837796348189,0.051277103707537124
california,None,450,0.10314984084231475,0.024654461801907453
california,None,450,0.10314984084229578,0.024654461801906714
california,None,450,0.1031498408538382,0.024654461802713534
california,None,450,0.10314984083001955,0.02465446180104291
california,None,450,0.1031498409027466,0.024654461806156703
