state,county,n,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,199,1.010330789045951e-08,1.474601145121311e-07,2.150278144470449e-09,1.8072054242215125e-08,5.928157668369543e-08,1.9066548460078382e-07
california,riverside,597,2.568172547246046e-08,1.62659162559354e-07,1.251290220339032e-09,3.8165974692960484e-08,3.7585644944629705e-09,1.0918742791904747e-07
california,sonoma,191,5.957973600406537e-08,1.5052286904716952e-07,5.745944415327051e-09,1.6565251022081077e-07,3.7519523146327904e-08,4.217665994628963e-07
california,sacramento,515,4.433055712967601e-08,7.556967877483917e-08,9.081975391990058e-11,8.683136006358371e-09,2.799414748433112e-10,2.631911881380845e-08
california,alameda,686,1.1183702439448272e-08,1.3360664317098092e-07,1.5292329803817624e-09,6.185165566083492e-09,2.4123095634421623e-08,3.273405513178698e-08
california,losangeles,719,2.968521590158028e-08,1.9285935184598291e-07,2.7988465957771204e-09,1.3127560056024908e-07,1.4644789844527657e-08,3.319746976310583e-07
california,sanfrancisco,654,3.299422341068118e-08,3.301091184254403e-07,1.415445837145601e-10,1.0108309288945387e-07,8.534845044772588e-10,4.511291510693371e-07
california,santaclara,527,2.8349509799842232e-08,2.1580980648743174e-07,3.2507681974151195e-09,2.2526348133849408e-07,2.495031281273635e-08,6.50950544628086e-07
