state,county,n,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,105,3867.3410036296427,2.708033754910979e-10,377.71201163241426,792.6806740593471,1.1815889975854186e-10,1.7230676885304773e-10
california,riverside,375,1.8630714569828125e-09,9.23882621822747e-10,3.7395889555877644e-10,1.9319706006804434e-09,3.209987835699907e-10,7.606102602578932e-10
california,sonoma,110,7.885305895927413e-08,5.367514525774068e-09,3.497209094521222e-08,1.6041671266926372e-07,3.2016352635722e-09,6.468462866953734e-09
california,sacramento,424,3.157175606527284e-09,1.1598521539821268e-09,4.894096802843609e-10,8.430107340967565e-09,6.163919539556267e-10,2.2363199862135904e-09
california,alameda,467,4.295047989303833e-09,4.084235754683034e-09,6.717204671126152e-10,5.60265369333088e-09,1.8784296411282133e-09,4.763579724816963e-09
california,losangeles,508,1.942847195661882e-09,1.1021471687543357e-09,1.0878904533458864e-10,1.2680269703253142e-09,3.517835543855304e-10,1.1572886114744673e-09
california,sanfrancisco,453,2.6730733083932846e-09,7.270954025243387e-09,8.028053714528856e-10,1.6806393149895643e-09,4.373765759318903e-09,5.132674548344416e-09
california,santaclara,456,2.0815037489265874e-09,1.0205868512875625e-08,1.0953948561025079e-10,1.3269291008465098e-09,6.943902814956318e-10,6.571566393478464e-09
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,652.3139334027205,2.954078128683072e-09
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",1934,652.3139334027205,2.954078128683072e-09
california,None,460,1.5132539258055135e-08,6.677764823119424e-09
california,None,460,1.513253974156558e-08,6.677766099393197e-09
