state,county,n,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,17,673.6891452614086,1.320819475034315e-12,2.171433401760374e-09,3.588993871982515e-09,1.4171145762409888e-24,6.980607524783895e-24
california,sacramento,215,1.3638763397122522,2.5657284729217028e-12,0.43202979954821147,1.5071048911296774,1.9627852239027005e-12,2.2609422824158018e-12
california,alameda,183,1181.2809325006895,1.450514983854258e-11,117.42719311928616,691.4908265596251,6.319027938840852e-12,1.2429798620946696e-11
california,losangeles,461,12.656330112660173,5.499765946398978e-12,1.1266671220329991e-10,4.197472208609531,3.390684937752618e-12,4.095856344329276e-12
california,sanfrancisco,90,835.5909428909183,4.975846651667411e-12,54.55928758085154,2450.6852707924063,2.6726164922656617e-12,5.826808468352506e-12
california,santaclara,207,833.5740433331339,6.095936147358649e-12,52.694792037328966,3977.454472661376,4.787826257408748e-12,5.943388064249022e-12
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,337.8020997017066,6.174867521345505e-12
california,"alameda,imperial,riverside,sacramento,sanfrancisco,sonoma",505,337.8020997017066,6.174867521345505e-12
california,None,450,5.726508467624935e-09,1.2070564151174756e-11
california,None,450,5.726525716796708e-09,1.2070563827359707e-11
