state,county,n,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,199,1.7188368252800612e-08,8.97493986917797e-09,4.8197777315817175e-09,2.5057447043579346e-08,4.298616542265275e-09,2.2964742696461186e-08
california,riverside,597,6.350058479587849e-09,3.9586553059866355e-09,5.258091267708974e-09,4.662051913405016e-08,2.8218506423876052e-09,2.2980467562785096e-08
california,sonoma,191,2.371806364049302e-08,1.692671907670191e-08,7.424097708213019e-09,1.93732293607594e-08,5.049183902854593e-09,9.696097251970192e-09
california,sacramento,515,1.843914783637419e-09,1.6988542451981265e-09,5.780600976202125e-10,1.2395756378591054e-09,7.076819583863531e-10,1.0640031788620958e-09
california,alameda,686,3.325131884112104e-08,2.2786895449140756e-08,7.622681618199362e-11,1.0687022274099315e-08,4.7604877539154805e-11,8.72966098548824e-09
california,losangeles,719,2.6192695316305105e-08,1.635625910156714e-08,4.927738562310771e-10,1.4914227371567053e-08,3.343569690287024e-10,8.80314257070645e-09
california,sanfrancisco,654,1.871900038157001e-08,1.9840327404770628e-08,4.1918935513213205e-09,2.660370676303119e-08,7.04455157484786e-09,1.5737944941560306e-08
california,santaclara,527,1.2162546545034656e-08,7.88546029316676e-09,1.858349119421975e-10,4.203452033038212e-09,1.87995486657865e-10,4.4922769312645746e-09
