state,county,n,features,coef,lower_coef,upper_coef,std_err,R2,R2 Adjusted,Durbin-Watson,JB,condition_number,nrmse,rmse,low_nrmse,up_nrmse,low_rmse,up_rmse
california,imperial,17,constant,3.4281995502061005e-12,-2.1561865173502187e-12,9.01258561776242e-12,2.849176565079755e-12,0.11357401234630682,0.05447894650272733,1.158,93.363,1.0845397744088366e+21,6349406901605.572,0.012929890089114297,0.07326427987924297,31067800102952.293,1.5913040817652892e-16,0.02965242955501598
california,imperial,17,time,-0.007122959468174651,-0.017193497419617256,0.0029475784832679553,0.005138029567062555,0.11357401234630682,0.05447894650272733,1.158,93.363,1.0845397744088366e+21,6349406901605.572,0.012929890089114297,0.07326427987924297,31067800102952.293,1.5913040817652892e-16,0.02965242955501598
california,imperial,17,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,1.4851301450873376e-07,-9.34081642980112e-08,3.9043419331547874e-07,1.2342917286058418e-07,0.11357401234630682,0.05447894650272733,1.158,93.363,1.0845397744088366e+21,6349406901605.572,0.012929890089114297,0.07326427987924297,31067800102952.293,1.5913040817652892e-16,0.02965242955501598
california,imperial,17,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,1.246464071004669e-09,-7.839711886890888e-10,3.2768993306984265e-09,1.0359363569866112e-09,0.11357401234630682,0.05447894650272733,1.158,93.363,1.0845397744088366e+21,6349406901605.572,0.012929890089114297,0.07326427987924297,31067800102952.293,1.5913040817652892e-16,0.02965242955501598
california,imperial,17,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,2.391661726418572e-10,-1.5042505180545708e-10,6.287573970891715e-10,1.987710328812828e-10,0.11357401234630682,0.05447894650272733,1.158,93.363,1.0845397744088366e+21,6349406901605.572,0.012929890089114297,0.07326427987924297,31067800102952.293,1.5913040817652892e-16,0.02965242955501598
california,imperial,17,PUBLIC_TRANSPORTATION,9.864146932331904e-12,-6.204116458285579e-12,2.5932410322949386e-11,8.198093566641573e-12,0.11357401234630682,0.05447894650272733,1.158,93.363,1.0845397744088366e+21,6349406901605.572,0.012929890089114297,0.07326427987924297,31067800102952.293,1.5913040817652892e-16,0.02965242955501598
california,imperial,17,CAR_TRUCK_VAN_ALONE,8.470337813438837e-10,-5.327470138910478e-10,2.2268145765788155e-09,7.0396979348721e-10,0.11357401234630682,0.05447894650272733,1.158,93.363,1.0845397744088366e+21,6349406901605.572,0.012929890089114297,0.07326427987924297,31067800102952.293,1.5913040817652892e-16,0.02965242955501598
california,imperial,17,CAR_TRUCK_VAN_CARPOOL,9.323024437868722e-11,-5.863772436193504e-11,2.4509821311930946e-10,7.748365752072565e-11,0.11357401234630682,0.05447894650272733,1.158,93.363,1.0845397744088366e+21,6349406901605.572,0.012929890089114297,0.07326427987924297,31067800102952.293,1.5913040817652892e-16,0.02965242955501598
california,sacramento,215,constant,-0.011094266157002751,-0.020523841545060657,-0.001664690768944847,0.004811007851049951,0.6187787546635366,0.6115173976095087,1.753,5830.672,2.3199321413045e+16,18535926988.659035,0.023411019363543666,2969357148.572542,59410635676.62732,0.016002076851621663,0.03166488589917915
california,sacramento,215,time,0.004341801198570682,-0.0022442197061120573,0.01092782210325342,0.003360214747287112,0.6187787546635366,0.6115173976095087,1.753,5830.672,2.3199321413045e+16,18535926988.659035,0.023411019363543666,2969357148.572542,59410635676.62732,0.016002076851621663,0.03166488589917915
california,sacramento,215,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.010031591638943424,-0.012102091913116116,-0.007961091364770731,0.0010563776909044348,0.6187787546635366,0.6115173976095087,1.753,5830.672,2.3199321413045e+16,18535926988.659035,0.023411019363543666,2969357148.572542,59410635676.62732,0.016002076851621663,0.03166488589917915
california,sacramento,215,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.009916139544572523,0.008539316034192857,0.01129296305495219,0.0007024609746835037,0.6187787546635366,0.6115173976095087,1.753,5830.672,2.3199321413045e+16,18535926988.659035,0.023411019363543666,2969357148.572542,59410635676.62732,0.016002076851621663,0.03166488589917915
california,sacramento,215,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.004579479675918506,-0.007122282987622165,-0.0020366763642148474,0.001297348628420234,0.6187787546635366,0.6115173976095087,1.753,5830.672,2.3199321413045e+16,18535926988.659035,0.023411019363543666,2969357148.572542,59410635676.62732,0.016002076851621663,0.03166488589917915
california,sacramento,215,PUBLIC_TRANSPORTATION,0.003774012286526489,0.0013304434421081727,0.006217581130944805,0.0012467187981726104,0.6187787546635366,0.6115173976095087,1.753,5830.672,2.3199321413045e+16,18535926988.659035,0.023411019363543666,2969357148.572542,59410635676.62732,0.016002076851621663,0.03166488589917915
california,sacramento,215,CAR_TRUCK_VAN_ALONE,0.012463343845516194,0.009370460721642134,0.015556226969390253,0.0015780015938132957,0.6187787546635366,0.6115173976095087,1.753,5830.672,2.3199321413045e+16,18535926988.659035,0.023411019363543666,2969357148.572542,59410635676.62732,0.016002076851621663,0.03166488589917915
