,Hispanic,White,Asian,Black,Multi-Race,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,Other,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Multi-Race_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy
0,1985,1632,722,470,35,14,23,35,2020-06-13,1.0274390938245992,0.9070415771852365,1.0128784265312423,1.7382942525334715,0.23115615060285524,0.8136696501220504,1.2996112467227197,2.8478437754271764
1,1992,1639,724,471,36,14,23,36,2020-06-14,1.02709266262945,0.9074249395142315,1.0117737483841667,1.7352859906051397,0.23684522164765323,0.8105369807497468,1.2946076775864008,2.917933130699088
2,2004,1646,726,474,36,14,23,36,2020-06-15,1.0282792178304847,0.9068900503252353,1.0096585101278763,1.7378870373425728,0.2356989652815424,0.8066142367412785,1.2883421836839866,2.903811252268602
3,2057,1687,745,484,35,15,21,39,2020-06-17,1.029725888670462,0.9068049611423056,1.0108068137876762,1.7312610662994294,0.2235616046357734,0.8431466231977741,1.1476162371303036,3.0690537084398977
4,2085,1712,758,491,36,15,22,47,2020-06-18,1.0269731923055327,0.9054579226510454,1.0119214492637538,1.728082215887094,0.2262545816552785,0.8296001327360212,1.1829483374198821,3.6391792489353465
5,2115,1739,765,495,36,15,22,45,2020-06-19,1.0286084459696057,0.9081357263414717,1.0083834229674153,1.7201834862385321,0.22340045275825093,0.8191349934469201,1.1680258239891266,3.4403669724770642
6,2182,1784,774,502,37,16,22,47,2020-06-21,1.0350788310724783,0.9087093474814897,0.9951400138856747,1.7015795539285472,0.22395576086851254,0.8522424629807179,1.1392824591929738,3.5048471290082026
7,2192,1787,778,506,37,16,22,47,2020-06-22,1.0357675287824768,0.9066877736680011,0.996382031825313,1.7084493964716805,0.22308239578434563,0.8489189547685368,1.1348395749509954,3.491179201485608
8,2225,1783,785,511,37,18,22,50,2020-06-23,1.042455829155311,0.8969958938415673,0.9968317259157202,1.710717932408229,0.22119291130522947,0.9469447878580636,1.1252276028560322,3.6825630638924687
9,2265,1807,805,519,38,18,24,51,2020-06-24,1.042764389112711,0.8932799837064149,1.004473337783795,1.7073210849219533,0.22322530012054165,0.9304970405024684,1.2061998673180145,3.6909715939931247
10,2309,1844,813,527,37,17,24,52,2020-06-25,1.0448724997612948,0.8960077122746254,0.9971361464919328,1.70404022440302,0.21364017451515227,0.8637991920936967,1.1856067342462504,3.6990930108483018
11,2336,1864,823,534,37,18,22,57,2020-06-26,1.044459735764206,0.8949035626187644,0.9973400226613105,1.7060430344563187,0.21108745410274138,0.9036825062128172,1.073820262012144,4.0063257775434895
12,2348,1868,831,533,34,18,22,57,2020-06-27,1.0461486092416625,0.8936832667855055,1.003508051612436,1.6968847996689005,0.19329296163475815,0.9005177977336969,1.0700597287884979,3.992295569952723
13,2415,1871,848,551,27,22,23,54,2020-06-29,1.0574837666389487,0.8797146546073822,1.006414706946991,1.7240030662849455,0.15085585555384212,1.081692356860142,1.0994474081722403,3.71708828084667
14,2500,1923,859,561,28,22,23,67,2020-07-01,1.0632330194244166,0.8781712118762725,0.9901617802163603,1.7048303526658868,0.15194566423047118,1.0505957355364008,1.067840362508589,4.47935818151429
15,2546,1957,875,570,34,23,25,68,2020-07-02,1.0623764351053238,0.8768439710592204,0.9895839223713824,1.6995139986284624,0.18102592717220461,1.0776366958721828,1.1388068947924639,4.460478845523122
16,2588,1971,880,572,34,23,25,70,2020-07-04,1.0685123690215639,0.8738026775335622,0.9847420926888495,1.687489858834983,0.17911668082039653,1.0662710646484783,1.1267961130041286,4.543241927632646
17,2625,1992,883,575,34,23,25,70,2020-07-05,1.0726496407543118,0.8740361250714103,0.9779436602559489,1.6789056455027227,0.17727575138848625,1.0553121200302829,1.1152151026890067,4.496547294042075
18,2660,2006,886,577,34,23,25,71,2020-07-06,1.0774351857927613,0.8724728298216954,0.9726750760245475,1.6699950797372,0.17572367142567716,1.0460726793105015,1.1054512009621849,4.520853231454951
19,2660,2006,886,577,34,23,25,71,2020-07-07,1.0774351857927613,0.8724728298216954,0.9726750760245475,1.6699950797372,0.17572367142567716,1.0460726793105015,1.1054512009621849,4.520853231454951
20,2715,2026,892,582,33,23,28,76,2020-07-08,1.08367010926508,0.8683167255973429,0.9649763353617309,1.659893048128342,0.16806722689075632,1.0308123249299719,1.2200435729847494,4.768627450980392
21,2808,2055,903,593,34,23,29,75,2020-07-09,1.0958647496838851,0.8611586040430455,0.9551512587264651,1.6536530953708868,0.169309218388973,1.0078878177037687,1.2355146557600547,4.601226993865031
22,2941,2103,922,608,38,24,33,81,2020-07-10,1.1086608236735462,0.851244687310261,0.9420178799489145,1.6377104377104377,0.18278018278018276,1.0158730158730158,1.3580246913580247,4.8
23,2941,2103,922,608,38,24,33,81,2020-07-11,1.1086608236735462,0.851244687310261,0.9420178799489145,1.6377104377104377,0.18278018278018276,1.0158730158730158,1.3580246913580247,4.8
24,3020,2140,933,613,40,25,33,84,2020-07-12,1.1156327484757944,0.8488668024853551,0.9341583563618888,1.618097349804667,0.18854548471273208,1.0370001659200265,1.3308168795973674,4.878048780487805
25,3029,2147,934,615,40,25,34,84,2020-07-13,1.1157178828691445,0.8491777965517132,0.932452129465088,1.618676633152603,0.18799960896081336,1.0339978492844735,1.367174934053915,4.863925883034163
26,3037,2150,936,616,40,25,34,86,2020-07-14,1.1160796315650985,0.848399326962841,0.9322894878384032,1.6175621028307337,0.18756517889966765,1.031608483948172,1.3640156621092496,4.968226458694396
27,3091,2190,949,621,41,25,34,87,2020-07-15,1.1175248577876407,0.8501856432760798,0.9299271932661121,1.6042780748663104,0.18914021471566228,1.0148987131084317,1.3419216317767042,4.94458653026428
28,3141,2217,962,628,41,25,35,91,2020-07-16,1.1193790493296554,0.8483721357395417,0.9291992659132619,1.5991851285968934,0.1864382116482957,1.0004001600640255,1.3616557734204793,5.098039215686274
29,3283,2269,987,641,41,25,39,91,2020-07-17,1.1325501040442008,0.8404899067126583,0.922843892587329,1.5800631039242752,0.18047299771811703,0.9683916950728231,1.4687274041937817,4.934924078091106
30,3283,2269,987,641,41,25,39,91,2020-07-18,1.1325501040442008,0.8404899067126583,0.922843892587329,1.5800631039242752,0.18047299771811703,0.9683916950728231,1.4687274041937817,4.934924078091106
31,3359,2298,993,654,41,25,40,91,2020-07-19,1.1394579111249967,0.8370468636968623,0.9129817173802115,1.5852431796972526,0.17746551542045474,0.952253985182928,1.4812839769512214,4.852686308492201
32,3373,2308,997,654,41,25,41,91,2020-07-20,1.1398004251019669,0.8374516505925298,0.913129092824106,1.579137993480623,0.17678204929200944,0.9485866059571239,1.5124686439427475,4.833997343957503
33,3386,2318,998,654,41,25,41,92,2020-07-21,1.1404071583620035,0.8382969335980587,0.9110203336452224,1.5739125203056374,0.17619706567423313,0.9454476694714947,1.5074637841017724,4.8709463931171415
34,3455,2347,1008,660,41,27,41,93,2020-07-22,1.145900495373945,0.8358404986979835,0.9061162849232319,1.5641293013555788,0.1735100144902022,1.0055116937285864,1.4844745684161744,4.848800834202295
35,3532,2384,1021,672,42,28,40,97,2020-07-23,1.1498563656204666,0.8333752817535559,0.9008929516817845,1.5632269470549922,0.1744672931981018,1.0235414534288638,1.4215853519845332,4.96417604912999
36,3605,2418,1031,681,42,29,40,105,2020-07-24,1.1536948798669202,0.8309089896930173,0.8942705103240106,1.5572655240621534,0.17150501366323273,1.0420971306394524,1.3974482594781927,5.282354420827569
37,3676,2450,1043,691,39,29,45,108,2020-07-25,1.157491593544119,0.8283614739559773,0.890125411245621,1.5547130755644554,0.15669270711963448,1.0253327912033519,1.5468382625912636,5.345873035515406
